表格 1
商品分类,年份,出口(亿美元),进口(亿美元),
总额,2004,1249.42,446.57,
第一类 活动物；动物产品,2004,9.55,5.33,
01章 活动物,2004,0.07,0.03,
02章 肉及食用杂碎,2004,0.06,1.81,
"03章 鱼、甲壳动物、软体动物及
其他水生无脊椎动物",2004,6.55,2.43,
"04章 乳品；蛋品；天然蜂蜜；
其他食用动物产品",2004,0.35,0.41,
05章 其他动物产品,2004,2.52,0.66,
第二类 植物产品,2004,3.87,41.91,
"06章 活树及其他活植物；鳞茎、根
及类似品；插花及装饰用簇叶",2004,0.09,0.02,
07章 食用蔬菜、根及块茎,2004,1.69,0.16,
"08章 食用水果及坚果；甜瓜或柑桔
属水果的果皮",2004,0.62,0.99,
09章 咖啡、茶、马黛茶及调味香料,2004,0.70,0.03,
10章 谷物,2004,0.01,6.49,
"11章 制粉工业产品；麦芽；淀粉；
菊粉；面筋",2004,0.02,0.03,
"12章 含油子仁及果实；杂项子仁及
果实；工业用或药用植物；
稻草、秸秆及饲料",2004,0.57,33.92,
"13章 虫胶；树胶、树脂及其他
植物液、汁",2004,0.14,0.15,
"14章 编结用植物材料；其他
植物产品",2004,0.03,0.12,
"第三类 动、植物油、脂及其分解
产品；精制的食用油脂；
动、植物蜡",2004,0.11,0.15,
"15章 动、植物油、脂及其分解产
品；精制的食用油脂；
动、植物蜡",2004,0.11,0.15,
"第四类 食品；饮料、酒及醋；
烟草、烟草及烟草代
用品的制品",2004,9.28,4.72,
"16章 肉、鱼、甲壳动物、软体动物
及其他水生无脊椎动物的制品",2004,2.97,0.02,
17章 糖及糖食,2004,0.45,0.18,
18章 可可及可可制品,2004,0.19,0.11,
"19章 谷物、粮食粉、淀粉或乳的
制品；糕饼点心",2004,0.41,0.14,
"20章 蔬菜、水果、坚果或植物其他
部分的制品",2004,4.08,0.54,
21章 杂项食品,2004,0.68,2.22,
22章 饮料、酒及醋,2004,0.22,0.10,
"23章 食品工业的残渣及废料；配制
的动物饲料",2004,0.16,1.11,
24章 烟草及烟草代用品的制品,2004,0.11,0.32,
第五类 矿产品,2004,12.20,6.81,
"25章 盐；硫磺；泥土及石料；石膏
料、石灰及水泥",2004,3.18,1.22,
26章 矿砂、矿渣及矿灰,2004,0.05,2.56,
"27章 矿物燃料、矿物油及其蒸馏产
品；沥青物质；矿物蜡",2004,8.97,3.03,
"第六类 化学工业及其相关工业的
产品",2004,36.14,52.29,
"28章 无机化学品；贵金属、稀土
金属、放射性元素及其同位
素的有机及无机化合物",2004,5.50,5.09,
29章 有机化学品,2004,13.92,22.70,
30章 药品,2004,2.41,1.39,
31章 肥料,2004,0.43,5.31,
"32章 鞣料浸膏及染料浸膏；鞣酸及
其衍生物；染料、颜料及其他
着色料；油漆及清漆；油灰及
其他类似胶粘剂；墨水、油墨",2004,1.79,2.21,
"33章 精油及香膏；芳香料制品
及化妆盥洗品",2004,2.85,0.90,
"34章 肥皂、有机表面活性剂、洗涤
剂、润滑剂、人造蜡、调制蜡、
光洁剂、蜡烛及类似品、塑型
用膏、“牙科用蜡”及牙科用
熟石膏制剂",2004,1.77,2.08,
"35章 蛋白类物质；改性淀粉；
胶；酶",2004,0.63,1.29,
"36章 炸药；烟火制品；火柴；
引火合金；易燃材料制品",2004,1.32,0.02,
37章 照相及电影用品,2004,3.00,2.12,
38章 杂项化学产品,2004,2.53,9.16,
"第七类 塑料及其制品，橡胶及其
制品",2004,48.18,26.87,
39章 塑料及其制品,2004,37.00,23.85,
40章 橡胶及其制品,2004,11.19,3.02,
"第八类 生皮、皮革、毛皮及其制品；
鞍具及挽具；旅行用品、手
提包及类似品:动物肠线
(蚕胶丝除外)制品",2004,32.83,7.93,
41章 生皮(毛皮除外)及皮革,2004,0.46,7.75,
"42章 皮革制品；鞍具及挽具；旅行
用品、手提包及类似容器；动
物肠线(蚕胶丝除外)制品",2004,31.69,0.05,
43章 毛皮、人造毛皮及其制品,2004,0.68,0.13,
"第九类 木及木制品；木炭；软木及
软木制品；稻草，秸秆、针
茅或其他编结材料制品；篮
筐及柳条编结品",2004,17.36,3.68,
44章 木及木制品；木炭,2004,14.80,3.67,
45章 软木及软木制品,2004,0.03,0.00,
"46章 稻草、秸秆、针茅或其他编结
材料制品；篮筐及柳条编结品",2004,2.54,0.01,
"第十类 木浆及其他纤维状纤维素
浆；纸及纸板的废碎品；
纸、纸板及其制品",2004,9.02,19.36,
"47章 木浆及其他纤维状纤维素浆；
纸及纸板的废碎品",2004,0.01,12.99,
"48章 纸及纸板；纸浆、纸或纸板
制品",2004,6.36,5.79,
"49章 书籍、报纸、印刷图画及其他
印制品；手稿、打字稿及设计
图纸",2004,2.65,0.57,
第十一类 纺织原料及纺织制品,2004,90.60,23.08,
50章 蚕丝,2004,0.42,0.00,
"51章 羊毛、动物细毛或粗毛；马毛
纱线及其机织物",2004,0.05,0.10,
