CRE_Gdpct(Merge Query)
年度标识,城市名称,城市代码,省份名称,生产总值,年末总人口,人口密度,外商新签合同数,外商协议投资金额,外商实际投资额
2023,迪庆藏族自治州,533400,云南省,303.7400,,16.6000,,,0.0000
2023,怒江傈僳族自治州,533300,云南省,262.0900,,36.5000,,,0.0000
2023,德宏傣族景颇族自治州,533100,云南省,595.2800,,115.9000,,,1500.0000
2023,大理白族自治州,532900,云南省,1731.0600,,113.4000,,,2000.0000
2023,西双版纳傣族自治州,532800,云南省,778.2700,,67.7000,,,1400.0000
2023,文山壮族苗族自治州,532600,云南省,1462.3200,,105.5000,,,400.0000
2023,红河哈尼族彝族自治州,532500,云南省,2889.4200,,132.5000,,,3700.0000
2023,楚雄彝族自治州,532300,云南省,1827.0400,,54.1000,,,1700.0000
2023,临沧市,530900,云南省,1050.2300,,89.9000,,,3500.0000
2023,普洱市,530800,云南省,1090.9100,,51.6000,,,100.0000
2023,丽江市,530700,云南省,671.7300,,59.0000,,,500.0000
2023,昭通市,530600,云南省,1644.1200,,211.0000,,,500.0000
2023,保山市,530500,云南省,1254.2000,,122.5000,,,1700.0000
2023,玉溪市,530400,云南省,2564.7500,,148.1000,,,1300.0000
2023,曲靖市,530300,云南省,4048.9100,,190.5000,,,11400.0000
2023,昆明市,530100,云南省,7846.9400,,402.1000,,,54900.0000
2023,上海市,310000,上海市,47218.6600,,3923.1100,6017.0000,2912000.0000,2408700.0000
2023,衡水市,131100,河北省,1888.0586,,,,,
2023,廊坊市,131000,河北省,3608.2638,,,,,
2023,沧州市,130900,河北省,4440.0533,,,,,
2023,承德市,130800,河北省,1851.6692,,,,,
2023,张家口市,130700,河北省,1842.7018,,,,,
2023,保定市,130600,河北省,4825.0374,,,,,
2023,邢台市,130500,河北省,2586.0808,,,,,
2023,邯郸市,130400,河北省,4382.1552,,,,,
2023,秦皇岛市,130300,河北省,2001.0057,,,,,
2023,唐山市,130200,河北省,9133.2519,,,,,
2023,石家庄市,130100,河北省,7534.1925,,,,,
2023,湘西土家族苗族自治州,433100,湖南省,855.0074,,,8.0000,,526.0000
2023,娄底市,431300,湖南省,2020.5253,,,8.0000,,2122.0000
2023,怀化市,431200,湖南省,1978.3806,,,29.0000,,7741.0000
2023,永州市,431100,湖南省,2549.4065,,,31.0000,,4063.0000
2023,郴州市,431000,湖南省,3141.9875,,,36.0000,,15932.0000
2023,益阳市,430900,湖南省,2163.5692,,,9.0000,,1676.0000
2023,张家界市,430800,湖南省,624.2641,,,9.0000,,845.0000
2023,常德市,430700,湖南省,4396.5891,,,26.0000,,1300.0000
2023,岳阳市,430600,湖南省,4910.6733,,,24.0000,,8094.0000
2023,邵阳市,430500,湖南省,2781.5416,,,12.0000,,2122.0000
2023,衡阳市,430400,湖南省,4251.2068,,,29.0000,,4926.0000
2023,湘潭市,430300,湖南省,2788.3787,,,21.0000,,4972.0000
