月度标识,地区代码,地区名称,Category,本月出口金额
2025/1/4,402,阿根廷,总值,39123
2025/1/4,138,阿拉伯联合酋长国,总值,479749
2025/1/4,315,奥地利,总值,60163
2025/1/4,601,澳大利亚,总值,520110
2025/1/4,127,巴基斯坦,总值,140797
2025/1/4,410,巴西,总值,203047
2025/1/4,301,比利时,总值,357426
2025/1/4,327,波兰,总值,171901
2025/1/4,302,丹麦,总值,131613
2025/1/4,304,德国,总值,1494549
2025/1/4,305,法国,总值,778327
2025/1/4,129,菲律宾,总值,277280
2025/1/4,318,芬兰,总值,149198
2025/1/4,145,哈萨克斯坦,总值,132403
2025/1/4,133,韩国,总值,1628601
2025/1/4,501,加拿大,总值,513584
2025/1/4,328,罗马尼亚,总值,49390
2025/1/4,122,马来西亚,总值,500715
2025/1/4,244,南非,总值,165649
2025/1/4,704,欧洲联盟,总值,7177863
2025/1/4,116,日本,总值,4575237
2025/1/4,330,瑞典,总值,149222
2025/1/4,331,瑞士,总值,87940
2025/1/4,131,沙特阿拉伯,总值,160066
2025/1/4,136,泰国,总值,307200
2025/1/4,137,土耳其,总值,191755
2025/1/4,347,乌克兰,总值,85095
2025/1/4,312,西班牙,总值,383756
2025/1/4,110,香港,总值,5258055
2025/1/4,132,新加坡,总值,688752
2025/1/4,609,新西兰,总值,78447
2025/1/4,307,意大利,总值,634514
2025/1/4,111,印度,总值,322197
2025/1/4,112,印度尼西亚,总值,337188
2025/1/4,303,英国,总值,970068
2025/1/4,141,越南,总值,173932
2025/1/4,412,智利,总值,121454
2025/1/4,143,台湾省,总值,723689
2025/1/4,502,美国,总值,7691923
2025/1/4,106,缅甸,总值,42400
2025/1/4,309,荷兰,总值,1136262
2025/1/4,109,朝鲜,总值,23515
2025/1/4,344,俄罗斯联邦,总值,525732
2025/1/4,121,澳门,总值,105507
2025/1/4,113,伊朗,总值,208584
2025/2/4,402,阿根廷,总值,28992
2025/2/4,138,阿拉伯联合酋长国,总值,330027
2025/2/4,315,奥地利,总值,49226
2025/2/4,601,澳大利亚,总值,526015
2025/2/4,127,巴基斯坦,总值,105176
2025/2/4,410,巴西,总值,189741
2025/2/4,301,比利时,总值,318565
2025/2/4,327,波兰,总值,119276
2025/2/4,302,丹麦,总值,134568
2025/2/4,304,德国,总值,1518090
2025/2/4,305,法国,总值,596774
2025/2/4,129,菲律宾,总值,236149
2025/2/4,318,芬兰,总值,136180
2025/2/4,145,哈萨克斯坦,总值,157186
2025/2/4,133,韩国,总值,1744970
2025/2/4,501,加拿大,总值,405657
2025/2/4,328,罗马尼亚,总值,38972
2025/2/4,122,马来西亚,总值,484805
2025/2/4,244,南非,总值,139399
2025/2/4,704,欧洲联盟,总值,6304036
2025/2/4,116,日本,总值,4784079
2025/2/4,330,瑞典,总值,93243
2025/2/4,331,瑞士,总值,66235
2025/2/4,131,沙特阿拉伯,总值,87585
2025/2/4,136,泰国,总值,355733
2025/2/4,137,土耳其,总值,166213
