月度标识,地区代码,地区名称,Category,本月进口金额
2025/1/4,402,阿根廷,总值,176911
2025/1/4,138,阿拉伯联合酋长国,总值,102178
2025/1/4,315,奥地利,总值,92126
2025/1/4,601,澳大利亚,总值,772050
2025/1/4,127,巴基斯坦,总值,44465
2025/1/4,410,巴西,总值,430163
2025/1/4,301,比利时,总值,198177
2025/1/4,327,波兰,总值,32805
2025/1/4,302,丹麦,总值,80488
2025/1/4,304,德国,总值,2066654
2025/1/4,305,法国,总值,351305
2025/1/4,129,菲律宾,总值,505527
2025/1/4,318,芬兰,总值,233507
2025/1/4,145,哈萨克斯坦,总值,181123
2025/1/4,133,韩国,总值,4066900
2025/1/4,501,加拿大,总值,485990
2025/1/4,328,罗马尼亚,总值,51353
2025/1/4,122,马来西亚,总值,1161129
2025/1/4,244,南非,总值,217453
2025/1/4,704,欧洲联盟,总值,4471766
2025/1/4,116,日本,总值,5440720
2025/1/4,330,瑞典,总值,219069
2025/1/4,331,瑞士,总值,206755
2025/1/4,131,沙特阿拉伯,总值,408737
2025/1/4,136,泰国,总值,769701
2025/1/4,137,土耳其,总值,74081
2025/1/4,347,乌克兰,总值,72444
2025/1/4,312,西班牙,总值,103688
2025/1/4,110,香港,总值,727474
2025/1/4,132,新加坡,总值,924227
2025/1/4,609,新西兰,总值,75533
2025/1/4,307,意大利,总值,426234
2025/1/4,111,印度,总值,556316
2025/1/4,112,印度尼西亚,总值,442416
2025/1/4,303,英国,总值,261738
2025/1/4,141,越南,总值,179748
2025/1/4,412,智利,总值,221593
2025/1/4,143,台湾省,总值,4255669
2025/1/4,502,美国,总值,3269210
2025/1/4,106,缅甸,总值,16142
2025/1/4,309,荷兰,总值,167969
2025/1/4,109,朝鲜,总值,19250
2025/1/4,344,俄罗斯联邦,总值,805316
2025/1/4,121,澳门,总值,10806
2025/1/4,113,伊朗,总值,393406
2025/2/4,402,阿根廷,总值,207000
2025/2/4,138,阿拉伯联合酋长国,总值,90248
2025/2/4,315,奥地利,总值,124733
2025/2/4,601,澳大利亚,总值,790274
2025/2/4,127,巴基斯坦,总值,51022
2025/2/4,410,巴西,总值,582775
2025/2/4,301,比利时,总值,299179
2025/2/4,327,波兰,总值,27338
2025/2/4,302,丹麦,总值,76942
2025/2/4,304,德国,总值,2178372
2025/2/4,305,法国,总值,478039
2025/2/4,129,菲律宾,总值,622966
2025/2/4,318,芬兰,总值,187443
2025/2/4,145,哈萨克斯坦,总值,279726
2025/2/4,133,韩国,总值,4637373
2025/2/4,501,加拿大,总值,503514
2025/2/4,328,罗马尼亚,总值,44782
2025/2/4,122,马来西亚,总值,1290843
2025/2/4,244,南非,总值,226976
2025/2/4,704,欧洲联盟,总值,4991068
2025/2/4,116,日本,总值,7422604
2025/2/4,330,瑞典,总值,318441
2025/2/4,331,瑞士,总值,290448
2025/2/4,131,沙特阿拉伯,总值,494104
2025/2/4,136,泰国,总值,902075
2025/2/4,137,土耳其,总值,84830
2025/2/4,347,乌克兰,总值,141398
2025/2/4,312,西班牙,总值,158087
2025/2/4,110,香港,总值,814894
2025/2/4,132,新加坡,总值,1005704
2025/2/4,609,新西兰,总值,116070
2025/2/4,307,意大利,总值,431574
2025/2/4,111,印度,总值,685425
2025/2/4,112,印度尼西亚,总值,579257
2025/2/4,303,英国,总值,294001
2025/2/4,141,越南,总值,176057
2025/2/4,412,智利,总值,271969
2025/2/4,309,荷兰,总值,173899
2025/2/4,121,澳门,总值,15103
2025/2/4,109,朝鲜,总值,19083
2025/2/4,143,台湾省,总值,4649227
2025/2/4,113,伊朗,总值,352950
2025/2/4,106,缅甸,总值,18188
2025/2/4,344,俄罗斯联邦,总值,881897
2025/2/4,502,美国,总值,3986933
2025/3/4,402,阿根廷,总值,128999
2025/3/4,138,阿拉伯联合酋长国,总值,88138
2025/3/4,315,奥地利,总值,105546
2025/3/4,601,澳大利亚,总值,916191
2025/3/4,127,巴基斯坦,总值,52157
2025/3/4,410,巴西,总值,557321
2025/3/4,301,比利时,总值,311992
2025/3/4,327,波兰,总值,46958
2025/3/4,302,丹麦,总值,96920
2025/3/4,304,德国,总值,2748598
2025/3/4,305,法国,总值,564060
2025/3/4,129,菲律宾,总值,688608
2025/3/4,318,芬兰,总值,226662
2025/3/4,145,哈萨克斯坦,总值,252479
2025/3/4,133,韩国,总值,5036463
2025/3/4,501,加拿大,总值,563199
2025/3/4,328,罗马尼亚,总值,31435
2025/3/4,122,马来西亚,总值,1551122
2025/3/4,244,南非,总值,258877
2025/3/4,704,欧洲联盟,总值,5972952
2025/3/4,116,日本,总值,8293372
2025/3/4,330,瑞典,总值,305139
2025/3/4,331,瑞士,总值,331999
2025/3/4,131,沙特阿拉伯,总值,548402
2025/3/4,136,泰国,总值,997307
2025/3/4,137,土耳其,总值,83228
2025/3/4,347,乌克兰,总值,134711
2025/3/4,312,西班牙,总值,134009
2025/3/4,110,香港,总值,962919
2025/3/4,132,新加坡,总值,1095480
