"Exchdt","Rmbusd"
"1990-12-19","5.230000"
"1990-12-20","5.230000"
"1990-12-21","5.230000"
"1990-12-24","5.230000"
"1990-12-25","5.230000"
"1990-12-26","5.230000"
"1990-12-27","5.230000"
"1990-12-28","5.230000"
"1990-12-31","5.230000"
"1991-01-01","5.230000"
"1991-01-02","5.230000"
"1991-01-03","5.230000"
"1991-01-04","5.230000"
"1991-01-07","5.230000"
"1991-01-08","5.230000"
"1991-01-09","5.230000"
"1991-01-10","5.230000"
"1991-01-11","5.230000"
"1991-01-14","5.230000"
"1991-01-15","5.230000"
"1991-01-16","5.230000"
"1991-01-17","5.230000"
"1991-01-18","5.230000"
"1991-01-21","5.230000"
"1991-01-22","5.230000"
"1991-01-23","5.230000"
"1991-01-24","5.230000"
"1991-01-25","5.230000"
"1991-01-28","5.230000"
"1991-01-29","5.230000"
"1991-01-30","5.230000"
"1991-01-31","5.230000"
"1991-02-01","5.230000"
"1991-02-04","5.230000"
"1991-02-05","5.230000"
"1991-02-06","5.230000"
"1991-02-07","5.230000"
"1991-02-08","5.230000"
"1991-02-11","5.230000"
"1991-02-12","5.230000"
"1991-02-13","5.230000"
"1991-02-14","5.230000"
"1991-02-15","5.230000"
"1991-02-18","5.230000"
"1991-02-19","5.230000"
"1991-02-20","5.230000"
"1991-02-21","5.230000"
"1991-02-22","5.230000"
"1991-02-25","5.230000"
"1991-02-26","5.230000"
"1991-02-27","5.230000"
"1991-02-28","5.230000"
"1991-03-01","5.230000"
"1991-03-04","5.230000"
"1991-03-05","5.230000"
"1991-03-06","5.230000"
"1991-03-07","5.230000"
"1991-03-08","5.230000"
"1991-03-11","5.222100"
"1991-03-12","5.222100"
"1991-03-13","5.222100"
"1991-03-14","5.222100"
"1991-03-15","5.222100"
"1991-03-18","5.222100"
"1991-03-19","5.222100"
"1991-03-20","5.222100"
"1991-03-21","5.222100"
"1991-03-22","5.222100"
"1991-03-25","5.222100"
"1991-03-26","5.222100"
"1991-03-27","5.222100"
"1991-03-28","5.222100"
"1991-03-29","5.222100"
"1991-04-01","5.217500"
"1991-04-02","5.217500"
"1991-04-03","5.217500"
"1991-04-04","5.217500"
"1991-04-05","5.217500"
"1991-04-08","5.222100"
"1991-04-09","5.222100"
"1991-04-10","5.222100"
"1991-04-11","5.222100"
"1991-04-12","5.222100"
"1991-04-15","5.269500"
"1991-04-16","5.269500"
"1991-04-17","5.269500"
"1991-04-18","5.269500"
