"Sgnyea","Ctnm_en","Ctnm_id","Cttyp_en","Prvcnm_id","Prvcnm_en","Eect01","Eect04"
"1978","Beijing (city)","110000","Municipality","110000","Beijing (city)","849.7000",""
"1978","Tianjin (city)","120000","Municipality","120000","Tianjin (city)","724.2700",""
"1979","Beijing (city)","110000","Municipality","110000","Beijing (city)","870.6000",""
"1979","Tianjin (city)","120000","Municipality","120000","Tianjin (city)","739.4200",""
"1980","Beijing (city)","110000","Municipality","110000","Beijing (city)","885.7000",""
"1980","Tianjin (city)","120000","Municipality","120000","Tianjin (city)","748.9100",""
"1981","Beijing (city)","110000","Municipality","110000","Beijing (city)","900.8000",""
"1981","Tianjin (city)","120000","Municipality","120000","Tianjin (city)","760.3200",""
"1982","Beijing (city)","110000","Municipality","110000","Beijing (city)","917.8000",""
"1982","Tianjin (city)","120000","Municipality","120000","Tianjin (city)","774.9200",""
"1983","Beijing (city)","110000","Municipality","110000","Beijing (city)","933.2000",""
"1983","Tianjin (city)","120000","Municipality","120000","Tianjin (city)","785.2800",""
"1984","Beijing (city)","110000","Municipality","110000","Beijing (city)","945.2000",""
"1984","Tianjin (city)","120000","Municipality","120000","Tianjin (city)","795.5200",""
"1985","Beijing (city)","110000","Municipality","110000","Beijing (city)","957.9000",""
"1985","Tianjin (city)","120000","Municipality","120000","Tianjin (city)","804.8000",""
"1986","Beijing (city)","110000","Municipality","110000","Beijing (city)","971.2000",""
"1986","Tianjin (city)","120000","Municipality","120000","Tianjin (city)","814.9700",""
"1987","Beijing (city)","110000","Municipality","110000","Beijing (city)","988.0000",""
"1987","Tianjin (city)","120000","Municipality","120000","Tianjin (city)","828.7300",""
"1988","Beijing (city)","110000","Municipality","110000","Beijing (city)","1001.2000",""
"1988","Tianjin (city)","120000","Municipality","120000","Tianjin (city)","839.2100",""
"1989","Beijing (city)","110000","Municipality","110000","Beijing (city)","1021.1000",""
"1989","Tianjin (city)","120000","Municipality","120000","Tianjin (city)","852.3500",""
"1990","Turpan(city)","652101","City (Sub-provincial level)","650000","Xinjiang Uygur Autonomous Region","21.7202",""
"1990","Fuzhou (city)","361000","City (Sub-provincial level)","360000","Jiangxi (province)","331.1970",""
"1990","Jinzhong (city)","140700","City (Sub-provincial level)","140000","Shanxi (province)","",""
