"Staper","Fresgn","Datasgn","Nationsgn","Nationnm_en","Eftm0201","Eftm0202"
"2001-01","M","A","200","Africa","281530","385700"
"2001-01","M","B","200","Africa","281530","385700"
"2001-01","M","A","600","Oceania","368060","262060"
"2001-01","M","B","600","Oceania","368060","262060"
"2001-01","M","A","202","Angola","46410","4760"
"2001-01","M","B","202","Angola","46410","4760"
"2001-01","M","A","402","Argentina","16300","31160"
"2001-01","M","B","402","Argentina","16300","31160"
"2001-01","M","A","601","Australia","320600","227420"
"2001-01","M","B","601","Australia","320600","227420"
"2001-01","M","A","315","Austria","47710","27940"
"2001-01","M","B","315","Austria","47710","27940"
"2001-01","M","A","301","Belgium","86610","189260"
"2001-01","M","B","301","Belgium","86610","189260"
"2001-01","M","A","410","Brazil","106010","88190"
"2001-01","M","B","410","Brazil","106010","88190"
"2001-01","M","A","501","Canada","245260","223510"
"2001-01","M","B","501","Canada","245260","223510"
"2001-01","M","A","100","Asia","9343850","8431970"
"2001-01","M","B","100","Asia","9343850","8431970"
"2001-01","M","A","300","Europe","3555040","3643190"
"2001-01","M","B","300","Europe","3555040","3643190"
"2001-01","M","A","412","Chile","39910","58510"
"2001-01","M","B","412","Chile","39910","58510"
"2001-01","M","A","143","China,Taiwan","1680740","269590"
"2001-01","M","B","143","China,Taiwan","1680740","269590"
"2001-01","M","A","302","Denmark","49240","46720"
"2001-01","M","B","302","Denmark","49240","46720"
"2001-01","M","A","318","Finland","209830","60710"
"2001-01","M","B","318","Finland","209830","60710"
"2001-01","M","A","305","France","338890","332340"
"2001-01","M","B","305","France","338890","332340"
"2001-01","M","B","246","Sudan","89840","11080"
"2001-01","M","B","344","Russian Federation","907110","175370"
"2001-01","M","B","113","Iran (Islamic Republic of)","167640","36840"
"2001-01","M","B","432","Panama","130","66550"
"2001-01","M","B","429","Mexico","44020","93780"
"2001-01","M","B","137","Turkey","16130","63980"
"2001-01","M","B","311","Portugal","3380","17280"
"2001-01","M","B","141","Viet Nam","108810","83090"
"2001-01","M","B","145","Kazakhstan","74680","13050"
"2001-01","M","B","327","Poland","5970","68970"
"2001-01","M","B","131","Saudi Arabia","114280","87330"
"2001-01","M","B","129","Philippines","147350","83450"
"2001-01","M","B","309","Netherlands","118610","559400"
"2001-01","M","B","111","India","122500","124680"
"2001-01","M","B","121","China, Macao","7840","41540"
"2001-01","M","B","132","Singapore","357210","409990"
"2001-01","M","B","136","Thailand","336640","134340"
"2001-01","M","B","331","Switzerland","113000","81140"
"2001-01","M","B","122","Malaysia","367480","161650"
"2001-01","M","B","307","Italy","239900","285450"
"2001-01","M","B","306","Ireland","40830","35470"
"2001-01","M","B","321","Hungary","5960","66950"
"2001-01","M","B","127","Pakistan","31020","37660"
"2001-01","M","B","312","Spain","42460","156150"
"2001-01","M","B","330","Sweden","140030","182180"
"2001-01","M","B","133","Republic of Korea","1544260","719690"
"2001-01","M","B","304","Germany","795730","664250"
"2001-01","M","B","112","Indonesia","279340","175780"
"2001-01","M","B","502","United States of America","1497270","3516600"
"2001-01","M","B","400","Latin America","252910","463400"
"2001-01","M","B","110","China, Hong Kong","565420","2864990"
"2001-01","M","B","310","Greece","2210","57840"
"2001-01","M","B","126","Oman","161970","8410"
"2001-01","M","B","116","Japan","2564240","2607850"
"2001-01","M","B","115","Israel","25340","57040"
"2001-01","M","B","138","United Arab Emirates","25500","146590"
"2001-01","M","B","609","New Zealand","39150","31190"
"2001-01","M","B","303","United Kingdom","208600","461360"
"2001-01","M","B","326","Norway","25370","28180"
"2001-01","M","B","236","Nigeria","980","41950"
"2001-01","M","B","114","Iraq","0","11710"
"2001-01","M","A","126","Oman","161970","8410"
"2001-01","M","A","246","Sudan","89840","11080"
"2001-01","M","A","114","Iraq","0","11710"
"2001-01","M","A","145","Kazakhstan","74680","13050"
"2001-01","M","A","311","Portugal","3380","17280"
"2001-01","M","A","326","Norway","25370","28180"
"2001-01","M","A","609","New Zealand","39150","31190"
"2001-01","M","A","306","Ireland","40830","35470"
"2001-01","M","A","113","Iran (Islamic Republic of)","167640","36840"
"2001-01","M","A","127","Pakistan","31020","37660"
"2001-01","M","A","121","China, Macao","7840","41540"
"2001-01","M","A","236","Nigeria","980","41950"
"2001-01","M","A","115","Israel","25340","57040"
"2001-01","M","A","310","Greece","2210","57840"
"2001-01","M","A","137","Turkey","16130","63980"
"2001-01","M","A","432","Panama","130","66550"
"2001-01","M","A","321","Hungary","5960","66950"
"2001-01","M","A","327","Poland","5970","68970"
"2001-01","M","A","331","Switzerland","113000","81140"
"2001-01","M","A","141","Viet Nam","108810","83090"
"2001-01","M","A","129","Philippines","147350","83450"
"2001-01","M","A","131","Saudi Arabia","114280","87330"
"2001-01","M","A","429","Mexico","44020","93780"
"2001-01","M","A","111","India","122500","124680"
"2001-01","M","A","136","Thailand","336640","134340"
"2001-01","M","A","138","United Arab Emirates","25500","146590"
"2001-01","M","A","312","Spain","42460","156150"
"2001-01","M","A","122","Malaysia","367480","161650"
"2001-01","M","A","344","Russian Federation","907110","175370"
"2001-01","M","A","112","Indonesia","279340","175780"
"2001-01","M","A","330","Sweden","140030","182180"
"2001-01","M","A","307","Italy","239900","285450"
"2001-01","M","A","132","Singapore","357210","409990"
"2001-01","M","A","303","United Kingdom","208600","461360"
"2001-01","M","A","400","Latin America","252910","463400"
"2001-01","M","A","309","Netherlands","118610","559400"
"2001-01","M","A","304","Germany","795730","664250"
"2001-01","M","A","133","Republic of Korea","1544260","719690"
"2001-01","M","A","116","Japan","2564240","2607850"
"2001-01","M","A","110","China, Hong Kong","565420","2864990"
"2001-01","M","A","502","United States of America","1497270","3516600"
"2001-01","M","B","244","South Africa","64590","58510"
"2001-01","M","A","244","South Africa","64590","58510"
"2001-01","M","B","500","Northern America","1743620","3740150"
"2001-01","M","A","500","Northern America","1743620","3740150"
"2001-02","M","A","200","Africa","442390","404200"
"2001-02","M","B","200","Africa","723920","789900"
"2001-02","M","A","600","Oceania","344200","305450"
"2001-02","M","B","600","Oceania","712260","567510"
"2001-02","M","A","202","Angola","43240","1440"
"2001-02","M","B","202","Angola","89650","6200"
"2001-02","M","A","402","Argentina","24720","38970"
"2001-02","M","B","402","Argentina","41020","70130"
"2001-02","M","A","601","Australia","269370","264160"
"2001-02","M","B","601","Australia","589970","491580"
"2001-02","M","A","315","Austria","41170","37520"
"2001-02","M","B","315","Austria","88880","65460"
"2001-02","M","A","301","Belgium","127990","195010"
"2001-02","M","B","301","Belgium","214600","384270"
"2001-02","M","A","410","Brazil","128270","97840"
"2001-02","M","B","410","Brazil","234280","186030"
"2001-02","M","A","501","Canada","234730","244460"
"2001-02","M","B","501","Canada","479990","467970"
"2001-02","M","A","100","Asia","11255800","10232530"
"2001-02","M","B","100","Asia","20599650","18664500"
"2001-02","M","A","300","Europe","3547790","3880810"
"2001-02","M","B","300","Europe","7102830","7524000"
"2001-02","M","A","412","Chile","70110","51010"
"2001-02","M","B","412","Chile","110020","109520"
"2001-02","M","A","143","China,Taiwan","1852740","315480"
"2001-02","M","B","143","China,Taiwan","3533480","585070"
"2001-02","M","A","302","Denmark","49230","43780"
"2001-02","M","B","302","Denmark","98470","90500"
"2001-02","M","A","318","Finland","185220","73710"
"2001-02","M","B","318","Finland","395050","134420"
"2001-02","M","A","305","France","309090","255980"
"2001-02","M","B","305","France","647980","588320"
"2001-02","M","B","246","Sudan","137910","29670"
"2001-02","M","B","344","Russian Federation","1407430","351730"
"2001-02","M","B","432","Panama","600","124660"
"2001-02","M","B","429","Mexico","97960","199010"
"2001-02","M","B","137","Turkey","28610","127270"
"2001-02","M","B","138","United Arab Emirates","81820","303070"
"2001-02","M","B","321","Hungary","23010","132380"
"2001-02","M","B","141","Viet Nam","163040","218510"
"2001-02","M","B","113","Iran (Islamic Republic of)","381000","144550"
"2001-02","M","B","129","Philippines","300270","181800"
"2001-02","M","B","311","Portugal","7330","39190"
