"贸易伙伴编码","贸易伙伴名称","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"502","美国","12019010","黄大豆，种用除外","28412523722","千克","0","?","12,408,986,041",
"502","美国","88024010","15000kg＜空载重量≤45000kg的飞机等航空器","214","架","0","?","10,388,600,539",
"502","美国","85423100","处理器及控制器","7864684439","个","247089","千克","6,029,612,890",
"502","美国","71081200","其他未锻造金，非货币用","152726567","克","0","?","5,679,641,184",
"502","美国","87032362","汽油越野车（4轮驱动）2500ml＜排量≤3000ml","82209","辆","0","?","5,078,640,706",
"502","美国","88024020","空载重量＞45000kg的飞机等航空器","33","架","0","?","4,631,264,705",
"502","美国","85423900","其他集成电路","14037818096","个","161357","千克","2,948,065,200",
"502","美国","87032342","汽油越野车（4轮驱动）1500ml＜排量≤2000m","56343","辆","0","?","2,548,621,767",
"502","美国","10079000","其他食用高粱","8965642591","千克","0","?","2,471,467,675",
"502","美国","23033000","酿造及蒸馏过程中的糟粕及残渣","6818548058","千克","0","?","1,998,183,630",
"502","美国","74040000","铜废碎料","687105035","千克","0","?","1,622,079,268",
"502","美国","27111200","液化丙烷","2694128754","千克","0","?","1,522,046,701",
"502","美国","30021000","抗血清、其他血份及免疫制品,不论是否修饰或通过生物工艺加工制得","2268628","千克","0","?","1,466,240,818",
"502","美国","47071000","回收（废碎）的未漂白牛皮纸或瓦楞纸及纸板","7151476291","千克","0","?","1,435,827,590",
"502","美国","85423200","存储器","720476163","个","151377","千克","1,340,480,574",
"502","美国","84119100","涡轮喷气发动机或涡轮螺桨发动机的零件","1601097","千克","0","?","1,324,376,042",
"502","美国","41015019","其他＞16kg的整张牛皮","400982148","千克","13849355","张","1,221,982,678",
"502","美国","84111210","涡轮风扇喷气发动机，推力＞25kN","139","台","0","?","1,186,792,885",
"502","美国","85423300","放大器","4378698793","个","73429","千克","1,045,848,647",
"502","美国","26030000","铜矿砂及其精矿","670981567","千克","0","?","986,177,004",
"502","美国","52010000","未梳的棉花","518220170","千克","0","?","981,426,861",
"502","美国","47032100","半漂白或漂白的针叶木烧碱木浆或硫酸盐木浆","1374890839","千克","0","?","968,198,010",
"502","美国","76020000","铝废碎料","640674837","千克","0","?","942,988,252",
"502","美国","84862041","制造半导体器件或IC的等离子体干法刻蚀机","410","台","0","?","727,103,930",
"502","美国","38249099","未列名化学工业及相关工业化学产品及配制品","106058621","千克","0","?","713,370,760",
"502","美国","85419000","品目8541所列货品的零件","24347","千克","0","?","646,000,492",
"502","美国","90318090","其他未列名测量或检验仪器、器具及机器","40497564","台","0","?","642,171,639",
"502","美国","84798999","未列名具有独立功能的机器及机械器具","735012","台","0","?","621,019,052",
"502","美国","87032343","汽油小客车，1500ml＜排量≤2000ml","28114","辆","0","?","605,034,362",
"502","美国","47073000","回收（废碎）的主要由机械浆制成的纸或纸板","3595130671","千克","0","?","596,665,897",
"502","美国","44079100","经纵锯纵切、刨或旋切的栎木木材，厚＞6mm","696556609","千克","926852","立方米","594,399,617",
"502","美国","90304090","其他通信专用的仪器及装置","18583","台","0","?","586,406,254",
"502","美国","87033312","柴油越野车，2500ml＜排量≤3000ml","12269","辆","0","?","559,736,764",
"502","美国","90189090","其他医疗、外科或兽医用仪器及器具","98359803","台","1550000","千克","547,167,957",
"502","美国","85234920","已录制用于重放声音、图像以外信息的，品目84.71所列机器用光学媒体","344811","张","23725","千克","531,446,786",
"502","美国","87032363","汽油小客车，2500ml＜排量≤3000ml","11133","辆","0","?","516,018,267",
"502","美国","88033000","飞机及直升机的其他零件","760323","千克","0","?","512,234,754",
"502","美国","90328990","其他自动调节或控制仪器及装置","1297173","台","0","?","494,050,028",
"502","美国","90278099","品目9027所列的其他仪器及装置","302947","台","0","?","493,931,348",
"502","美国","85414010","发光二极管","404930637","个","43100","千克","474,134,048",
"502","美国","87032412","汽油越野车（4轮驱动）3000ml＜排量≤4000ml","10389","辆","0","?","472,889,092",
"502","美国","30049090","未列名混合或非混合产品构成的药品","1040790","千克","0","?","451,608,849",
"502","美国","84862021","制造半导体器件或IC的化学气相沉积装置","304","台","0","?","439,475,484",
"502","美国","90183900","其他针、导管、插管及类似品","539669533","个","2853107","千克","435,377,314",
"502","美国","38220090","其他诊断或实验用试剂及配制试剂;检定参照物","3686725","千克","0","?","428,972,239",
"502","美国","87032352","汽油越野车（4轮驱动）2000ml＜排量≤2500ml","20911","辆","0","?","423,345,759",
"502","美国","90181291","彩色超声波诊断仪","33132","台","428961","千克","416,250,827",
"502","美国","84818040","其他阀门","16980534","套","5700019","千克","413,636,034",
"502","美国","12149000","其他草饲料","1044675956","千克","0","?","412,911,874",
"502","美国","90275000","使用光学射线的其他仪器及装置","210029","台","0","?","409,936,868",
"502","美国","39074000","初级形状的聚碳酸酯","123462642","千克","0","?","404,144,877",
"502","美国","29025000","苯乙烯","342311894","千克","0","?","394,332,123",
"502","美国","84314310","石油或天然气钻机的零件","6427714","千克","0","?","393,477,038",
"502","美国","87032353","汽油小客车，2000ml＜排量≤2500ml","12928","辆","0","?","381,000,988",
"502","美国","47020000","化学木浆、溶解级","288939631","千克","0","?","362,501,181",
"502","美国","26070000","铅矿砂及其精矿","341979529","千克","0","?","347,945,353",
"502","美国","37024292","未曝光红色或红外激光胶片，宽＞610mm，长＞200m","9825207","千克","40584469","平方米","346,084,783",
"502","美国","85369011","工作电压不超过36伏的接插件","4529910","千克","0","?","345,355,741",
"502","美国","84219990","品目8421未列名机器的零件","9498393","千克","0","?","340,052,822",
"502","美国","90132000","激光器，激光二极管除外","2693741","个","0","?","328,237,893",
"502","美国","38151200","以贵金属及其化合物为活性物的载体催化剂","2021186","千克","0","?","324,589,486",
"502","美国","90221400","其他，医疗、外科或兽医用X射线应用设备","941","台","0","?","319,675,166",
"502","美国","87032413","汽油小客车，3000ml＜排量≤4000ml","10030","辆","0","?","310,808,270",
"502","美国","21069090","未列名食品","19695413","千克","0","?","310,145,103",
"502","美国","90314990","其他测量或检验用光学仪器及器具","96606","台","0","?","309,889,070",
"502","美国","85437099","未列名具有独立功能的电气设备及装置","1290255","台","0","?","307,574,244",
"502","美国","84869099","品目8486所列设备用未列名零件及附件","534542","千克","0","?","302,899,950",
"502","美国","33049900","其他美容品或化妆品及护肤品","6386793","千克","76464527","件","301,403,330",
"502","美国","44032090","未列名针叶木原木","1579144170","千克","1884632","立方米","301,080,420",
"502","美国","47079000","回收（废碎）的其他纸及纸板，包括未分选的","2041839611","千克","0","?","300,786,633",
"502","美国","84089093","其他输出功率≥132.39kw的压燃活塞内燃机","11530","台","4480517","千瓦","299,232,646",
"502","美国","39269090","未列名塑料制品","10451897","千克","0","?","298,356,662",
"502","美国","39199090","未列名塑料胶粘板、片、膜、箔等","9716828","千克","0","?","295,705,399",
"502","美国","02064900","其他冻猪杂碎","140023759","千克","0","?","285,836,562",
"502","美国","90219090","其他为弥补生理缺陷或残疾而穿戴、携带或植入人体内的其他器具","165646","千克","0","?","283,292,858",
"502","美国","41041111","全粒面未剖层及粒面剖层蓝湿牛皮","58598010","千克","0","?","273,150,779",
"502","美国","90319000","品目9031所列仪器、器具及机器的零件及附件","691538","千克","0","?","267,757,173",
"502","美国","90213900","其他人造的人体部分","144690","千克","0","?","261,515,554",
"502","美国","85389000","品目8535、8536或8537所列装置的其他零件","4098606","千克","0","?","260,789,158",
"502","美国","90279000","检镜切片机;9027所列仪器及装置的零附件","725320","千克","0","?","259,738,322",
"502","美国","39151000","乙烯聚合物的废碎料及下脚料","432812805","千克","0","?","255,230,368",
"502","美国","44079930","经纵锯切、刨或旋切的北美硬阔叶材，厚＞6mm","266261725","千克","565878","立方米","254,963,890",
"502","美国","85371090","其他电气控制或电力分配盘板台等，电压≤1000V","3670222","个","1743921","千克","247,742,012",
"502","美国","87084099","未列名机动车辆用变速箱及其零件","41223732","个","11404006","千克","244,630,177",
"502","美国","27131190","其他未煅烧石油焦","2846749351","千克","0","?","243,540,618",
"502","美国","39206200","聚对苯二甲酸乙二酯非泡沫塑料板、片、膜等","12258412","千克","0","?","242,639,501",
