"贸易伙伴编码","贸易伙伴名称","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元","备注",
"502","美国","12019019","转基因黄大豆","27298420980","千克","0","?","17,732,524,432","-",
"502","美国","85423190","其他用作处理器及控制器的集成电路","5258954575","个","287432","千克","9,238,933,948","-",
"502","美国","27111200","液化丙烷","8509770136","千克","0","?","6,688,666,664","-",
"502","美国","27090000","石油原油及从沥青矿物提取的原油","7890868195","千克","0","?","5,841,496,009","-",
"502","美国","10059000","玉米，种用除外","14864745143","千克","0","?","5,285,203,601","-",
"502","美国","87032362","仅装有点燃式活塞内燃发动机的越野车（4轮驱动），2500cc＜排量≤3000cc","46873","辆","114959614","千克","4,431,369,649","-",
"502","美国","87032342","仅装有点燃式活塞内燃发动机的越野车（4轮驱动），1500cc＜排量≤2000cc","56757","辆","120864845","千克","3,264,410,614","-",
"502","美国","52010000","未梳的棉花","1132042020","千克","0","?","3,050,928,723","-",
"502","美国","74040000","铜废料及碎料","320992863","千克","0","?","2,547,832,798","-",
"502","美国","84111210","涡轮风扇喷气发动机，推力＞25kN","275","台","1173985","千克","2,431,133,922","-",
"502","美国","10079000","其他食用高粱","6329844504","千克","0","?","2,387,938,035","-",
"502","美国","27111100","液化天然气","2083193502","千克","0","?","2,183,300,553","-",
"502","美国","84119100","涡轮喷气发动机或涡轮螺桨发动机的零件","1134445","千克","0","?","2,124,018,405","-",
"502","美国","84869099","品目8486所列设备用未列名零件及附件","2571876","千克","0","?","2,100,374,934","-",
"502","美国","29011000","饱和无环烃","3205575939","千克","0","?","2,037,912,786","-",
"502","美国","33049900","其他美容品或化妆品及护肤品","13513474","千克","266887331","件","1,962,851,922","-",
"502","美国","85423990","其他集成电路","29095165400","个","174646","千克","1,890,265,036","-",
"502","美国","27011210","炼焦煤","4338669891","千克","0","?","1,781,750,482","-",
"502","美国","88024020","空载重量＞45000kg的飞机等航空器","21","架","2187422","千克","1,743,483,915","-",
"502","美国","38221900","其他附于衬背上的诊断或实验用试剂及不论是否附于衬背上的配制试剂","5705610","千克","0","?","1,705,130,021","-",
"502","美国","30049090","未列名混合或非混合产品构成的药品，已配定剂量或制成零售包装","2512822","千克","0","?","1,552,531,693","-",
"502","美国","30021500","免疫制品，已配定剂量或制成零售包装","515390","千克","0","?","1,497,854,538","-",
"502","美国","30024100","人用疫苗","692719","千克","0","?","1,346,495,133","-",
"502","美国","26030000","铜矿砂及其精矿","614651708","千克","0","?","1,284,740,776","-",
"502","美国","02023000","冻去骨牛肉","128769920","千克","0","?","1,277,987,179","-",
"502","美国","27131190","其他未煅烧石油焦","4728482639","千克","0","?","1,226,768,239","-",
"502","美国","90189099","其他医疗、外科或兽医用仪器及器具","267795544","台","1735876","千克","1,186,857,392","-",
"502","美国","47032100","半漂白或漂白的针叶木烧碱木浆或硫酸盐木浆","1162730682","千克","0","?","1,169,516,458","-",
"502","美国","21069090","未列名食品","18367949","千克","0","?","1,152,229,903","-",
"502","美国","02071422","冻鸡爪","240146947","千克","0","?","1,126,644,633","-",
"502","美国","38249999","未列名化学工业及其相关工业的化学产品及配制品","104779538","千克","0","?","992,072,230","-",
"502","美国","90314100","制造半导体器件（包括集成电路）时检验半导体晶圆、器件（包括集成电路）或检测光掩模及光栅用的光学仪器及器具","2268","台","987890","千克","949,407,296","-",
"502","美国","29269090","未列名腈基化合物","234846890","千克","0","?","781,924,373","-",
"502","美国","02064900","其他冻猪杂碎","264701889","千克","0","?","772,907,790","-",
"502","美国","12149000","其他草饲料","1401266164","千克","0","?","758,482,397","-",
