"贸易伙伴编码","贸易伙伴名称","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"502","美国","85171300","智能手机","96709886","台","28838398","千克","38,368,749,719",
"502","美国","84713090","其他重量不超过10千克的便携式自动数据处理设备","44082084","台","97696342","千克","25,350,629,686",
"502","美国","98040000","低值简易通关商品","1209188678","千克","42424433","?","18,432,729,746",
"502","美国","85076000","锂离子蓄电池","224153357","个","653418716","千克","13,549,515,041",
"502","美国","84713010","平板电脑","40535734","台","29804504","千克","9,092,206,917",
"502","美国","95045030","其他视频游戏控制器及设备","17186639","台","58324058","千克","5,555,934,259",
"502","美国","39269090","未列名塑料制品","837194797","千克","0","?","5,180,912,829",
"502","美国","95030089","未列名玩具及模型","6081468623","个","526009951","千克","4,687,910,173",
"502","美国","84733090","品目8471所列其他机器的零件、附件","79810959","千克","0","?","3,805,288,907",
"502","美国","85176299","其他接收、转换并且发送或再生声音、图像或其他数据用的设备","90306035","台","18806405","千克","3,411,384,848",
"502","美国","85176294","无线耳机、无线耳塞","107831672","个","19911500","千克","3,188,615,451",
"502","美国","95051000","圣诞节用品","291838737","千克","0","?","3,080,045,107",
"502","美国","39241000","塑料制餐具及厨房用具","832845377","千克","0","?","3,037,268,288",
"502","美国","94032000","其他金属家具","97107463","件","1026570783","千克","2,984,718,271",
"502","美国","61103000","化纤制针织钩编套头衫、开襟衫、外穿背心等","491899512","件","174472490","千克","2,920,119,521",
"502","美国","85285212","其他可直接连接品目84.71的自动数据处理设备的彩色液晶监视器","25075054","台","142291293","千克","2,863,107,833",
"502","美国","85437099","未列名具有独立功能的电气设备及装置","124921391","台","47454785","千克","2,836,555,728",
"502","美国","42029200","以塑料片或纺织材料作面的其他类似容器","234704539","千克","1198082548","个","2,562,027,662",
"502","美国","94036099","未列名木家具","62982581","件","950065510","千克","2,556,774,072",
"502","美国","64041990","橡胶或塑料制外底，纺织材料制鞋面的其他鞋靴","168145299","千克","310849284","双","2,372,607,866",
"502","美国","94054290","非光伏的且设计为仅使用发光二极管（LED）光源的其他电灯及照明装置","151074794","千克","0","?","2,345,215,424",
"502","美国","63079090","第一分章的未列名制成品，包括服装裁剪样","351580932","千克","3597041253","个","2,335,072,216",
"502","美国","24041200","其他含尼古丁的非经燃烧吸用的产品","58557179","千克","0","?","2,331,489,763",
"502","美国","73269090","未列名非工业用钢铁制品","567518437","千克","0","?","2,283,526,532",
"502","美国","64029929","未列名塑料制鞋面的鞋靴","176383830","千克","384576164","双","2,255,653,755",
"502","美国","95059000","其他节日或娱乐用品，包括魔术道具等","154323779","千克","0","?","2,163,779,534",
"502","美国","39181090","氯乙烯聚合物制铺地制品","1977483639","千克","0","?","2,118,063,491",
