"贸易伙伴编码","贸易伙伴名称","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"502","美国","12019019","转基因黄大豆","22134150078","千克","0","?","12,040,339,330",
"502","美国","27111200","液化丙烷","17315988199","千克","0","?","11,170,906,905",
"502","美国","85423190","其他用作处理器及控制器的集成电路","4703824485","个","192297","千克","8,659,975,874",
"502","美国","27090000","石油原油及从沥青矿物提取的原油","9639373189","千克","71353812","桶","6,019,333,900",
"502","美国","84119100","涡轮喷气发动机或涡轮螺桨发动机的零件","1153214","千克","0","?","4,057,954,464",
"502","美国","88024010","15000kg＜空载重量≤45000kg的飞机等航空器","61","架","2604515","千克","4,048,476,432",
"502","美国","74040000","铜废料及碎料","438829796","千克","0","?","3,602,559,720",
"502","美国","87032362","仅装有点燃式活塞内燃发动机的越野车（4轮驱动），2500cc＜排量≤3000cc","30868","辆","76411170","千克","2,750,870,938",
"502","美国","29011000","饱和无环烃","5510947172","千克","0","?","2,604,826,737",
"502","美国","27111100","液化天然气","4153286424","千克","0","?","2,411,971,641",
"502","美国","84111210","涡轮风扇喷气发动机，推力＞25kN","229","台","677224","千克","2,175,810,547",
"502","美国","85423990","其他集成电路","38170802357","个","190742","千克","2,175,740,350",
"502","美国","87032342","仅装有点燃式活塞内燃发动机的越野车（4轮驱动），1500cc＜排量≤2000cc","35440","辆","78494531","千克","1,932,358,920",
"502","美国","52010000","未梳的棉花","875075790","千克","0","?","1,853,600,496",
"502","美国","27011210","炼焦煤","10669583764","千克","0","?","1,828,627,858",
"502","美国","10079000","其他食用高粱","5682749114","千克","0","?","1,733,210,890",
"502","美国","38221900","其他附于衬背上的诊断或实验用试剂及不论是否附于衬背上的配制试剂","5970438","千克","0","?","1,685,463,608",
"502","美国","90314100","制造半导体器件（包括集成电路）时检验半导体晶圆、器件（包括集成电路）或检测光掩模及光栅用的光学仪器及器具","1003","台","1078569","千克","1,638,979,280",
"502","美国","30021500","免疫制品，已配定剂量或制成零售包装","823158","千克","0","?","1,599,359,347",
"502","美国","30049090","未列名混合或非混合产品构成的药品，已配定剂量或制成零售包装","2635395","千克","0","?","1,560,152,713",
"502","美国","87032352","仅装有点燃式活塞内燃发动机的越野车（4轮驱动），2000cc＜排量≤2500cc","23069","辆","54900156","千克","1,495,688,468",
"502","美国","33049900","其他美容品或化妆品及护肤品","9510360","千克","330433860","件","1,466,694,510",
"502","美国","84862050","制造半导体器件或集成电路用的离子注入机","429","台","7803524","千克","1,426,820,881",
"502","美国","21069090","未列名食品","23495218","千克","0","?","1,412,937,010",
"502","美国","88024020","空载重量＞45000kg的飞机等航空器","9","架","1143997","千克","1,152,177,980",
"502","美国","90189099","其他医疗、外科或兽医用仪器及器具","392847603","台","1708167","千克","1,151,598,247",
"502","美国","39014020","初级形状的线型低密度聚乙烯，比重＜0.94","1103818834","千克","0","?","1,127,360,423",
"502","美国","84869099","品目8486所列设备用未列名零件及附件","1457988","千克","0","?","1,091,979,812",
"502","美国","26030000","铜矿砂及其精矿","458437399","千克","0","?","1,067,301,763",
"502","美国","02023000","冻去骨牛肉","105075013","千克","0","?","989,818,565",
"502","美国","30021200","抗血清及其他血份","3886191","千克","0","?","883,115,454",
"502","美国","47032100","半漂白或漂白的针叶木烧碱木浆或硫酸盐木浆","1042515352","千克","0","?","861,200,565",
"502","美国","38249999","未列名化学工业及其相关工业的化学产品及配制品","109650120","千克","0","?","816,555,613",
"502","美国","39012000","初级形状的聚乙烯，比重≥0.94","822242753","千克","0","?","743,748,503",
"502","美国","85423390","其他用作放大器的集成电路","4126267272","个","40679","千克","723,152,618",
"502","美国","02064900","其他冻猪杂碎","305461686","千克","0","?","695,366,137",
"502","美国","84862010","制半导体器件或IC的氧化扩散等热处理设备","249","台","814780","千克","591,093,790",
"502","美国","30024100","人用疫苗","291730","千克","0","?","589,124,387",
"502","美国","88073000","飞机、直升机及无人驾驶航空器的其他零件","792676","千克","0","?","578,417,675",
"502","美国","08025100","未去壳阿月浑子果(开心果)","89723616","千克","0","?","578,239,257",
"502","美国","10059000","玉米，种用除外","2072514534","千克","0","?","561,540,176",
"502","美国","90328990","其他自动调节或控制仪器及装置","2183894","台","965175","千克","552,636,119",
"502","美国","25061000","石英","43653335","千克","0","?","531,566,616",
"502","美国","39011000","初级形状的聚乙烯，比重＜0.94","461263514","千克","0","?","531,088,348",
"502","美国","90318090","未列名测量或检验仪器、器具及机器","3046326","台","1164641","千克","505,893,485",
"502","美国","39079999","未列名初级形状的聚酯","111542025","千克","0","?","505,695,832",
"502","美国","84715040","微型机的处理部件","22035","台","366953","千克","502,999,529",
"502","美国","49070090","承认国流通新发行未用的其他票证；所有凭证","887","千克","0","?","491,964,764",
"502","美国","90275090","未列名使用光学射线(紫外线、可见光、红外线)的仪器及装置","55263","台","576449","千克","482,909,884",
"502","美国","84798999","未列名具有独立功能的机器及机械器具","502460","台","2889650","千克","473,820,174",
"502","美国","85415900","其他半导体器件","55403152","个","3237","千克","463,395,968",
"502","美国","27111390","其他液化丁烷","691774772","千克","0","?","455,526,146",
"502","美国","10019900","其他小麦及混合麦，种用除外","1467497925","千克","0","?","453,196,361",
"502","美国","41015019","其他重量＞16kg的整张牛皮","439879219","千克","14885254","张","438,404,573",
"502","美国","29053100","1，2-乙二醇","821181656","千克","0","?","434,619,284",
"502","美国","44039960","北美硬阔叶木原木","619709502","千克","645178","立方米","433,054,016",
"502","美国","38151200","以贵金属及其化合物为活性物的载体催化剂","2009951","千克","0","?","390,342,287",
"502","美国","85437099","未列名具有独立功能的电气设备及装置","804794","台","434073","千克","386,819,393",
"502","美国","39269090","未列名塑料制品","8224928","千克","0","?","386,618,266",
"502","美国","90278990","品目90.27所列的其他仪器及装置","142857","台","783783","千克","380,074,651",
"502","美国","98050000","个人跨境电商商品","9608804","千克","12671901","件","377,734,489",
"502","美国","85371090","其他电气控制或电力分配盘板台等，电压≤1000V","1451255","个","993956","千克","360,608,432",
"502","美国","12149000","其他草饲料","929474039","千克","0","?","354,489,657",
