"Sgnyea","Prvcnm_id","Prvcnm_en","Gdp0101"
"1952","142","China","679.1000"
"1952","340000","Anhui (province)","22.8800"
"1952","330000","Zhejiang (province)","24.5300"
"1952","220000","Jilin (province)","16.5500"
"1952","650000","Xinjiang Uygur Autonomous Region","7.9100"
"1952","350000","Fujian (province)","12.7300"
"1952","320000","Jiangsu (province)","48.4100"
"1952","430000","Hunan (province)","27.8100"
"1952","450000","Guangxi Zhuang Autonomous Region","12.8100"
"1952","140000","Shanxi (province)","16.0000"
"1952","530000","Yunnan (province)","11.7800"
"1952","420000","Hubei (province)","24.5100"
"1952","610000","Shaanxi (province)","12.8500"
"1952","110000","Beijing (city)","7.8800"
"1952","520000","Guizhou (province)","8.5500"
"1952","640000","Ningxia Hui Autonomous Region","1.7300"
"1952","310000","Shanghai (city)","36.6600"
"1952","360000","Jiangxi (province)","18.8600"
"1952","630000","Qinghai (province)","1.6300"
"1952","130000","Hebei (province)","40.4900"
"1952","370000","Shandong (province)","43.4100"
"1952","410000","Henan (province)","36.0900"
"1952","620000","Gansu (province)","13.3200"
"1952","120000","Tianjin (city)","12.8000"
"1952","210000","Liaoning (province)","41.3800"
"1952","510000","Sichuan (province)","31.6900"
"1952","150000","Inner Mongolia Autonomous Region","12.1600"
"1952","230000","Heilongjiang (province)","26.0000"
"1952","440000","Guangdong (province)","29.5200"
"1953","142","China","824.4000"
"1953","630000","Qinghai (province)","1.7400"
"1953","640000","Ningxia Hui Autonomous Region","1.6800"
"1953","450000","Guangxi Zhuang Autonomous Region","14.2400"
"1953","110000","Beijing (city)","19.2800"
"1953","350000","Fujian (province)","14.3800"
"1953","370000","Shandong (province)","45.7900"
"1953","210000","Liaoning (province)","52.8500"
"1953","440000","Guangdong (province)","41.2300"
"1953","310000","Shanghai (city)","51.7100"
"1953","150000","Inner Mongolia Autonomous Region","15.5700"
"1953","340000","Anhui (province)","26.9900"
"1953","130000","Hebei (province)","42.4800"
"1953","530000","Yunnan (province)","14.8600"
"1953","510000","Sichuan (province)","35.6800"
"1953","230000","Heilongjiang (province)","31.9900"
"1953","620000","Gansu (province)","13.8600"
"1953","140000","Shanxi (province)","19.9000"
"1953","520000","Guizhou (province)","10.0100"
"1953","420000","Hubei (province)","30.2300"
"1953","410000","Henan (province)","41.3000"
"1953","320000","Jiangsu (province)","53.4200"
"1953","120000","Tianjin (city)","17.5800"
"1953","610000","Shaanxi (province)","17.4400"
"1953","360000","Jiangxi (province)","19.7100"
"1953","220000","Jilin (province)","18.9700"
"1953","430000","Hunan (province)","30.2900"
"1953","650000","Xinjiang Uygur Autonomous Region","8.7400"
"1953","330000","Zhejiang (province)","27.2400"
"1954","142","China","859.8000"
"1954","410000","Henan (province)","44.0200"
"1954","210000","Liaoning (province)","56.9000"
"1954","310000","Shanghai (city)","54.7000"
"1954","630000","Qinghai (province)","2.3500"
"1954","220000","Jilin (province)","20.4300"
"1954","650000","Xinjiang Uygur Autonomous Region","10.5400"
"1954","420000","Hubei (province)","25.5100"
"1954","620000","Gansu (province)","16.3000"
"1954","520000","Guizhou (province)","11.1400"
"1954","640000","Ningxia Hui Autonomous Region","2.1400"
"1954","530000","Yunnan (province)","17.0300"
"1954","130000","Hebei (province)","45.3100"
"1954","610000","Shaanxi (province)","20.0400"
"1954","150000","Inner Mongolia Autonomous Region","19.4600"
"1954","360000","Jiangxi (province)","20.6600"
"1954","450000","Guangxi Zhuang Autonomous Region","16.2100"
"1954","120000","Tianjin (city)","16.9800"
"1954","330000","Zhejiang (province)","28.6500"
"1954","370000","Shandong (province)","52.9800"
"1954","350000","Fujian (province)","14.8600"
"1954","230000","Heilongjiang (province)","36.6600"
"1954","440000","Guangdong (province)","46.8000"
"1954","340000","Anhui (province)","27.7600"
"1954","430000","Hunan (province)","30.5100"
"1954","110000","Beijing (city)","21.1300"
"1954","320000","Jiangsu (province)","53.7700"
"1954","140000","Shanxi (province)","21.9000"
"1954","510000","Sichuan (province)","40.0000"
"1955","142","China","911.6000"
"1955","420000","Hubei (province)","34.0500"
"1955","210000","Liaoning (province)","59.3700"
"1955","430000","Hunan (province)","35.8300"
"1955","130000","Hebei (province)","49.2000"
"1955","220000","Jilin (province)","21.1300"
"1955","360000","Jiangxi (province)","21.8600"
"1955","330000","Zhejiang (province)","30.5300"
"1955","140000","Shanxi (province)","23.9000"
"1955","640000","Ningxia Hui Autonomous Region","2.2400"
"1955","440000","Guangdong (province)","47.5900"
"1955","340000","Anhui (province)","37.1500"
"1955","650000","Xinjiang Uygur Autonomous Region","12.3100"
"1955","310000","Shanghai (city)","53.6400"
"1955","410000","Henan (province)","46.5300"
"1955","610000","Shaanxi (province)","20.5800"
"1955","350000","Fujian (province)","16.4500"
"1955","530000","Yunnan (province)","18.3400"
"1955","320000","Jiangsu (province)","58.9600"
"1955","520000","Guizhou (province)","11.6100"
"1955","230000","Heilongjiang (province)","38.1800"
"1955","630000","Qinghai (province)","2.9300"
"1955","110000","Beijing (city)","23.8800"
"1955","620000","Gansu (province)","17.8200"
"1955","120000","Tianjin (city)","17.1200"
"1955","370000","Shandong (province)","57.7800"
"1955","150000","Inner Mongolia Autonomous Region","17.4900"
"1955","450000","Guangxi Zhuang Autonomous Region","17.4300"
"1955","510000","Sichuan (province)","43.2200"
"1956","142","China","1030.7000"
"1956","230000","Heilongjiang (province)","42.1900"
"1956","320000","Jiangsu (province)","61.9000"
"1956","150000","Inner Mongolia Autonomous Region","24.6000"
"1956","340000","Anhui (province)","35.2700"
"1956","410000","Henan (province)","48.1200"
"1956","110000","Beijing (city)","26.8300"
"1956","210000","Liaoning (province)","72.0400"
"1956","620000","Gansu (province)","21.1700"
"1956","610000","Shaanxi (province)","27.1400"
"1956","450000","Guangxi Zhuang Autonomous Region","19.5100"
"1956","430000","Hunan (province)","37.9300"
"1956","360000","Jiangxi (province)","22.0400"
"1956","140000","Shanxi (province)","28.4000"
"1956","420000","Hubei (province)","44.6000"
"1956","310000","Shanghai (city)","63.6100"
"1956","350000","Fujian (province)","20.8100"
"1956","330000","Zhejiang (province)","33.5400"
"1956","630000","Qinghai (province)","3.8100"
"1956","370000","Shandong (province)","63.1300"
"1956","220000","Jilin (province)","24.5800"
"1956","650000","Xinjiang Uygur Autonomous Region","14.0900"
"1956","440000","Guangdong (province)","53.0400"
"1956","130000","Hebei (province)","49.8300"
"1956","520000","Guizhou (province)","14.6500"
"1956","640000","Ningxia Hui Autonomous Region","2.5700"
"1956","120000","Tianjin (city)","20.7000"
"1956","510000","Sichuan (province)","49.7400"
"1956","530000","Yunnan (province)","21.3300"
"1957","142","China","1071.4000"
"1957","210000","Liaoning (province)","78.6900"
"1957","340000","Anhui (province)","41.3700"
"1957","370000","Shandong (province)","61.3900"
"1957","140000","Shanxi (province)","29.2000"
"1957","360000","Jiangxi (province)","27.7300"
"1957","630000","Qinghai (province)","3.9500"
"1957","450000","Guangxi Zhuang Autonomous Region","21.5700"
"1957","420000","Hubei (province)","48.8600"
"1957","320000","Jiangsu (province)","65.1100"
"1957","650000","Xinjiang Uygur Autonomous Region","14.6700"
"1957","220000","Jilin (province)","25.2200"
"1957","410000","Henan (province)","52.5500"
"1957","440000","Guangdong (province)","58.6400"
"1957","110000","Beijing (city)","32.8100"
"1957","150000","Inner Mongolia Autonomous Region","21.2700"
"1957","640000","Ningxia Hui Autonomous Region","2.5800"
"1957","130000","Hebei (province)","52.3000"
"1957","610000","Shaanxi (province)","25.5800"
"1957","430000","Hunan (province)","45.2000"
"1957","230000","Heilongjiang (province)","44.4200"
"1957","330000","Zhejiang (province)","37.2700"
"1957","520000","Guizhou (province)","16.3000"
"1957","120000","Tianjin (city)","24.1100"
"1957","310000","Shanghai (city)","69.6000"
"1957","620000","Gansu (province)","20.1100"
"1957","530000","Yunnan (province)","22.5300"
"1957","510000","Sichuan (province)","56.5700"
"1957","350000","Fujian (province)","22.0300"
"1958","142","China","1312.3000"
"1958","440000","Guangdong (province)","67.0900"
"1958","350000","Fujian (province)","24.3900"
"1958","330000","Zhejiang (province)","43.7500"
"1958","310000","Shanghai (city)","95.6100"
"1958","120000","Tianjin (city)","32.4900"
"1958","130000","Hebei (province)","63.6100"
"1958","320000","Jiangsu (province)","75.3000"
"1958","230000","Heilongjiang (province)","61.6400"
"1958","450000","Guangxi Zhuang Autonomous Region","24.5200"
"1958","620000","Gansu (province)","22.8100"
"1958","110000","Beijing (city)","34.5200"
"1958","630000","Qinghai (province)","4.8700"
"1958","150000","Inner Mongolia Autonomous Region","28.1000"
"1958","430000","Hunan (province)","55.8500"
"1958","420000","Hubei (province)","61.5000"
"1958","410000","Henan (province)","60.7600"
"1958","340000","Anhui (province)","51.3100"
"1958","640000","Ningxia Hui Autonomous Region","3.2900"
"1958","650000","Xinjiang Uygur Autonomous Region","16.9000"
"1958","210000","Liaoning (province)","105.6400"
"1958","610000","Shaanxi (province)","31.0200"
"1958","520000","Guizhou (province)","20.3600"
"1958","530000","Yunnan (province)","23.2100"
"1958","140000","Shanxi (province)","39.5000"
"1958","220000","Jilin (province)","31.1800"
"1958","370000","Shandong (province)","72.9700"
"1958","510000","Sichuan (province)","61.7300"
"1958","360000","Jiangxi (province)","31.2100"
"1959","142","China","1447.5000"
"1959","410000","Henan (province)","64.0300"
"1959","510000","Sichuan (province)","63.1600"
"1959","110000","Beijing (city)","46.2800"
"1959","320000","Jiangsu (province)","79.6200"
"1959","650000","Xinjiang Uygur Autonomous Region","21.3700"
"1959","350000","Fujian (province)","29.2200"
"1959","330000","Zhejiang (province)","47.3500"
"1959","630000","Qinghai (province)","6.9400"
"1959","120000","Tianjin (city)","41.2500"
"1959","360000","Jiangxi (province)","34.6300"
"1959","210000","Liaoning (province)","136.6900"
"1959","220000","Jilin (province)","37.1500"
"1959","140000","Shanxi (province)","48.3000"
"1959","640000","Ningxia Hui Autonomous Region","4.3600"
"1959","620000","Gansu (province)","23.7300"
"1959","230000","Heilongjiang (province)","73.5000"
"1959","610000","Shaanxi (province)","35.5800"
"1959","370000","Shandong (province)","75.9600"
"1959","520000","Guizhou (province)","23.5100"
"1959","530000","Yunnan (province)","25.3500"
"1959","310000","Shanghai (city)","128.4900"
"1959","440000","Guangdong (province)","73.5000"
"1959","150000","Inner Mongolia Autonomous Region","35.7600"
"1959","450000","Guangxi Zhuang Autonomous Region","26.7500"
"1959","340000","Anhui (province)","57.9700"
"1959","420000","Hubei (province)","64.2200"
"1959","130000","Hebei (province)","74.2100"
"1959","430000","Hunan (province)","61.9500"
"1960","142","China","1470.1000"
"1960","150000","Inner Mongolia Autonomous Region","35.5600"
"1960","310000","Shanghai (city)","158.3900"
"1960","350000","Fujian (province)","29.5800"
"1960","530000","Yunnan (province)","25.4300"
"1960","120000","Tianjin (city)","42.6600"
"1960","520000","Guizhou (province)","22.9400"
"1960","440000","Guangdong (province)","72.7600"
"1960","320000","Jiangsu (province)","86.8000"
"1960","140000","Shanxi (province)","50.2000"
"1960","220000","Jilin (province)","41.8300"
"1960","230000","Heilongjiang (province)","80.4500"
"1960","110000","Beijing (city)","57.4700"
"1960","130000","Hebei (province)","73.4400"
"1960","620000","Gansu (province)","17.8200"
"1960","510000","Sichuan (province)","55.9200"
"1960","610000","Shaanxi (province)","38.3000"
"1960","450000","Guangxi Zhuang Autonomous Region","26.1500"
"1960","370000","Shandong (province)","71.3700"
"1960","630000","Qinghai (province)","7.6800"
"1960","420000","Hubei (province)","63.6100"
"1960","210000","Liaoning (province)","158.1400"
"1960","360000","Jiangxi (province)","36.8300"
"1960","330000","Zhejiang (province)","47.2500"
"1960","640000","Ningxia Hui Autonomous Region","4.8000"
"1960","340000","Anhui (province)","59.7600"
"1960","650000","Xinjiang Uygur Autonomous Region","25.2000"
"1960","430000","Hunan (province)","64.0700"
"1960","410000","Henan (province)","66.1500"
"1961","142","China","1232.3000"
"1961","510000","Sichuan (province)","52.2800"
"1961","350000","Fujian (province)","23.2500"
"1961","150000","Inner Mongolia Autonomous Region","25.2500"
"1961","310000","Shanghai (city)","101.7800"
"1961","330000","Zhejiang (province)","40.5600"
"1961","450000","Guangxi Zhuang Autonomous Region","23.7900"
"1961","420000","Hubei (province)","48.9100"
"1961","130000","Hebei (province)","54.8700"
"1961","410000","Henan (province)","46.2900"
"1961","340000","Anhui (province)","43.6500"
"1961","530000","Yunnan (province)","22.9000"
"1961","440000","Guangdong (province)","62.1800"
"1961","230000","Heilongjiang (province)","54.1700"
"1961","210000","Liaoning (province)","75.8600"
"1961","220000","Jilin (province)","31.8900"
"1961","520000","Guizhou (province)","18.0500"
"1961","630000","Qinghai (province)","5.4000"
"1961","320000","Jiangsu (province)","72.2000"
"1961","120000","Tianjin (city)","28.4100"
"1961","640000","Ningxia Hui Autonomous Region","4.1500"
"1961","360000","Jiangxi (province)","35.5000"
"1961","110000","Beijing (city)","36.5500"
"1961","650000","Xinjiang Uygur Autonomous Region","21.4600"
"1961","610000","Shaanxi (province)","31.6400"
"1961","620000","Gansu (province)","11.7500"
"1961","430000","Hunan (province)","46.6400"
"1961","140000","Shanxi (province)","34.1000"
"1961","370000","Shandong (province)","63.4000"
"1962","142","China","1162.2000"
"1962","340000","Anhui (province)","39.4700"
"1962","330000","Zhejiang (province)","43.3500"
"1962","420000","Hubei (province)","52.1300"
"1962","630000","Qinghai (province)","4.5900"
"1962","430000","Hunan (province)","51.1900"
"1962","140000","Shanxi (province)","32.4000"
"1962","530000","Yunnan (province)","24.5000"
"1962","520000","Guizhou (province)","16.5200"
"1962","320000","Jiangsu (province)","69.2000"
"1962","310000","Shanghai (city)","84.7200"
"1962","350000","Fujian (province)","22.1200"
"1962","510000","Sichuan (province)","58.3800"
"1962","610000","Shaanxi (province)","26.8500"
"1962","210000","Liaoning (province)","74.0600"
"1962","120000","Tianjin (city)","24.2500"
"1962","370000","Shandong (province)","64.3800"
"1962","150000","Inner Mongolia Autonomous Region","25.1200"
"1962","440000","Guangdong (province)","72.3900"
"1962","130000","Hebei (province)","48.7300"
"1962","230000","Heilongjiang (province)","54.6200"
"1962","650000","Xinjiang Uygur Autonomous Region","17.7200"
"1962","410000","Henan (province)","43.0200"
"1962","450000","Guangxi Zhuang Autonomous Region","23.8200"
"1962","640000","Ningxia Hui Autonomous Region","4.0200"
"1962","360000","Jiangxi (province)","33.0600"
"1962","110000","Beijing (city)","29.5900"
"1962","620000","Gansu (province)","12.5700"
"1962","220000","Jilin (province)","31.3500"
"1963","142","China","1248.3000"
"1963","230000","Heilongjiang (province)","61.8200"
"1963","530000","Yunnan (province)","25.6300"
"1963","120000","Tianjin (city)","26.6500"
"1963","520000","Guizhou (province)","16.8000"
"1963","630000","Qinghai (province)","4.8600"
"1963","450000","Guangxi Zhuang Autonomous Region","24.4900"
"1963","330000","Zhejiang (province)","46.6000"
"1963","640000","Ningxia Hui Autonomous Region","3.9600"
"1963","340000","Anhui (province)","40.8100"
"1963","420000","Hubei (province)","56.3000"
"1963","350000","Fujian (province)","23.6000"
"1963","210000","Liaoning (province)","76.0800"
"1963","320000","Jiangsu (province)","75.5200"
"1963","610000","Shaanxi (province)","27.3600"
"1963","620000","Gansu (province)","16.2500"
"1963","650000","Xinjiang Uygur Autonomous Region","19.0100"
"1963","150000","Inner Mongolia Autonomous Region","29.0200"
"1963","130000","Hebei (province)","44.8300"
"1963","370000","Shandong (province)","67.6100"
"1963","410000","Henan (province)","42.4500"
"1963","310000","Shanghai (city)","90.6900"
"1963","360000","Jiangxi (province)","32.6900"
"1963","510000","Sichuan (province)","69.0600"
"1963","430000","Hunan (province)","48.0800"
"1963","140000","Shanxi (province)","33.7000"
"1963","440000","Guangdong (province)","81.8100"
"1963","110000","Beijing (city)","31.7200"
"1963","220000","Jilin (province)","35.9400"
"1964","142","China","1469.9000"
"1964","130000","Hebei (province)","56.6800"
"1964","410000","Henan (province)","51.4000"
"1964","330000","Zhejiang (province)","51.7500"
"1964","520000","Guizhou (province)","19.7500"
"1964","320000","Jiangsu (province)","89.5500"
"1964","310000","Shanghai (city)","100.7000"
"1964","350000","Fujian (province)","25.9500"
"1964","220000","Jilin (province)","38.4500"
"1964","450000","Guangxi Zhuang Autonomous Region","27.1800"
"1964","360000","Jiangxi (province)","35.2000"
"1964","640000","Ningxia Hui Autonomous Region","4.0900"
"1964","650000","Xinjiang Uygur Autonomous Region","21.5500"
"1964","530000","Yunnan (province)","29.2500"
"1964","440000","Guangdong (province)","81.6300"
"1964","630000","Qinghai (province)","5.5700"
"1964","110000","Beijing (city)","35.9900"
"1964","150000","Inner Mongolia Autonomous Region","32.5500"
"1964","510000","Sichuan (province)","75.7600"
