"Sgnyea","Prvcnm_id","Prvcnm_en","Ftec0401","Ftec0402","Ftec0403"
"2000","110000","Beijing (city)","8495.0000","402.4578","217.3754"
"2000","120000","Tianjin (city)","9942.0000","330.8590","185.0961"
"2000","130000","Hebei (province)","3812.0000","140.0971","82.9018"
"2000","140000","Shanxi (province)","959.0000","48.2749","25.5967"
"2000","150000","Inner Mongolia Autonomous Region","874.0000","25.3634","17.1773"
"2000","210000","Liaoning (province)","13146.0000","655.4253","396.2628"
"2000","220000","Jilin (province)","2747.0000","76.6098","52.7717"
"2000","230000","Heilongjiang (province)","3318.0000","83.4390","56.0605"
"2000","310000","Shanghai (city)","15930.0000","985.3971","533.4470"
"2000","320000","Jiangsu (province)","18060.0000","750.0428","406.5698"
"2000","330000","Zhejiang (province)","10002.0000","293.1301","171.2191"
"2000","340000","Anhui (province)","2216.0000","91.4400","58.6788"
"2000","350000","Fujian (province)","16013.0000","470.8446","275.8492"
"2000","360000","Jiangxi (province)","2246.0000","68.7577","33.0088"
"2000","370000","Shandong (province)","12389.0000","389.5046","230.9717"
"2000","410000","Henan (province)","3004.0000","113.5854","73.3653"
"2000","420000","Hubei (province)","5123.0000","166.6978","103.4766"
"2000","430000","Hunan (province)","2316.0000","73.0585","43.3837"
"2000","440000","Guangdong (province)","49865.0000","2165.1026","1280.8607"
"2000","450000","Guangxi Zhuang Autonomous Region","2705.0000","108.4956","62.6848"
"2000","460000","Hainan (province)","7248.0000","234.3595","139.2553"
"2000","500000","Chongqing (city)","1708.0000","66.0201","44.1940"
"2000","510000","Sichuan (province)","3539.0000","101.0651","70.2808"
"2000","520000","Guizhou (province)","715.0000","14.9349","11.6635"
"2000","530000","Yunnan (province)","1634.0000","48.1867","31.0120"
"2000","540000","Tibet Autonomous Region","78.0000","3.3547","1.8825"
"2000","610000","Shaanxi (province)","2761.0000","83.2224","50.7107"
"2000","620000","Gansu (province)","826.0000","25.6455","18.1717"
"2000","630000","Qinghai (province)","113.0000","5.7724","3.3199"
"2000","640000","Ningxia Hui Autonomous Region","408.0000","9.4032","6.9627"
"2000","650000","Xinjiang Uygur Autonomous Region","371.0000","11.4341","7.4880"
"2001","110000","Beijing (city)","8818.0000","429.2458","238.3016"
"2001","120000","Tianjin (city)","9473.0000","341.5401","190.5000"
"2001","130000","Hebei (province)","3621.0000","147.8373","85.6503"
"2001","140000","Shanxi (province)","827.0000","49.3493","25.3299"
"2001","150000","Inner Mongolia Autonomous Region","778.0000","22.1723","15.3770"
"2001","210000","Liaoning (province)","13158.0000","637.9712","404.6472"
"2001","220000","Jilin (province)","2753.0000","80.9807","55.2561"
"2001","230000","Heilongjiang (province)","2980.0000","76.5008","52.1722"
"2001","310000","Shanghai (city)","18160.0000","1126.8843","609.1326"
"2001","320000","Jiangsu (province)","19602.0000","920.0098","479.5320"
"2001","330000","Zhejiang (province)","11194.0000","340.6369","197.7359"
"2001","340000","Anhui (province)","2055.0000","92.0820","58.3575"
"2001","350000","Fujian (province)","15403.0000","512.5969","291.6450"
"2001","360000","Jiangxi (province)","2284.0000","73.7853","35.2589"
"2001","370000","Shandong (province)","13753.0000","425.1569","252.1646"
"2001","410000","Henan (province)","2401.0000","100.7256","63.8693"
"2001","420000","Hubei (province)","4443.0000","141.4313","101.0691"
"2001","430000","Hunan (province)","2080.0000","65.6701","37.7039"
"2001","440000","Guangdong (province)","47102.0000","2218.2259","1258.9012"
"2001","450000","Guangxi Zhuang Autonomous Region","2436.0000","102.4551","59.2898"
"2001","460000","Hainan (province)","5940.0000","214.9622","122.5974"
"2001","500000","Chongqing (city)","1502.0000","70.2362","41.9398"
"2001","510000","Sichuan (province)","3678.0000","109.3867","75.1411"
"2001","520000","Guizhou (province)","714.0000","15.9936","11.9663"
"2001","530000","Yunnan (province)","1632.0000","53.7740","33.9834"
"2001","540000","Tibet Autonomous Region","85.0000","3.4256","1.9224"
"2001","610000","Shaanxi (province)","2971.0000","95.9563","58.1040"
"2001","620000","Gansu (province)","882.0000","24.6359","16.1031"
"2001","630000","Qinghai (province)","135.0000","6.4806","3.6478"
"2001","640000","Ningxia Hui Autonomous Region","435.0000","10.6244","7.8896"
"2001","650000","Xinjiang Uygur Autonomous Region","358.0000","11.1981","7.1628"
"2002","110000","Beijing (city)","9172.0000","454.9513","252.1049"
"2002","120000","Tianjin (city)","9020.0000","365.2857","203.4312"
"2002","130000","Hebei (province)","3396.0000","154.7671","88.1596"
"2002","140000","Shanxi (province)","773.0000","57.6885","29.7491"
"2002","150000","Inner Mongolia Autonomous Region","805.0000","24.2322","16.9934"
"2002","210000","Liaoning (province)","13642.0000","664.0837","430.0175"
"2002","220000","Jilin (province)","2541.0000","179.1227","54.5662"
"2002","230000","Heilongjiang (province)","2067.0000","74.6813","43.9397"
"2002","310000","Shanghai (city)","20963.0000","1279.6392","691.6074"
"2002","320000","Jiangsu (province)","22991.0000","1254.8391","623.5309"
"2002","330000","Zhejiang (province)","12111.0000","432.0169","243.3735"
"2002","340000","Anhui (province)","1914.0000","96.2205","59.5707"
"2002","350000","Fujian (province)","15563.0000","593.9970","330.4138"
"2002","360000","Jiangxi (province)","2478.0000","98.6867","48.3533"
"2002","370000","Shandong (province)","14741.0000","470.8656","282.1574"
"2002","410000","Henan (province)","2437.0000","118.1568","70.4018"
"2002","420000","Hubei (province)","3705.0000","158.5411","93.1142"
"2002","430000","Hunan (province)","2152.0000","86.8138","48.5331"
"2002","440000","Guangdong (province)","49875.0000","2363.5354","1349.4931"
"2002","450000","Guangxi Zhuang Autonomous Region","2509.0000","104.4364","61.3503"
"2002","460000","Hainan (province)","2251.0000","98.5050","50.2244"
"2002","500000","Chongqing (city)","1388.0000","68.9257","39.6549"
"2002","510000","Sichuan (province)","3913.0000","119.9785","81.1230"
"2002","520000","Guizhou (province)","639.0000","18.9146","12.3443"
"2002","530000","Yunnan (province)","1619.0000","60.5467","36.6928"
"2002","540000","Tibet Autonomous Region","94.0000","3.4869","1.9776"
