月度标识,地区代码,地区名称,Category,本月出口金额
2004/1/1,402,阿根廷,总值,39123
2004/1/1,138,阿拉伯联合酋长国,总值,479749
2004/1/1,315,奥地利,总值,60163
2004/1/1,601,澳大利亚,总值,520110
2004/1/1,127,巴基斯坦,总值,140797
2004/1/1,410,巴西,总值,203047
2004/1/1,301,比利时,总值,357426
2004/1/1,327,波兰,总值,171901
2004/1/1,302,丹麦,总值,131613
2004/1/1,304,德国,总值,1494549
2004/1/1,305,法国,总值,778327
2004/1/1,129,菲律宾,总值,277280
2004/1/1,318,芬兰,总值,149198
2004/1/1,145,哈萨克斯坦,总值,132403
2004/1/1,133,韩国,总值,1628601
2004/1/1,501,加拿大,总值,513584
2004/1/1,328,罗马尼亚,总值,49390
2004/1/1,122,马来西亚,总值,500715
2004/1/1,244,南非,总值,165649
2004/1/1,704,欧洲联盟,总值,7177863
2004/1/1,116,日本,总值,4575237
2004/1/1,330,瑞典,总值,149222
2004/1/1,331,瑞士,总值,87940
2004/1/1,131,沙特阿拉伯,总值,160066
2004/1/1,136,泰国,总值,307200
2004/1/1,137,土耳其,总值,191755
2004/1/1,347,乌克兰,总值,85095
2004/1/1,312,西班牙,总值,383756
2004/1/1,110,香港,总值,5258055
2004/1/1,132,新加坡,总值,688752
2004/1/1,609,新西兰,总值,78447
2004/1/1,307,意大利,总值,634514
2004/1/1,111,印度,总值,322197
2004/1/1,112,印度尼西亚,总值,337188
2004/1/1,303,英国,总值,970068
2004/1/1,141,越南,总值,173932
2004/1/1,412,智利,总值,121454
2004/1/1,143,台湾省,总值,723689
2004/1/1,502,美国,总值,7691923
2004/1/1,106,缅甸,总值,42400
2004/1/1,309,荷兰,总值,1136262
2004/1/1,109,朝鲜,总值,23515
2004/1/1,344,俄罗斯联邦,总值,525732
2004/1/1,121,澳门,总值,105507
2004/1/1,113,伊朗,总值,208584
2004/2/1,402,阿根廷,总值,28992
2004/2/1,138,阿拉伯联合酋长国,总值,330027
2004/2/1,315,奥地利,总值,49226
2004/2/1,601,澳大利亚,总值,526015
2004/2/1,127,巴基斯坦,总值,105176
2004/2/1,410,巴西,总值,189741
2004/2/1,301,比利时,总值,318565
2004/2/1,327,波兰,总值,119276
2004/2/1,302,丹麦,总值,134568
2004/2/1,304,德国,总值,1518090
2004/2/1,305,法国,总值,596774
2004/2/1,129,菲律宾,总值,236149
2004/2/1,318,芬兰,总值,136180
2004/2/1,145,哈萨克斯坦,总值,157186
2004/2/1,133,韩国,总值,1744970
2004/2/1,501,加拿大,总值,405657
2004/2/1,328,罗马尼亚,总值,38972
2004/2/1,122,马来西亚,总值,484805
2004/2/1,244,南非,总值,139399
2004/2/1,704,欧洲联盟,总值,6304036
2004/2/1,116,日本,总值,4784079
