CRE_Cmect,,,,,,,
年度标识,AreaID,县域名称,隶属城市,隶属省份,土地面积,年末总人口,地区生产总值
2000,20405085,江宁区,南京市,江苏省,,,1013443.00
2000,20408037,江浦县,南京市,江苏省,,,269008.00
2000,20405086,六合区,南京市,江苏省,,,418580.00
2000,20405087,溧水区,南京市,江苏省,,,382703.00
2000,20405088,高淳区,南京市,江苏省,,,373331.00
2000,20405097,江阴市,无锡市,江苏省,,,3280317.00
2000,20405098,宜兴市,无锡市,江苏省,,,1808152.00
2000,20407876,锡山市,全国,全国,,,3001790.00
2000,20405010,丰县,徐州市,江苏省,,,394521.00
2000,20405011,沛县,徐州市,江苏省,,,619217.00
2000,20405009,铜山区,徐州市,江苏省,,,921454.00
2000,20405012,睢宁县,徐州市,江苏省,,,366115.00
2000,20405013,新沂市,徐州市,江苏省,,,473321.00
2000,20405014,邳州市,徐州市,江苏省,,,646626.00
2000,20405022,溧阳市,常州市,江苏省,,,812650.00
2000,20405023,金坛市,常州市,江苏省,,,632811.00
2000,20405021,武进区,常州市,江苏省,,,2339228.00
2000,20405032,常熟市,苏州市,江苏省,,,2580036.00
2000,20405033,张家港市,苏州市,江苏省,,,2700027.00
2000,20405034,昆山市,苏州市,江苏省,,,2008008.00
2000,20405035,吴江区,苏州市,江苏省,,,1811992.00
2000,20405036,太仓市,苏州市,江苏省,,,1563134.00
2000,20408044,吴县市,苏州市,江苏省,,,2002717.00
2000,20405042,海安县,南通市,江苏省,,,677568.00
2000,20405043,如东县,南通市,江苏省,,,771755.00
2000,20405044,启东市,南通市,江苏省,,,1202003.00
2000,20405045,如皋市,南通市,江苏省,,,715428.00
2000,20405041,通州区,南通市,江苏省,,,1334865.00
2000,20405046,海门市,南通市,江苏省,,,1196168.00
2000,20405052,赣榆区,连云港市,江苏省,,,619924.00
2000,20405053,东海县,连云港市,江苏省,,,573075.00
2000,20405054,灌云县,连云港市,江苏省,,,477824.00
2000,20405055,灌南县,连云港市,江苏省,,,223541.00
2000,20405060,淮阴区,淮安市,江苏省,,,386640.00
2000,20405062,涟水县,淮安市,江苏省,,,397586.00
2000,20405063,洪泽县,淮安市,江苏省,,,185860.00
2000,20405064,盱眙县,淮安市,江苏省,,,405362.00
2000,20405065,金湖县,淮安市,江苏省,,,285250.00
2000,20405070,响水县,盐城市,江苏省,,,209930.00
2000,20405071,滨海县,盐城市,江苏省,,,407108.00
2000,20405072,阜宁县,盐城市,江苏省,,,516500.00
2000,20405073,射阳县,盐城市,江苏省,,,695234.00
2000,20405074,建湖县,盐城市,江苏省,,,572341.00
2000,20405069,盐都区,盐城市,江苏省,,,696846.00
2000,20405075,东台市,盐城市,江苏省,,,930108.00
2000,20405076,大丰市,盐城市,江苏省,,,761522.00
2000,20405207,宝应县,扬州市,江苏省,,,526559.00
2000,20405080,邗江区,扬州市,江苏省,,,730693.00
2000,20405208,仪征市,扬州市,江苏省,,,604928.00
