IXSD_Imex10,,,
月度标识,当月进出口总额,当月出口总额,当月进口总额
1994-08,202.51,102.1300,100.3800
1994-09,197.06,104.9000,92.1600
1994-10,198.27,104.3100,93.9600
1994-11,230.00,126.0000,104.0000
1994-12,364.46,185.0600,179.4000
1995-01,156.80,81.9000,64.9000
1995-02,160.40,99.0000,71.4000
1995-03,231.26,128.7900,102.4600
1995-04,223.00,120.0000,103.0000
1995-05,243.30,128.3300,114.9700
1995-06,249.90,140.3800,109.5700
1995-07,234.02,122.7200,111.3000
1995-08,241.19,125.3200,115.8800
1995-09,237.31,124.3100,112.9900
1995-10,233.19,123.4300,109.7600
1995-11,242.25,121.7800,120.4700
1995-12,357.19,172.4500,184.7400
1996-01,192.97,91.6545,101.3168
1996-02,167.91,86.5388,81.3721
1996-03,215.42,104.0711,111.3505
1996-04,223.08,113.8168,109.2587
1996-05,241.65,121.5545,120.0965
1996-06,231.74,122.6560,109.0886
1996-07,237.30,124.2576,113.0469
1996-08,252.73,141.3434,111.3901
1996-09,237.13,134.1914,102.9416
1996-10,265.28,152.1904,113.0859
1996-11,252.43,136.2051,116.2214
1996-12,383.54,183.2600,200.2800
1997-01,216.69,116.9238,99.7676
1997-02,175.76,98.4665,77.2897
1997-03,251.45,140.4664,110.9788
1997-04,260.15,147.9465,112.2006
1997-05,267.51,151.9237,115.5835
1997-06,265.93,153.7327,112.1991
1997-07,283.37,155.4568,127.9113
1997-08,270.98,160.2738,110.7042
1997-09,280.43,165.6264,114.8044
1997-10,306.58,178.1661,128.4164
1997-11,288.49,167.5194,120.9696
1997-12,382.69,191.9038,190.7848
1998-01,213.70,126.7572,86.9459
1998-02,211.50,121.5768,89.9271
1998-03,271.79,153.7711,118.0208
1998-04,276.38,159.5181,116.8601
1998-05,262.18,149.2650,112.9100
1998-06,274.65,156.0884,118.5627
1998-07,281.22,161.5744,119.6411
1998-08,264.36,155.5723,108.7887
1998-09,270.18,154.7559,115.4286
1998-10,263.82,147.2973,116.5268
1998-11,274.73,151.2758,123.4558
1998-12,376.80,200.0128,176.7859
1999-01,212.96,113.9261,99.0333
1999-02,197.22,110.0005,87.2224
1999-03,292.56,148.7794,143.7803
1999-04,286.42,148.0418,138.3741
1999-05,291.89,155.3194,136.5722
1999-06,299.21,153.9806,145.2296
1999-07,312.60,173.3866,139.2140
1999-08,317.72,183.2534,134.4647
1999-09,338.44,185.7626,152.6800
1999-10,320.25,182.3192,137.9276
1999-11,363.85,194.7663,169.0863
1999-12,376.61,202.3866,174.2239
2000-01,320.56,167.9728,152.5839
2000-02,282.04,147.7538,134.2861
2000-03,379.60,201.4648,178.1358
2000-04,388.61,205.0039,183.6080
2000-05,370.72,201.0518,169.6643
2000-06,424.94,221.9297,203.0140
2000-07,409.70,214.7851,194.9163
2000-08,441.17,233.2919,207.8774
2000-09,436.88,229.7329,207.1503
2000-10,417.16,227.9997,189.1640
2000-11,437.96,221.5488,216.4088
2000-12,434.00,219.8615,214.1425
2001-01,324.57,169.1600,155.4100
2001-02,374.24,191.9900,182.2600
2001-03,439.08,231.3900,207.6900
2001-04,446.52,227.9200,218.6000
2001-05,396.29,208.2100,188.0900
2001-06,433.33,220.8100,212.5200
2001-07,438.43,228.8800,209.5500
2001-08,457.02,235.4000,221.6200
2001-09,458.40,239.8900,218.5100
2001-10,416.92,227.9100,189.0200
2001-11,448.45,240.0000,208.4500
2001-12,468.93,245.0300,223.9000
2002-01,406.74,217.0300,189.7000
2002-02,350.56,191.3700,159.1900
2002-03,463.25,238.1800,225.0700
2002-04,524.79,267.2500,257.5500
2002-05,470.79,246.4400,224.3500
2002-06,491.15,260.1900,230.9600
2002-07,561.98,292.1000,269.8800
2002-08,566.42,294.3700,272.0500
2002-09,617.07,319.1300,297.9400
2002-10,551.47,299.4600,252.0000
2002-11,599.43,312.0500,287.3900
2002-12,606.24,318.9100,287.3300
2003-01,607.92,297.7600,310.1600
2003-02,482.42,244.6200,237.8000
2003-03,646.42,320.9100,325.5100
2003-04,702.20,356.1700,346.0300
2003-05,654.46,338.4200,316.0400
2003-06,668.12,344.7600,323.3600
2003-07,746.20,381.1000,365.1000
2003-08,720.40,374.2000,346.2000
2003-09,835.90,419.4000,416.5000
2003-10,761.20,409.3000,351.9000
2003-11,786.60,417.6000,368.9000
2003-12,904.00,480.7000,423.4000
2004-01,714.50,357.2000,357.4000
2004-02,761.90,341.6000,420.3000
2004-03,922.36,458.4800,463.8800
2004-04,965.00,471.2000,493.8000
2004-05,876.30,448.7000,427.7000
2004-06,991.50,505.0000,486.5000
2004-07,999.80,510.0000,489.7000
2004-08,983.10,514.0000,469.1000
2004-09,1066.10,558.0000,508.1000
2004-10,979.60,525.3000,454.3000
2004-11,1119.60,609.3000,510.3000
2004-12,1164.90,637.8000,527.1000
2005-01,950.60,507.8000,442.9000
2005-02,844.50,445.3000,399.2000
2005-03,1160.10,608.7000,551.4000
2005-04,1197.10,621.5000,575.6000
2005-05,1078.70,584.3000,494.4000
2005-06,1222.40,659.6000,562.8000
2005-07,1207.60,655.8000,551.8000
2005-08,1256.00,678.2000,577.8000
2005-09,1328.10,701.9000,626.2000
2005-10,1241.70,680.9000,560.8000
2005-11,1337.50,721.2000,616.2000
2005-12,1398.10,754.1000,644.0000
2006-01,1204.90,649.9000,555.0000
2006-02,1058.50,541.5000,517.0000
2006-03,1449.00,780.5000,668.6000
2006-04,1434.40,769.5000,664.9000
2006-05,1332.20,731.1000,601.1000
2006-06,1481.20,813.1000,668.1000
2006-07,1460.60,803.4000,657.2000
2006-08,1627.40,907.7000,719.7000
2006-09,1679.80,916.4000,763.4000
2006-10,1524.30,881.3000,643.0000
2006-11,1687.90,958.5000,729.3000
2006-12,1672.00,941.0000,731.0000
2007-01,1573.60,866.2000,707.4000
2007-02,1404.40,821.0000,583.4000
2007-03,1599.90,834.3000,765.6000
2007-04,1780.20,974.4000,805.7000
2007-05,1656.50,940.6000,716.0000
2007-06,1796.30,1032.7000,763.6000
2007-07,1911.30,1077.4000,833.9000
2007-08,1977.40,1113.6000,863.8000
2007-09,2010.50,1124.8000,885.7000
2007-10,1884.00,1077.2000,806.7000
2007-11,2089.60,1176.2000,913.4000
2007-12,2061.50,1144.2000,917.3000
2008-01,1998.30,1096.5000,901.7000
2008-02,1661.80,873.7000,788.1000
2008-03,2045.20,1089.6000,955.6000
2008-04,2207.40,1187.1000,1020.3000
2008-05,2207.80,1205.0000,1002.9000
2008-06,2217.10,1215.3000,1001.8000
2008-07,2480.70,1366.8000,1114.0000
2008-08,2410.50,1348.7000,1061.8000
2008-09,2435.00,1364.4000,1070.7000
2008-10,2214.10,1283.3000,930.9000
2008-11,1898.90,1149.9000,749.0000
2008-12,1833.30,1111.6000,721.8000
2009-01,1418.00,904.5000,513.4000
2009-02,1249.50,648.9000,600.5000
2009-03,1620.20,902.9000,717.3000
2009-04,1707.30,919.3000,788.0000
2009-05,1641.30,887.6000,753.7000
2009-06,1825.70,954.1000,871.6000
2009-07,2002.10,1054.2000,947.9000
2009-08,1917.00,1037.1000,880.0000
2009-09,2189.40,1159.4000,1030.1000
2009-10,1975.40,1107.6000,867.8000
2009-11,2082.10,1136.5000,945.6000
2009-12,2430.20,1307.2000,1122.9000
2010-01,2047.80,1094.8000,953.1000
2010-02,1814.30,945.2000,869.1000
2010-03,2314.60,1121.1000,1193.5000
2010-04,2381.60,1199.2000,1182.4000
2010-05,2439.90,1317.6000,1122.3000
2010-06,2547.70,1374.0000,1173.7000
2010-07,2623.10,1455.2000,1167.9000
2010-08,2585.70,1393.0000,1192.7000
2010-09,2731.00,1449.9000,1281.1000
2010-10,2448.10,1359.8000,1088.3000
2010-11,2837.60,1533.3000,1304.4000
2010-12,2952.20,1541.5000,1410.7000
2011-01,2950.10,1507.3000,1442.7000
2011-02,2007.80,967.4000,1040.4000
2011-03,3042.60,1522.0000,1520.6000
2011-04,2999.50,1556.9000,1442.6000
2011-05,3012.70,1571.6000,1441.1000
2011-06,3016.90,1619.8000,1397.1000
2011-07,3187.70,1751.3000,1436.4000
2011-08,3288.70,1733.2000,1555.6000
2011-09,3248.30,1696.7000,1551.6000
2011-10,2979.50,1574.9000,1404.6000
2011-11,3344.00,1744.6000,1599.4000
2011-12,3329.20,1747.2000,1582.0000
2012-01,2726.00,1499.4000,1226.6000
2012-02,2604.30,1144.7000,1459.5000
2012-03,3259.70,1656.6000,1603.1000
2012-04,3080.80,1632.5000,1448.3000
2012-05,3435.80,1811.4000,1624.4000
2012-06,3286.90,1802.0000,1484.8000
2012-07,3287.30,1769.4000,1517.9000
2012-08,3292.90,1779.7000,1513.1000
2012-09,3450.30,1863.5000,1586.8000
2012-10,3191.50,1755.7000,1435.8000
2012-11,3391.30,1793.8000,1597.5000
2012-12,3668.40,1992.3000,1676.1000
2013-01,3455.80,1873.7000,1582.2000
2013-02,2634.90,1393.7000,1241.2000
2013-03,3652.60,1821.9000,1830.7000
2013-04,3559.60,1870.6000,1689.0000
2013-05,3451.10,1827.7000,1623.4000
2013-06,3215.10,1743.2000,1471.9000
2013-07,3541.60,1859.9000,1681.7000
2013-08,3527.00,1906.1000,1620.9000
2013-09,3560.80,1856.4000,1704.4000
2013-10,3397.00,1854.1000,1543.0000
2013-11,3706.10,2022.1000,1684.0000
2013-12,3898.40,2077.4000,1821.0000
2014-01,3823.90,2071.3000,1752.6000
2014-02,2511.80,1140.9000,1370.8000
2014-03,3325.20,1701.1000,1624.1000
2014-04,3586.30,1885.4000,1700.9000
2014-05,3550.20,1954.7000,1595.5000
2014-06,3420.10,1867.9000,1552.2000
2014-07,3784.80,2128.9000,1655.9000
2014-08,3670.90,2084.6000,1586.3000
