月度标识,地区代码,地区名称,Category,本月进口金额
2004-01-01,402,阿根廷,总值,176911
2004-01-01,138,阿拉伯联合酋长国,总值,102178
2004-01-01,315,奥地利,总值,92126
2004-01-01,601,澳大利亚,总值,772050
2004-01-01,127,巴基斯坦,总值,44465
2004-01-01,410,巴西,总值,430163
2004-01-01,301,比利时,总值,198177
2004-01-01,327,波兰,总值,32805
2004-01-01,302,丹麦,总值,80488
2004-01-01,304,德国,总值,2066654
2004-01-01,305,法国,总值,351305
2004-01-01,129,菲律宾,总值,505527
2004-01-01,318,芬兰,总值,233507
2004-01-01,145,哈萨克斯坦,总值,181123
2004-01-01,133,韩国,总值,4066900
2004-01-01,501,加拿大,总值,485990
2004-01-01,328,罗马尼亚,总值,51353
2004-01-01,122,马来西亚,总值,1161129
2004-01-01,244,南非,总值,217453
2004-01-01,704,欧洲联盟,总值,4471766
2004-01-01,116,日本,总值,5440720
2004-01-01,330,瑞典,总值,219069
2004-01-01,331,瑞士,总值,206755
2004-01-01,131,沙特阿拉伯,总值,408737
2004-01-01,136,泰国,总值,769701
2004-01-01,137,土耳其,总值,74081
2004-01-01,347,乌克兰,总值,72444
2004-01-01,312,西班牙,总值,103688
2004-01-01,110,香港,总值,727474
2004-01-01,132,新加坡,总值,924227
2004-01-01,609,新西兰,总值,75533
2004-01-01,307,意大利,总值,426234
2004-01-01,111,印度,总值,556316
2004-01-01,112,印度尼西亚,总值,442416
2004-01-01,303,英国,总值,261738
2004-01-01,141,越南,总值,179748
2004-01-01,412,智利,总值,221593
2004-01-01,143,台湾省,总值,4255669
2004-01-01,502,美国,总值,3269210
2004-01-01,106,缅甸,总值,16142
2004-01-01,309,荷兰,总值,167969
2004-01-01,109,朝鲜,总值,19250
2004-01-01,344,俄罗斯联邦,总值,805316
2004-01-01,121,澳门,总值,10806
2004-01-01,113,伊朗,总值,393406
2004-02-01,402,阿根廷,总值,207000
2004-02-01,138,阿拉伯联合酋长国,总值,90248
2004-02-01,315,奥地利,总值,124733
2004-02-01,601,澳大利亚,总值,790274
2004-02-01,127,巴基斯坦,总值,51022
2004-02-01,410,巴西,总值,582775
2004-02-01,301,比利时,总值,299179
2004-02-01,327,波兰,总值,27338
2004-02-01,302,丹麦,总值,76942
2004-02-01,304,德国,总值,2178372
2004-02-01,305,法国,总值,478039
2004-02-01,129,菲律宾,总值,622966
2004-02-01,318,芬兰,总值,187443
2004-02-01,145,哈萨克斯坦,总值,279726
2004-02-01,133,韩国,总值,4637373
2004-02-01,501,加拿大,总值,503514
2004-02-01,328,罗马尼亚,总值,44782
2004-02-01,122,马来西亚,总值,1290843
2004-02-01,244,南非,总值,226976
2004-02-01,704,欧洲联盟,总值,4991068
2004-02-01,116,日本,总值,7422604
2004-02-01,330,瑞典,总值,318441
2004-02-01,331,瑞士,总值,290448
2004-02-01,131,沙特阿拉伯,总值,494104
2004-02-01,136,泰国,总值,902075
2004-02-01,137,土耳其,总值,84830
2004-02-01,347,乌克兰,总值,141398
2004-02-01,312,西班牙,总值,158087
2004-02-01,110,香港,总值,814894
2004-02-01,132,新加坡,总值,1005704
2004-02-01,609,新西兰,总值,116070
2004-02-01,307,意大利,总值,431574
2004-02-01,111,印度,总值,685425
2004-02-01,112,印度尼西亚,总值,579257
2004-02-01,303,英国,总值,294001
2004-02-01,141,越南,总值,176057
2004-02-01,412,智利,总值,271969
2004-02-01,309,荷兰,总值,173899
2004-02-01,121,澳门,总值,15103
2004-02-01,109,朝鲜,总值,19083
2004-02-01,143,台湾省,总值,4649227
2004-02-01,113,伊朗,总值,352950
2004-02-01,106,缅甸,总值,18188
2004-02-01,344,俄罗斯联邦,总值,881897
2004-02-01,502,美国,总值,3986933
2004-03-01,402,阿根廷,总值,128999
2004-03-01,138,阿拉伯联合酋长国,总值,88138
2004-03-01,315,奥地利,总值,105546
2004-03-01,601,澳大利亚,总值,916191
2004-03-01,127,巴基斯坦,总值,52157
2004-03-01,410,巴西,总值,557321
2004-03-01,301,比利时,总值,311992
2004-03-01,327,波兰,总值,46958
2004-03-01,302,丹麦,总值,96920
2004-03-01,304,德国,总值,2748598
2004-03-01,305,法国,总值,564060
2004-03-01,129,菲律宾,总值,688608
2004-03-01,318,芬兰,总值,226662
2004-03-01,145,哈萨克斯坦,总值,252479
2004-03-01,133,韩国,总值,5036463
2004-03-01,501,加拿大,总值,563199
2004-03-01,328,罗马尼亚,总值,31435
2004-03-01,122,马来西亚,总值,1551122
2004-03-01,244,南非,总值,258877
2004-03-01,704,欧洲联盟,总值,5972952
2004-03-01,116,日本,总值,8293372
2004-03-01,330,瑞典,总值,305139
2004-03-01,331,瑞士,总值,331999
2004-03-01,131,沙特阿拉伯,总值,548402
2004-03-01,136,泰国,总值,997307
2004-03-01,137,土耳其,总值,83228
2004-03-01,347,乌克兰,总值,134711
2004-03-01,312,西班牙,总值,134009
2004-03-01,110,香港,总值,962919
2004-03-01,132,新加坡,总值,1095480
2004-03-01,609,新西兰,总值,129780
2004-03-01,307,意大利,总值,515158
2004-03-01,111,印度,总值,880361
2004-03-01,112,印度尼西亚,总值,533251
2004-03-01,303,英国,总值,438923
2004-03-01,141,越南,总值,220857
2004-03-01,412,智利,总值,231007
2004-03-01,309,荷兰,总值,226708
2004-03-01,121,澳门,总值,16147
2004-03-01,143,台湾省,总值,5323173
2004-03-01,109,朝鲜,总值,30457
2004-03-01,113,伊朗,总值,396256
2004-03-01,344,俄罗斯联邦,总值,1053419
2004-03-01,106,缅甸,总值,24635
2004-03-01,502,美国,总值,4087587
2004-04-01,402,阿根廷,总值,196317
2004-04-01,138,阿拉伯联合酋长国,总值,98370
2004-04-01,315,奥地利,总值,123489
2004-04-01,601,澳大利亚,总值,978239
2004-04-01,127,巴基斯坦,总值,52628
2004-04-01,410,巴西,总值,707221
2004-04-01,301,比利时,总值,305714
2004-04-01,327,波兰,总值,76898
2004-04-01,302,丹麦,总值,90330
2004-04-01,304,德国,总值,2670448
2004-04-01,305,法国,总值,695322
2004-04-01,129,菲律宾,总值,639418
2004-04-01,318,芬兰,总值,249538
2004-04-01,145,哈萨克斯坦,总值,186273
2004-04-01,133,韩国,总值,5383602
2004-04-01,501,加拿大,总值,686572
2004-04-01,328,罗马尼亚,总值,39502
2004-04-01,122,马来西亚,总值,1619756
2004-04-01,244,南非,总值,301468
2004-04-01,704,欧洲联盟,总值,6184540
2004-04-01,116,日本,总值,8649433
2004-04-01,330,瑞典,总值,302688
2004-04-01,331,瑞士,总值,276269
2004-04-01,131,沙特阿拉伯,总值,424099
2004-04-01,136,泰国,总值,900557
2004-04-01,137,土耳其,总值,65871
2004-04-01,347,乌克兰,总值,205685
2004-04-01,312,西班牙,总值,185252
2004-04-01,110,香港,总值,992482
2004-04-01,132,新加坡,总值,1296712
2004-04-01,609,新西兰,总值,150291
2004-04-01,307,意大利,总值,558556
2004-04-01,111,印度,总值,838120
2004-04-01,112,印度尼西亚,总值,658934
2004-04-01,303,英国,总值,424890
2004-04-01,141,越南,总值,206410
