CRE_Gdp01(Merge Query)
年度标识,省份编码,省份名称,地区生产总值,人均地区生产总值,年底人口数,地区进出口总额,地区出口总额,地区进口总额,外资企业年底注册数量,外资企业投资总额,外资企业注册资本
2024,142,中国,1349083.5000,95749.0000,140828.0000,,,,,,
2023,460000,海南省,7551.2000,72958.0000,1043.0000,3293000.0000,1054000.0000,2239000.0000,8494.0000,97485.0000,92930.0000
2023,640000,宁夏回族自治区,5315.0000,72957.0000,729.0000,293000.0000,214000.0000,79000.0000,872.0000,286.0000,135.0000
2023,650000,新疆维吾尔自治区,19125.9000,73774.0000,2598.0000,5068000.0000,4289000.0000,779000.0000,2174.0000,1055.0000,770.0000
2023,120000,天津市,16737.3000,122752.0000,1364.0000,11389000.0000,5168000.0000,6221000.0000,14428.0000,3121.0000,2691.0000
2023,430000,湖南省,50012.9000,75938.0000,6568.0000,8798000.0000,5721000.0000,3077000.0000,13778.0000,2504.0000,1389.0000
2023,410000,河南省,59132.4000,60073.0000,9815.0000,11517000.0000,7501000.0000,4016000.0000,10742.0000,10965.0000,6228.0000
2023,360000,江西省,32200.1000,71216.0000,4515.0000,8108000.0000,5610000.0000,2498000.0000,7318.0000,1898.0000,1296.0000
2023,320000,江苏省,128222.2000,150487.0000,8526.0000,74615000.0000,47939000.0000,26676000.0000,65804.0000,15592.0000,8829.0000
2023,610000,陕西省,33786.1000,85448.0000,3952.0000,5754000.0000,3744000.0000,2009000.0000,7572.0000,1927.0000,1150.0000
2023,500000,重庆市,30145.8000,94147.0000,3191.0000,10143000.0000,6794000.0000,3349000.0000,7145.0000,1823.0000,1215.0000
2023,450000,广西壮族自治区,27202.4000,54005.0000,5027.0000,9817000.0000,5139000.0000,4679000.0000,7655.0000,9671.0000,1640.0000
2023,510000,四川省,60132.9000,71835.0000,8368.0000,13588000.0000,8577000.0000,5011000.0000,15711.0000,2779.0000,1557.0000
2023,110000,北京市,43760.7000,200278.0000,2186.0000,51848000.0000,8526000.0000,43322000.0000,34871.0000,8099.0000,5715.0000
2023,130000,河北省,43944.1000,59332.0000,7393.0000,8279000.0000,4979000.0000,3300000.0000,10763.0000,2766.0000,1522.0000
2023,330000,浙江省,82553.2000,125043.0000,6627.0000,69677000.0000,50726000.0000,18951000.0000,49281.0000,7423.0000,5096.0000
2023,310000,上海市,47218.7000,190321.0000,2487.0000,59922000.0000,24704000.0000,35219000.0000,97479.0000,12733.0000,8492.0000
2023,530000,云南省,30021.1000,64107.0000,4673.0000,3677000.0000,1315000.0000,2363000.0000,7304.0000,2645.0000,1674.0000
