CRE_Gdp01(Merge Query),,,,,,,,,,,
年度标识,省份编码,省份名称,地区生产总值,人均地区生产总值,年底人口数,地区进出口总额,地区出口总额,地区进口总额,外资企业年底注册数量,外资企业投资总额,外资企业注册资本
2024,142,中国,1349083.5,95749,140828,,,,,,
2023,460000,海南省,7551.2,72958,1043,3293000,1054000,2239000,8494,97485,92930
2023,640000,宁夏回族自治区,5315,72957,729,293000,214000,79000,872,286,135
2023,650000,新疆维吾尔自治区,19125.9,73774,2598,5068000,4289000,779000,2174,1055,770
2023,120000,天津市,16737.3,122752,1364,11389000,5168000,6221000,14428,3121,2691
2023,430000,湖南省,50012.9,75938,6568,8798000,5721000,3077000,13778,2504,1389
2023,410000,河南省,59132.4,60073,9815,11517000,7501000,4016000,10742,10965,6228
2023,360000,江西省,32200.1,71216,4515,8108000,5610000,2498000,7318,1898,1296
2023,320000,江苏省,128222.2,150487,8526,74615000,47939000,26676000,65804,15592,8829
2023,610000,陕西省,33786.1,85448,3952,5754000,3744000,2009000,7572,1927,1150
2023,500000,重庆市,30145.8,94147,3191,10143000,6794000,3349000,7145,1823,1215
2023,450000,广西壮族自治区,27202.4,54005,5027,9817000,5139000,4679000,7655,9671,1640
2023,510000,四川省,60132.9,71835,8368,13588000,8577000,5011000,15711,2779,1557
2023,110000,北京市,43760.7,200278,2186,51848000,8526000,43322000,34871,8099,5715
2023,130000,河北省,43944.1,59332,7393,8279000,4979000,3300000,10763,2766,1522
2023,330000,浙江省,82553.2,125043,6627,69677000,50726000,18951000,49281,7423,5096
2023,310000,上海市,47218.7,190321,2487,59922000,24704000,35219000,97479,12733,8492
2023,530000,云南省,30021.1,64107,4673,3677000,1315000,2363000,7304,2645,1674
2023,150000,内蒙古自治区,24627,102677,2396,2784000,1108000,1675000,3284,598,378
2023,140000,山西省,25698.2,73984,3466,2400000,1490000,910000,3879,617,617
2023,350000,福建省,54355.1,129865,4183,28076000,16725000,11351000,34828,7896,6884
2023,520000,贵州省,20913.3,54172,3865,1078000,739000,339000,3860,2142,1671
2023,340000,安徽省,47050.6,76830,6121,11440000,7434000,4007000,8880,3515,2110
2023,370000,山东省,92068.7,90771,10123,46438000,27616000,18822000,37304,27481,20446
2023,220000,吉林省,13531.2,57739,2339.41,2380000,889000,1491000,4524,1401,957
2023,210000,辽宁省,30209.4,72107,4182,10906000,5027000,5879000,16178,6161,3326
2023,440000,广东省,135673.2,106985,12706,117992000,77293000,40699000,199057,23059,16253
2023,630000,青海省,3799.1,63903,594,69000,42000,27000,725,188,153
2023,420000,湖北省,55803.6,95538,5838,9153000,6148000,3005000,14145,2467,2808
2023,540000,西藏自治区,2392.7,65642,365,154000,138000,16000,296,32864,116316
2023,230000,黑龙江省,15883.9,51563,3062,4238000,1079000,3159000,5282,1809,1635
2023,620000,甘肃省,11863.8,47867,2465.479,700000,176000,524000,2062,410,335
2023,142,中国,1260582.075,89357.9881,140967,,,,,,
2022,450000,广西壮族自治区,26300.9,52164,5047,9600000,5296000,4304000,7276,9707,1580
2022,510000,四川省,56749.8,67777,8374,15069000,9274000,5795000,14918,2682,1401
2022,120000,天津市,16311.3,119235,1363,12461000,5608000,6853000,14616,3057,2612
2022,142,中国,1204723.953,85309.8201,,,,,,,
2022,630000,青海省,3610.1,60724,595,61000,36000,25000,728,108,58
2022,460000,海南省,6818.2,66602,1027,3002000,1073000,1929000,7161,56704,51985
2022,360000,江西省,32074.7,70923,4528,9938000,7556000,2382000,7308,1612,1070
2022,500000,重庆市,29129,90663,3213,12200000,7836000,4364000,6936,1560,1100
2022,350000,福建省,53109.9,126829,4188,29739000,18205000,11534000,33062,3940,2813
2022,110000,北京市,41610.9,190313,2184,54609000,8809000,45800000,34426,7540,5171
2022,320000,江苏省,122875.6,144390,8515,81431000,51932000,29499000,65078,14916,8826
2022,150000,内蒙古自治区,23158.6,96474,2401,2253000,919000,1333000,3186,506,243
2022,140000,山西省,25642.6,73675,3481,2751000,1802000,949000,3780,617,617
2022,370000,山东省,87435.1,86003,10163,48286000,28836000,19450000,37099,25517,19692
2022,530000,云南省,28954.2,61716,4693,4857000,2296000,2561000,6322,2369,1487
2022,410000,河南省,61345.1,62106,9872,12711000,7808000,4902000,10217,1030,743
2022,310000,上海市,44652.8,179907,2475,62581000,25585000,36996000,98408,12559,8308
2022,330000,浙江省,77715.4,118496,6577,70330000,51591000,18739000,46944,7069,4826
2022,610000,陕西省,32772.7,82864,3956,7148000,4472000,2677000,7392,2005,1053
2022,220000,吉林省,13070.2,55347,2348,2339000,752000,1587000,4221,1264,774
2022,420000,湖北省,53734.9,92059,5844,9210000,6259000,2950000,13230,2528,1740
2022,540000,西藏自治区,2132.6,58438,364,69000,65000,4000,288,27,21
2022,130000,河北省,42370.4,56995,7420,8239000,4928000,3311000,10494,2667,1446
2022,520000,贵州省,20164.6,52321,3856,1085000,682000,403000,3582,2147,1661
2022,340000,安徽省,45045,73603,6127,11309000,7134000,4175000,8407,3387,1656
2022,230000,黑龙江省,15901,51096,3099,3969000,813000,3156000,5853,1798,1581
2022,640000,宁夏回族自治区,5069.6,69781,728,322000,242000,80000,865,304,159
2022,210000,辽宁省,28975.1,68775,4197,11866000,5369000,6496000,16309,5171,2706
2022,650000,新疆维吾尔自治区,17741.3,68552,2587,3660000,3104000,556000,1959,616,360
2022,430000,湖南省,48670.4,73598,6604,10509000,7686000,2824000,12599,2464,1345
2022,440000,广东省,129118.6,101905,12657,124550000,79905000,44645000,189439,24141,11363
2022,620000,甘肃省,11201.6,44968,2492,858000,180000,678000,2037,410,333
2021,460000,海南省,6475.2,63707,1020.46,2275000,507000,1768000,6071,45272.3326,39657.7054
2021,650000,新疆维吾尔自治区,15983.6469,61725,2589,2430000,1970000,460000,1965,568.0594,266.064
2021,120000,天津市,15695.0458,113732,1373,13257000,5997000,7260000,15021,10216.7259,2599.4803
2021,320000,江苏省,116364.2,137039,8505.4,80647000,50346000,30301000,64643,14308.5978,8057.8962
2021,610000,陕西省,29800.9793,75360,3954,7356000,3969000,3387000,7082,1954.9024,1008.529
2021,410000,河南省,58887.4053,59410,9883,12701000,7778000,4923000,10307,1051.5432,749.5408
2021,360000,江西省,29619.673,65560,4517.4033,7701000,5677000,2024000,7033,1517.9629,1044.394
2021,330000,浙江省,73515.7577,113032,6540,64093000,46610000,17483000,45922,6673.2222,4518.8029
2021,510000,四川省,53850.79,64326,8372,14743000,8841000,5902000,14733,2385.6723,1187.6352
2021,370000,山东省,83095.9,81727,10170,45387000,27184000,18203000,36756,16328.0515,10665.2039
2021,350000,福建省,48810.3558,116939,4187,28525000,16734000,11791000,32450,3371.5497,2192.1577
2021,500000,重庆市,27894.02,86879,3414.6568,12382000,8000000,4382000,6873,1335.2877,877.8722
2021,450000,广西壮族自治区,24740.86,49206,5733,9172000,4545000,4627000,7028,9005.5139,1195.2513
2021,220000,吉林省,13235.5152,55450,2375.37,2325000,547000,1778000,4250,1437.5456,1154.4536
2021,310000,上海市,43214.85,173630,2489.43,62852000,24323000,38529000,97342,12155.3662,8065.0841
2021,530000,云南省,27146.7644,57686,4690,4868000,2734000,2134000,6130,1641.3695,824.0491
2021,110000,北京市,40269.55,183980,2188.6,47100000,9471000,37629000,34079,7171.806,4784.8703
2021,130000,河北省,40391.27,54172,7448,8385000,4690000,3695000,10187,2353.8115,1143.1602
2021,150000,内蒙古自治区,20514.1947,85422,2400,1914000,740000,1174000,3200,606.1543,237.3822
2021,140000,山西省,22590.1608,64821,3480.48,3453000,2114000,1339000,3730,890.3882,661.4451
2021,340000,安徽省,42959.1753,70321,6113,10700000,6337000,4363000,8490,3247.6547,2362.9032
2021,520000,贵州省,19586.4224,50808,3852,1013000,754000,259000,3488,945.6017,509.2595
2021,540000,西藏自治区,2080.1728,56831,366.01,62000,35000,27000,300,27.3333,20.9779
2021,630000,青海省,3346.6341,56398,594,49000,26000,23000,734,101.9876,56.4634
2021,142,中国,1149236.979,81369.975,141260,,,,,,
2021,620000,甘肃省,10243.3051,41046,2490.0157,761000,150000,611000,2396,418.0826,330.0404
2021,440000,广东省,124369.6716,98285,12684,127957000,78186000,49771000,185553,23284.708,10723.7736
2021,430000,湖南省,46063.0863,69440,7246.2579,9240000,6520000,2720000,11698,2357.146,1254.6549
2021,230000,黑龙江省,14879.19,47266,3125,3086000,693000,2393000,5888,1734.0098,1519.5748
2021,420000,湖北省,50012.9369,86416,5830,8308000,5430000,2878000,12940,2326.9891,1561.8466
2021,640000,宁夏回族自治区,4522.3088,62549,725,332000,271000,61000,910,279.5622,135.2058
2021,210000,辽宁省,27584.075,65026,4229,11946000,5125000,6821000,16363,4602.6427,2598.3053
2020,640000,宁夏回族自治区,3920.55,54527.82,720.9319,178244.6307,125148.2195,53096.4112,899,269.9276,128.8565
2020,460000,海南省,5532.39,55130.94,1012.34,1358683.05,402400.3051,956282.7453,4234,27449.5595,23013.5202
2020,650000,新疆维吾尔自治区,13797.58,53593.24,2590,2137381.122,1583039.975,554341.1461,1994,320.4221,267.2638
2020,430000,湖南省,41781.49,62900.25,6645.39,7068446.174,4782423.23,2286022.944,10715,2149.0575,1067.2448
2020,230000,黑龙江省,13698.5,42634.61,3171,2223092.078,519069.9829,1704022.095,6278,1685.5786,1539.2563
2020,450000,广西壮族自治区,22156.69,44308.95,5019,7041405.018,3917505.359,3123899.659,6577,2893.8916,770.1833
2020,500000,重庆市,25002.79,78170.36,3208.93,9418110.444,6052582.966,3365527.478,6719,1238.9523,774.335
2020,610000,陕西省,26181.86,66291.58,3955,5459581.079,2788957.207,2670623.872,6287,1832.7178,893.8054
2020,510000,四川省,48598.76,58125.54,8371,11689817.13,6723694.016,4966123.114,13545,2962.7873,1476.9799
2020,340000,安徽省,38680.63,63426.47,6105,7870404.051,4557872.373,3312531.678,8281,3227.0386,1022.2159
2020,530000,云南省,24521.9,51975.2,4722,3912838.285,2213683.943,1699154.342,6062,1424.3114,632.2836
2020,410000,河南省,54997.07,55435.01,9941,9726670.915,5929639.911,3797031.004,10243,1119.1976,746.537
2020,330000,浙江省,64613.34,100620.32,6468,48854280.64,36310992.19,12543288.46,44024,5892.6401,3750.7294
2020,310000,上海市,38700.58,155768.08,2488.36,50383136.32,19804360.91,30578775.42,92922,10333.9458,7139.2233
2020,110000,北京市,36102.55,164889.47,2189.3,33647807.96,6714936.902,26932871.06,32545,6469.0716,4200.6539
2020,150000,内蒙古自治区,17359.82,72062.35,2402.8,1522270.053,504004.5337,1018265.52,3329,560.8426,208.4437
2020,140000,山西省,17651.93,50527.92,3490.5,2184201.457,1268292.552,915908.9047,3617,925.5895,614.8811
2020,130000,河北省,36206.89,48564,7463.84,6447022.64,3644803.767,2802218.873,10088,2254.0192,1057.8287
2020,360000,江西省,25691.5,56871.06,4518.8635,5802583.601,4205576.01,1597007.591,6813,1330.8596,817.1449
2020,350000,福建省,43903.89,105818,4161,20358082.22,12238298.19,8119784.037,31638,3152.5499,1990.2264
2020,320000,江苏省,102718.98,121230.95,8477.26,64283183.91,39612675.59,24670508.32,63031,13697.2937,7344.931
2020,620000,甘肃省,9016.7,35994.81,2501.02,552972.8567,123768.2172,429204.6395,2532,259.3102,185.1593
2020,220000,吉林省,12311.32,50799.75,2399.44,1852632.543,420647.5372,1431985.005,4249,707.737,442.8561
2020,520000,贵州省,17826.56,46266.7,3858,791068.8523,622673.8605,168394.9918,3184,835.7348,409.2379
2020,370000,山东省,73129,72151.35,10165,32021039.04,18891973.16,13129065.88,35378,12073.0832,7721.8611
2020,440000,广东省,110760.94,88210.04,12624,102402445.6,62825717.33,39576728.27,175397,21671.8083,9855.0062
2020,120000,天津市,14083.73,101614.21,1386.6,10632181.56,4434874.169,6197307.393,15151,3064.2347,2523.4247
2020,420000,湖北省,43443.46,74440.47,5775.26,6224567.598,3906261.116,2318306.482,12468,2370.7094,1308.839
2020,540000,西藏自治区,1902.74,52344.98,364.81,31053.2414,18809.3826,12243.8588,282,28.5869,19.0728
2020,630000,青海省,3005.92,50818.6,,33279.9965,17792.8884,15487.1081,663,78.1853,29.3586
2020,210000,辽宁省,25114.96,58872.39,4255,9482832.035,3832684.943,5650147.092,16257,4157.3088,2382.8895
2020,142,中国,1013567.002,71828.1484,141212,,,,,,
2019,420000,湖北省,45828.31,77386.54,5927,5716060.25,3599534.941,2116525.309,12378,1864.3772,1031.8656
2019,540000,西藏自治区,1697.82,48902,351,70286.3213,54082.9474,16203.3739,278,26.6498,18.2109
2019,650000,新疆维吾尔自治区,13597.11,54280,2523,2370734.83,1804431.412,566303.4181,1932,241.2289,161.9295
2019,430000,湖南省,39752.12,57540.26,6918,6284983.507,4454073.838,1830909.669,9870,1841.2582,797.5153
2019,460000,海南省,5308.93,56506.83,945,1315274.777,498703.2078,816571.5695,3319,1045.2847,813.3644
2019,640000,宁夏回族自治区,3748.48,54217,695,348961.0798,215930.0509,133031.0289,898,264.6254,120.3403
2019,340000,安徽省,37113.98,58495.57,6366,6873032.439,4041111.646,2831920.793,7903,1656.4258,854.3637
2019,230000,黑龙江省,13612.68,36182.77,3751,2710864.497,506850.9715,2204013.526,5296,460.461,287.6439
2019,620000,甘肃省,8718.3,32994.56,2647,552008.7691,190699.593,361309.1761,2554,256.165,184.8115
2019,120000,天津市,14104.28,90370.63,1562,10664567.08,4379183.005,6285384.071,15290,3105.4365,2200.6219
2019,320000,江苏省,99631.52,123607,8070,62951593.45,39482828.1,23468765.35,62360,11735.1451,6372.8055
2019,360000,江西省,24757.5,53164,4666,5088978.328,3619295.471,1469682.857,6791,1009.8549,725.8331
2019,450000,广西壮族自治区,21237.14,42964,4960,6822163.681,3774650.056,3047513.624,5972,916.3993,470.6847
2019,500000,重庆市,23605.77,75828,3124,8394958.457,5380328.856,3014629.601,6358,1110.6997,704.5339
2019,510000,四川省,46615.82,55774,8375,9840066.178,5654524.593,4185541.585,12950,2890.6035,1553.6164
2019,140000,山西省,17026.68,45724,3729,2098162.539,1169022.362,929140.1769,3520,701.3634,361.9757
2019,130000,河北省,35104.52,46347.89,7592,5804328.218,3438093.683,2366234.535,9700,1589.9123,789.4738
2019,330000,浙江省,62351.74,107623.61,5850,44722450.87,33460475.67,11261975.2,43121,5006.9282,3234.749
2019,630000,青海省,2965.95,48981.46,608,54481.5169,29353.2656,25128.2513,548,78.3424,29.1919
2019,350000,福建省,42395,107139.25,3973,19311115.11,12020256.63,7290858.481,31608,2974.7115,1765.5891
2019,370000,山东省,71067.53,70652.62,10070,29699553.21,16143970.85,13555582.36,33760,5754.3158,4090.6244
2019,150000,内蒙古自治区,17212.53,67852.13,2540,1593946.73,546832.3701,1047114.36,3504,584.2061,208.1743
2019,610000,陕西省,25793.17,66649.02,3876,5103313.289,2722164.452,2381148.837,6170,1212.9006,656.0411
2019,110000,北京市,35371.28,164220,2154,41645675.2,7505091.231,34140583.97,32201,5995.6056,3782.4834
2019,210000,辽宁省,24909.45,57191,4352,10532003.81,4543770.776,5988233.038,15996,4028.2964,2283.9075
2019,142,中国,986515.2023,70077.6918,141008,,,,,,
2019,520000,贵州省,16769.34,46433,3623,656816.8811,474028.2646,182788.6165,3056,487.2177,274.391
2019,220000,吉林省,11726.82,43475,2691,1890412.257,470381.8888,1420030.368,4118,642.9718,286.487
2019,410000,河南省,54259.2,56387.84,9640,8249895.276,5421327.469,2828567.807,10145,1163.0706,713.6036
2019,310000,上海市,38155.32,157279,2428,49390502.58,19899376.4,29491126.18,90757,9552.2917,6479.2532
2019,440000,广东省,107671.07,94172,11521,103662672.4,62945419.59,40717252.84,179268,19532.52,8542.582
