"UpdateTimes","Sgnyea","Eft0101","Eft0102","Eft0103","Eft0104","Eft0105","Eft0106","Eft0107","Eft0108"
"1","2000","39273.25","20634.44","18638.81","1995.63","4742.97","2492.03","2250.94","241.09"
"2","2000","39273.25","20634.44","18638.81","1995.63","4742.97","2492.03","2250.94","241.09"
"3","2000","39273.30","20634.40","18638.80","1995.60","4743.00","2492.00","2250.90","241.10"
"1","2001","42183.62","22024.44","20159.18","1865.26","5096.51","2660.98","2435.53","225.45"
"2","2001","42183.62","22024.44","20159.18","1865.26","5096.51","2660.98","2435.53","225.45"
"3","2001","42183.60","22024.40","20159.20","1865.30","5096.50","2661.00","2435.50","225.50"
"1","2002","51378.15","26947.87","24430.27","2517.60","6207.66","3255.96","2951.70","304.26"
"2","2002","51378.15","26947.87","24430.27","2517.60","6207.66","3255.96","2951.70","304.26"
"3","2002","51378.20","26947.90","24430.30","2517.60","6207.70","3256.00","2951.70","304.30"
"1","2003","70483.45","36287.89","34195.56","2092.32","8509.88","4382.28","4127.60","254.68"
"2","2003","70483.45","36287.89","34195.56","2092.32","8509.88","4382.28","4127.60","254.68"
"3","2003","70483.50","36287.90","34195.60","2092.30","8509.90","4382.30","4127.60","254.70"
"1","2004","95539.09","49103.33","46435.76","2667.57","11545.54","5933.26","5612.29","320.97"
"2","2004","95539.09","49103.33","46435.76","2667.57","11545.54","5933.26","5612.29","320.97"
"3","2004","95539.10","49103.30","46435.80","2667.60","11545.50","5933.30","5612.30","321.00"
"1","2005","116921.77","62648.09","54273.68","8374.41","14219.06","7619.53","6599.53","1020.01"
"2","2005","116921.77","62648.09","54273.68","8374.41","14219.06","7619.53","6599.53","1020.01"
"3","2005","116921.80","62648.10","54273.70","8374.40","14219.10","7619.50","6599.50","1020.00"
"1","2006","140974.74","77597.89","63376.86","14221.03","17604.38","9689.78","7914.61","1775.17"
"2","2006","140974.74","77597.89","63376.86","14221.03","17604.38","9689.78","7914.61","1775.17"
"3","2006","140974.70","77597.90","63376.90","14221.00","17604.40","9689.80","7914.60","1775.20"
"1","2007","166924.07","93627.14","73296.93","20330.20","21761.75","12200.60","9561.15","2639.44"
"2","2007","166924.07","93627.14","73296.93","20330.20","21761.75","12200.60","9561.15","2639.44"
"3","2007","166924.10","93627.10","73296.90","20330.20","21761.80","12200.60","9561.20","2639.40"
"1","2008","179921.47","100394.94","79526.53","20868.41","25632.55","14306.93","11325.62","2981.31"
"2","2008","179921.47","100394.94","79526.53","20868.41","25632.55","14306.93","11325.62","2981.31"
"3","2008","179921.50","100394.90","79526.50","20868.40","25632.60","14306.90","11325.60","2981.30"
"1","2009","150648.06","82029.69","68618.37","13411.32","22075.35","12016.12","10059.23","1956.89"
"2","2009","150648.06","82029.69","68618.37","13411.32","22075.35","12016.12","10059.23","1956.89"
"3","2009","150648.10","82029.70","68618.40","13411.30","22075.40","12016.10","10059.20","1956.90"
"1","2010","201722.34","107022.84","94699.50","12323.34","29740.01","15777.54","13962.47","1815.07"
"2","2010","201722.34","107022.84","94699.50","12323.34","29740.01","15777.54","13962.47","1815.07"
"3","2010","201722.30","107022.80","94699.50","12323.30","29740.00","15777.50","13962.50","1815.10"
"1","2011","236401.95","123240.56","113161.39","10079.16","36418.64","18983.81","17434.84","1548.97"
"2","2011","236401.95","123240.56","113161.39","10079.16","36418.64","18983.81","17434.84","1548.97"
"3","2011","236402.00","123240.60","113161.40","10079.20","36418.60","18983.80","17434.80","1549.00"
"1","2012","244160.21","129359.25","114800.96","14558.29","38671.19","20487.14","18184.05","2303.09"
"2","2012","244160.21","129359.25","114800.96","14558.29","38671.19","20487.14","18184.05","2303.09"
"3","2012","244160.20","129359.30","114801.00","14558.30","38671.20","20487.10","18184.10","2303.10"
"1","2013","258168.89","137131.43","121037.46","16093.98","41589.93","22090.04","19499.89","2590.15"
"2","2013","258168.89","137131.43","121037.46","16093.98","41589.93","22090.04","19499.89","2590.15"
"3","2013","258168.90","137131.40","121037.50","16094.00","41589.90","22090.00","19499.90","2590.20"
"1","2014","264241.77","143883.75","120358.03","23525.72","43015.27","23422.93","19592.35","3830.58"
"2","2014","264241.77","143883.75","120358.03","23525.72","43015.27","23422.93","19592.35","3830.58"
"3","2014","264241.80","143883.80","120358.00","23525.70","43015.30","23422.90","19592.40","3830.60"
"1","2015","245502.93","141166.83","104336.10","36830.73","39530.33","22734.68","16795.64","5939.04"
"2","2015","245502.93","141166.83","104336.10","36830.73","39530.33","22734.68","16795.64","5939.04"
"3","2015","245502.90","141166.80","104336.10","36830.70","39530.30","22734.70","16795.60","5939.00"
"1","2016","243386.46","138419.29","104967.17","33452.12","36855.57","20976.31","15879.26","5097.05"
"2","2016","243386.46","138419.29","104967.17","33452.12","36855.57","20976.31","15879.26","5097.05"
"3","2016","243386.50","138419.30","104967.20","33452.10","36855.60","20976.30","15879.30","5097.10"
"1","2017","278099.24","153309.43","124789.81","28519.62","41071.38","22633.45","18437.93","4195.52"
"2","2017","278099.24","153309.43","124789.81","28519.62","41071.38","22633.45","18437.93","4195.52"
"3","2017","278099.20","153309.40","124789.80","28519.60","41071.40","22633.40","18437.90","4195.50"
"1","2018","305008.13","164127.81","140880.32","23247.49","46224.15","24866.82","21357.34","3509.48"
"2","2018","305008.13","164127.81","140880.32","23247.49","46224.15","24866.82","21357.34","3509.48"
"3","2018","305010.10","164128.80","140881.30","23247.50","46224.40","24867.00","21357.50","3509.50"
"1","2019","315627.32","172373.63","143253.69","29119.94","45778.91","24994.82","20784.09","4210.73"
"2","2019","315627.32","172373.63","143253.69","29119.94","45778.91","24994.82","20784.09","4210.73"
"3","2019","315627.30","172373.60","143253.70","29119.90","45778.90","24994.80","20784.10","4210.70"
"1","2020","322215.24","179278.83","142936.40","36342.43","46559.13","25899.52","20659.62","5239.90"
"2","2020","322215.24","179278.83","142936.40","36342.43","46559.13","25899.52","20659.62","5239.90"
"3","2020","322215.20","179278.80","142936.40","36342.40","46559.10","25899.50","20659.60","5239.90"
"1","2021","390921.67","217287.38","173634.29","43653.10","60501.70","33630.23","26871.43","6758.80"
"2","2021","390921.67","217287.38","173634.29","43653.10","60501.70","33630.23","26871.43","6758.80"
"3","2021","387391.80","214255.20","173136.60","41118.70","59954.30","33160.20","26794.10","6366.10"
