"Sgnyea","Ctnm_en","Ctnm_id","Prvcnm_en","Fict01","Fict02","Fict03"
"2000","Hohhot (city)","150100","Inner Mongolia","20.0000","6874.0000","3485.0000"
"2000","Baotou (city)","150200","Inner Mongolia","31.0000","11457.0000","14316.0000"
"2000","Wuhai (city)","150300","Inner Mongolia","1.0000","63.0000","90.0000"
"2000","Chifeng (city)","150400","Inner Mongolia","5.0000","37.0000","33.0000"
"2000","Tongliao (city)","150500","Inner Mongolia","5.0000","2595.0000","454.0000"
"2000","Tianjin (city)","120000","Tianjin","626.0000","460000.0000","256000.0000"
"2000","Beijing (city)","110000","Beijing (city)","1147.0000","433084.0000","245799.0000"
"2000","Harbin (city)","230100","Heilongjiang","105.0000","13121.0000","16751.0000"
"2000","Qiqihar (city)","230200","Heilongjiang","12.0000","693.0000","1105.0000"
"2000","Jixi (city)","230300","Heilongjiang","6.0000","570.0000","435.0000"
"2000","Hegang (city)","230400","Heilongjiang","9.0000","406.0000","711.0000"
"2000","Shuangyashan (city)","230500","Heilongjiang","3.0000","482.0000","24.0000"
"2000","Daqing (city)","230600","Heilongjiang","16.0000","2088.0000","1233.0000"
"2000","Yichun (city)","230700","Heilongjiang","4.0000","52.0000","50.0000"
"2000","Jiamusi (city)","230800","Heilongjiang","10.0000","502.0000","935.0000"
"2000","Qitaihe (city)","230900","Heilongjiang","","","24.0000"
"2000","Mudanjiang (city)","231000","Heilongjiang","48.0000","6131.0000","2245.0000"
"2000","Heihe (city)","231100","Heilongjiang","1.0000","206.0000","50.0000"
"2000","Suihua (city)","231200","Heilongjiang","7.0000","813.0000","1300.0000"
"2000","Daxinganling Region","232700","Heilongjiang","5.0000","636.0000","91.0000"
"2000","Nanjing (city)","320100","Jiangsu","313.0000","207902.0000","81277.0000"
"2000","Wuxi (city)","320200","Jiangsu","359.0000","176373.0000","108240.0000"
"2000","Xuzhou (city)","320300","Jiangsu","99.0000","25720.0000","20790.0000"
"2000","Changzhou (city)","320400","Jiangsu","167.0000","59228.0000","55977.0000"
"2000","Suzhou (city)","320500","Jiangsu","943.0000","467787.0000","288338.0000"
"2000","Nantong (city)","320600","Jiangsu","229.0000","32938.0000","14292.0000"
"2000","Lianyungang (city)","320700","Jiangsu","116.0000","10202.0000","4770.0000"
"2000","Huai'an (city)","320800","Jiangsu","24.0000","1798.0000","2781.0000"
"2000","Yancheng (city)","320900","Jiangsu","82.0000","11720.0000","19269.0000"
"2000","Yangzhou (city)","321000","Jiangsu","54.0000","9222.0000","6654.0000"
"2000","Zhenjiang (city)","321100","Jiangsu","179.0000","39455.0000","28925.0000"
"2000","Taizhou (city)","321200","Jiangsu","67.0000","17646.0000","10196.0000"
"2000","Suqian (city)","321300","Jiangsu","13.0000","1077.0000","849.0000"
"2000","Nanning (city)","450100","Guangxi","31.0000","10637.0000","8105.0000"
"2000","Liuzhou (city)","450200","Guangxi","8.0000","3380.0000","1017.0000"
"2000","Guilin (city)","450300","Guangxi","45.0000","6550.0000","11563.0000"
"2000","Wuzhou (city)","450400","Guangxi","41.0000","3151.0000","5860.0000"
"2000","Beihai (city)","450500","Guangxi","17.0000","821.0000","3629.0000"
"2000","Fangchenggang (city)","450600","Guangxi","23.0000","34536.0000","3110.0000"
"2000","Qinzhou (city)","450700","Guangxi","8.0000","3057.0000","646.0000"
"2000","Guigang (city)","450800","Guangxi","9.0000","521.0000","660.0000"
"2000","Yulin (city)","450900","Guangxi","43.0000","2210.0000","7564.0000"
"2000","Chongzuo (city)","451400","Guangxi","3.0000","412.0000","752.0000"
"2000","Laibin (city)","451300","Guangxi","7.0000","559.0000","6750.0000"
"2000","Hezhou (city)","451100","Guangxi","5.0000","4345.0000","1550.0000"
"2000","Baise (city)","451000","Guangxi","5.0000","530.0000","352.0000"
"2000","Hechi (city)","451200","Guangxi","1.0000","840.0000","907.0000"
"2000","Haikou (city)","460100","Hainan","139.0000","11811.0000","34694.0000"
"2000","Sanya (city)","460200","Hainan","13.0000","1940.0000","16200.0000"
"2000","Chongqing (city)","500000","Chongqing","190.0000","35716.0000","24436.0000"
"2000","Chengdu (city)","510100","Sichuan","171.0000","28374.0000","22062.0000"
"2000","Zigong (city)","510300","Sichuan","5.0000","22858.0000","2005.0000"
"2000","Panzhihua (city)","510400","Sichuan","5.0000","669.0000","80.0000"
"2000","Luzhou (city)","510500","Sichuan","7.0000","2084.0000","129.0000"
"2000","Deyang (city)","510600","Sichuan","27.0000","4065.0000","3090.0000"
"2000","Mianyang (city)","510700","Sichuan","18.0000","8489.0000","5860.0000"
"2000","Guangyuan (city)","510800","Sichuan","8.0000","428.0000","461.0000"
"2000","Suining (city)","510900","Sichuan","0.0000","0.0000","642.0000"
"2000","Neijiang (city)","511000","Sichuan","5.0000","1666.0000","51.0000"
"2000","Leshan (city)","511100","Sichuan","10.0000","2233.0000","12983.0000"
"2000","Nanchong (city)","511300","Sichuan","4.0000","3259.0000","115.0000"
"2000","Meishan (city)","511400","Sichuan","2.0000","2017.0000","1334.0000"
"2000","Yibin (city)","511500","Sichuan","1.0000","1618.0000","31.0000"
"2000","Guang'an (city)","511600","Sichuan","0.0000","0.0000","0.0000"
"2000","Dazhou (city)","511700","Sichuan","6.0000","186.0000","186.0000"
"2000","Ya'an (city)","511800","Sichuan","3.0000","10.0000","10.0000"
"2000","Bazhong (city)","511900","Sichuan","2.0000","200.0000","161.0000"
"2000","Ziyang (city)","512000","Sichuan","4.0000","1438.0000","188.0000"
"2000","Guiyang (city)","520100","Guizhou","32.0000","2230.0000","5301.0000"
"2000","Liupanshui (city)","520200","Guizhou","7.0000","3317.0000","2596.0000"
"2000","Zunyi (city)","520300","Guizhou","186.0000","7561.0000","7561.0000"
"2000","Anshun (city)","520400","Guizhou","14.0000","1254.0000","36.0000"
"2000","Kunming (city)","530100","Yunnan","37.0000","9727.0000","3766.0000"
"2000","Qujing (city)","530300","Yunnan","7.0000","1003.0000","1631.0000"
"2000","Yuxi (city)","530400","Yunnan","4.0000","1059.0000",""
"2000","Zhaotong (city)","530600","Yunnan","2.0000","58.0000",""
"2000","Chuxiong Yi Autonomous Prefecture","532300","Yunnan","4.0000","1303.0000","21.0000"
"2000","Honghe Hani and Yi Autonomous Prefecture","532500","Yunnan","5.0000","2480.0000",""
"2000","Wenshan Zhuang and Miao Autonomous Prefecture","532600","Yunnan","2.0000","292.0000","54.0000"
"2000","Pu'er (city)","530800","Yunnan","1.0000","101.0000","132.0000"
"2000","Xishuangbanna Dai Autonomous Prefecture","532800","Yunnan","5.0000","2105.0000","54.0000"
"2000","Dali Bai Autonomous Prefecture","532900","Yunnan","1.0000","220.0000",""
"2000","Baoshan (city)","530500","Yunnan","2.0000","135.0000",""
"2000","Dehong Dai and Jingpo Autonomous Prefecture","533100","Yunnan","1.0000","40.0000",""
"2000","Lijiang (city)","530700","Yunnan","1.0000","284.0000",""
