"SgnYear","CityCode","CityName_EN","CityType_EN","ProvinceSign","ProvinceName_EN","TotalImpExp","Import","Export"
"2000","110000","Beijing (city)","Municipality directly under the Central Government","110000","Beijing (city)","40901055.0000","30987142.0000","9913913.0000"
"2000","110000","Beijing (city)","Municipality directly under the Central Government","110000","Beijing (city)","4940041.0000","3743125.0000","1196916.0000"
"2000","120000","Tianjin (city)","Municipality directly under the Central Government","120000","Tianjin (city)","1715741.0000","852835.0000","862906.0000"
"2000","210100","Shenyang (city)","Sub-provincial city","210000","Liaoning (province)","270769.0000","138623.0000","132146.0000"
"2000","210200","Dalian (city)","Sub-provincial city","210000","Liaoning (province)","1302170.0000","561016.0000","741154.0000"
"2000","210300","Anshan (city)","Prefecture-level city","210000","Liaoning (province)","51630.0000","11687.0000","39943.0000"
"2000","210400","Fushun (city)","Prefecture-level city","210000","Liaoning (province)","19025.0000","4657.0000","14368.0000"
"2000","210500","Benxi (city)","Prefecture-level city","210000","Liaoning (province)","13724.0000","5102.0000","8622.0000"
"2000","210600","Dandong (city)","Prefecture-level city","210000","Liaoning (province)","99874.0000","35874.0000","64000.0000"
"2000","210700","Jinzhou (city)","Prefecture-level city","210000","Liaoning (province)","15288.0000","6012.0000","9276.0000"
"2000","210800","Yingkou (city)","Prefecture-level city","210000","Liaoning (province)","65369.0000","25963.0000","39406.0000"
"2000","210900","Fuxin (city)","Prefecture-level city","210000","Liaoning (province)","1081.0000","278.0000","803.0000"
"2000","211000","Liaoyang (city)","Prefecture-level city","210000","Liaoning (province)","16050.0000","7928.0000","8122.0000"
"2000","211100","Panjin (city)","Prefecture-level city","210000","Liaoning (province)","6176.0000","3438.0000","2738.0000"
"2000","211200","Tieling (city)","Prefecture-level city","210000","Liaoning (province)","5180.0000","1951.0000","3229.0000"
"2000","211300","Chaoyang (city)","Prefecture-level city","210000","Liaoning (province)","5547.0000","2391.0000","3156.0000"
"2000","211400","Huludao (city)","Prefecture-level city","210000","Liaoning (province)","30333.0000","12457.0000","17876.0000"
"2000","230100","Harbin (city)","Sub-provincial city","230000","Heilongjiang (province)","121030.0000","51059.0000","69971.0000"
"2000","230200","Qiqihar (city)","Prefecture-level city","230000","Heilongjiang (province)","9644.0000","6656.0000","2989.0000"
"2000","230300","Jixi (city)","Prefecture-level city","230000","Heilongjiang (province)","4334.0000","176.0000","4158.0000"
"2000","230400","Hegang (city)","Prefecture-level city","230000","Heilongjiang (province)","1067.0000","9.0000","1058.0000"
"2000","230500","Shuangyashan (city)","Prefecture-level city","230000","Heilongjiang (province)","457.0000","9.0000","448.0000"
"2000","230600","Daqing (city)","Prefecture-level city","230000","Heilongjiang (province)","6067.0000","3581.0000","2486.0000"
"2000","230700","Yichun (city)","Prefecture-level city","230000","Heilongjiang (province)","2870.0000","371.0000","2499.0000"
"2000","230800","Jiamusi (city)","Prefecture-level city","230000","Heilongjiang (province)","9918.0000","7935.0000","1983.0000"
"2000","230900","Qitaihe (city)","Prefecture-level city","230000","Heilongjiang (province)","64.0000","8.0000","56.0000"
"2000","231000","Mudanjiang (city)","Prefecture-level city","230000","Heilongjiang (province)","125873.0000","76877.0000","48996.0000"
"2000","231100","Heihe (city)","Prefecture-level city","230000","Heilongjiang (province)","14680.0000","6545.0000","8135.0000"
"2000","231200","Suihua (city)","Prefecture-level city","230000","Heilongjiang (province)","2364.0000","239.0000","2125.0000"
"2000","232700","Daxinganling Region","Prefecture-level city","230000","Heilongjiang (province)","253.0000","55.0000","198.0000"
"2000","310000","Shanghai (city)","Municipality directly under the Central Government","310000","Shanghai (city)","5471000.0000","2935600.0000","2535400.0000"
"2000","320100","Nanjing (city)","Sub-provincial city","320000","Jiangsu (province)","409895.0000","178635.0000","231260.0000"
"2000","320200","Wuxi (city)","Prefecture-level city","320000","Jiangsu (province)","598324.0000","261665.0000","336659.0000"
"2000","320300","Xuzhou (city)","Prefecture-level city","320000","Jiangsu (province)","32896.0000","14181.0000","18715.0000"
"2000","320400","Changzhou (city)","Prefecture-level city","320000","Jiangsu (province)","282208.0000","96174.0000","186034.0000"
"2000","320500","Suzhou (city)","Prefecture-level city","320000","Jiangsu (province)","2007037.0000","958941.0000","1048096.0000"
"2000","320600","Nantong (city)","Prefecture-level city","320000","Jiangsu (province)","315629.0000","112106.0000","203523.0000"
"2000","320700","Lianyungang (city)","Prefecture-level city","320000","Jiangsu (province)","48509.0000","9679.0000","38830.0000"
"2000","320800","Huaiyin (city)","Prefecture-level city","320000","Jiangsu (province)","1108.0000","1032.0000","76.0000"
"2000","320900","Yancheng (city)","Prefecture-level city","320000","Jiangsu (province)","37725.0000","10259.0000","27466.0000"
"2000","321000","Yangzhou (city)","Prefecture-level city","320000","Jiangsu (province)","111778.0000","51195.0000","60583.0000"
"2000","321100","Zhenjiang (city)","Prefecture-level city","320000","Jiangsu (province)","146144.0000","80283.0000","65861.0000"
"2000","321200","Taizhou (city)","Prefecture-level city","320000","Jiangsu (province)","44768.0000","11859.0000","32909.0000"
"2000","321300","Suqian (city)","Prefecture-level city","320000","Jiangsu (province)","3287.0000","315.0000","2972.0000"
"2000","330100","Hangzhou (city)","Sub-provincial city","330000","Zhejiang (province)","","","696500.0000"
"2000","330200","Ningbo (city)","Sub-provincial city","330000","Zhejiang (province)","","","516800.0000"
"2000","330300","Wenzhou (city)","Prefecture-level city","330000","Zhejiang (province)","","","150000.0000"
"2000","330400","Jiaxing (city)","Prefecture-level city","330000","Zhejiang (province)","","","189000.0000"
"2000","330500","Huzhou (city)","Prefecture-level city","330000","Zhejiang (province)","","","46300.0000"
"2000","330600","Shaoxing (city)","Prefecture-level city","330000","Zhejiang (province)","","","127700.0000"
"2000","330700","Jinhua (city)","Prefecture-level city","330000","Zhejiang (province)","","","63400.0000"
"2000","330800","Quzhou (city)","Prefecture-level city","330000","Zhejiang (province)","","","9300.0000"
"2000","330900","Zhoushan (city)","Prefecture-level city","330000","Zhejiang (province)","","","41200.0000"
"2000","331000","Taizhou (city)","Prefecture-level city","330000","Zhejiang (province)","","","86900.0000"
"2000","331100","Lishui (city)","Prefecture-level city","330000","Zhejiang (province)","","","13800.0000"
"2000","340100","Hefei (city)","Prefecture-level city","340000","Anhui (province)","192501.0000","59166.0000","133335.0000"
"2000","340181","Chaohu (city)","Prefecture-level city","340000","Anhui (province)","3255.0000","354.0000","2901.0000"
"2000","340200","Wuhu (city)","Prefecture-level city","340000","Anhui (province)","20233.0000","8746.0000","11487.0000"
"2000","340300","Bengbu (city)","Prefecture-level city","340000","Anhui (province)","11767.0000","1123.0000","10644.0000"
"2000","340400","Huainan (city)","Prefecture-level city","340000","Anhui (province)","2165.0000","215.0000","1950.0000"
"2000","340500","Ma'anshan (city)","Prefecture-level city","340000","Anhui (province)","24699.0000","13361.0000","11338.0000"
"2000","340600","Huaibei (city)","Prefecture-level city","340000","Anhui (province)","3175.0000","68.0000","3107.0000"
"2000","340700","Tongling (city)","Prefecture-level city","340000","Anhui (province)","36785.0000","23444.0000","13341.0000"
"2000","340800","Anqing (city)","Prefecture-level city","340000","Anhui (province)","10232.0000","2070.0000","8162.0000"
"2000","341000","Huangshan (city)","Prefecture-level city","340000","Anhui (province)","3243.0000","1379.0000","1864.0000"
"2000","341100","Chuzhou (city)","Prefecture-level city","340000","Anhui (province)","8597.0000","3486.0000","5111.0000"
"2000","341200","Fuyang (city)","Prefecture-level city","340000","Anhui (province)","3699.0000","1304.0000","2395.0000"
"2000","341300","Suzhou (city)","Prefecture-level city","340000","Anhui (province)","1014.0000","341.0000","673.0000"
"2000","341500","Lu'an (city)","Prefecture-level city","340000","Anhui (province)","5355.0000","356.0000","4999.0000"
"2000","341600","Bozhou (city)","Prefecture-level city","340000","Anhui (province)","691.0000","9.0000","682.0000"
"2000","341700","Chizhou (city)","Prefecture-level city","340000","Anhui (province)","2891.0000","695.0000","2196.0000"
"2000","341800","Xuancheng (city)","Prefecture-level city","340000","Anhui (province)","4387.0000","1366.0000","3021.0000"
"2000","350100","Fuzhou (city)","Prefecture-level city","350000","Fujian (province)","509255.0000","237591.0000","271664.0000"
"2000","350200","Xiamen (city)","Sub-provincial city","350000","Fujian (province)","1004873.0000","416950.0000","587923.0000"
"2000","350300","Putian (city)","Prefecture-level city","350000","Fujian (province)","98834.0000","30479.0000","68355.0000"
"2000","350400","Sanming (city)","Prefecture-level city","350000","Fujian (province)","14830.0000","4098.0000","10732.0000"
"2000","350500","Quanzhou (city)","Prefecture-level city","350000","Fujian (province)","178896.0000","60778.0000","118118.0000"
"2000","350600","Zhangzhou (city)","Prefecture-level city","350000","Fujian (province)","98946.0000","41419.0000","57527.0000"
"2000","350700","Nanping (city)","Prefecture-level city","350000","Fujian (province)","15837.0000","4497.0000","11340.0000"
"2000","350800","Longyan (city)","Prefecture-level city","350000","Fujian (province)","5341.0000","419.0000","4922.0000"
"2000","350900","Ningde (city)","Prefecture-level city","350000","Fujian (province)","7972.0000","570.0000","7402.0000"
"2000","360100","Nanchang (city)","Prefecture-level city","360000","Jiangxi (province)","111451.0000","22823.0000","88628.0000"
"2000","360200","Jingdezhen (city)","Prefecture-level city","360000","Jiangxi (province)","5150.0000","1424.0000","3726.0000"
"2000","360300","Pingxiang (city)","Prefecture-level city","360000","Jiangxi (province)","665.0000","","665.0000"
"2000","360400","Jiujiang (city)","Prefecture-level city","360000","Jiangxi (province)","9149.0000","5699.0000","3450.0000"
