"贸易伙伴编码","贸易伙伴名称","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"502","美国","12019010","黄大豆，种用除外","34170852230","千克","0","?","13,763,071,645",
"502","美国","88024010","15000kg＜空载重量≤45000kg的飞机等航空器","166","架","0","?","7,515,689,100",
"502","美国","85423100","处理器及控制器","7575544335","个","593458","千克","6,125,931,830",
"502","美国","87032362","汽油越野车（4轮驱动）2500ml＜排量≤3000ml","92147","辆","0","?","5,247,619,093",
"502","美国","88024020","空载重量＞45000kg的飞机等航空器","44","架","0","?","4,878,007,451",
"502","美国","87032342","汽油越野车（4轮驱动）1500ml＜排量≤2000m","60826","辆","0","?","2,808,646,774",
"502","美国","71081200","其他未锻造金，非货币用","59253668","克","0","?","2,351,792,063",
"502","美国","84119100","涡轮喷气发动机或涡轮螺桨发动机的零件","1605059","千克","0","?","1,448,722,584",
"502","美国","30021000","抗血清、其他血份及免疫制品,不论是否修饰或通过生物工艺加工制得","2295623","千克","0","?","1,409,599,422",
"502","美国","85423900","其他集成电路","17264753653","个","165994","千克","1,378,362,461",
"502","美国","47071000","回收（废碎）的未漂白牛皮纸或瓦楞纸及纸板","7160928123","千克","0","?","1,370,141,831",
"502","美国","27111200","液化丙烷","3252758947","千克","0","?","1,289,026,036",
"502","美国","10079000","其他食用高粱","5868966345","千克","0","?","1,260,544,603",
"502","美国","84111210","涡轮风扇喷气发动机，推力＞25kN","184","台","0","?","1,242,462,244",
"502","美国","74040000","铜废碎料","530880259","千克","0","?","1,027,543,967",
"502","美国","47032100","半漂白或漂白的针叶木烧碱木浆或硫酸盐木浆","1612666043","千克","0","?","996,812,751",
"502","美国","02064900","其他冻猪杂碎","439859143","千克","0","?","936,811,145",
"502","美国","87039000","未列名载人机动车","11815","辆","0","?","877,761,140",
"502","美国","41015019","其他＞16kg的整张牛皮","380726930","千克","12985658","张","872,946,441",
"502","美国","85423300","放大器","4171180253","个","57103","千克","756,255,402",
"502","美国","23033000","酿造及蒸馏过程中的糟粕及残渣","3065727247","千克","0","?","683,368,705",
"502","美国","76020000","铝废碎料","569545104","千克","0","?","682,625,612",
"502","美国","38249099","未列名化学工业及相关工业化学产品及配制品","112022651","千克","0","?","678,509,150",
"502","美国","44079100","经纵锯纵切、刨或旋切的栎木木材，厚＞6mm","845551758","千克","1119961","立方米","671,787,469",
"502","美国","84798999","未列名具有独立功能的机器及机械器具","1083798","台","0","?","649,550,903",
"502","美国","87032343","汽油小客车，1500ml＜排量≤2000ml","23826","辆","0","?","633,240,585",
"502","美国","26030000","铜矿砂及其精矿","467906736","千克","0","?","597,774,341",
"502","美国","90318090","其他未列名测量或检验仪器、器具及机器","94180396","台","0","?","589,614,940",
"502","美国","87032363","汽油小客车，2500ml＜排量≤3000ml","14043","辆","0","?","584,684,290",
"502","美国","85234920","已录制用于重放声音、图像以外信息的，品目84.71所列机器用光学媒体","441405","张","32757","千克","575,839,438",
"502","美国","84862041","制造半导体器件或IC的等离子体干法刻蚀机","339","台","0","?","561,865,862",
"502","美国","38220090","其他诊断或实验用试剂及配制试剂;检定参照物","4440669","千克","0","?","551,175,757",
"502","美国","87084099","未列名机动车辆用变速箱及其零件","41652173","个","23040703","千克","548,949,101",
"502","美国","47073000","回收（废碎）的主要由机械浆制成的纸或纸板","3354855522","千克","0","?","538,291,201",
"502","美国","90189090","其他医疗、外科或兽医用仪器及器具","127485932","台","1593041","千克","525,395,369",
"502","美国","52010000","未梳的棉花","263387577","千克","0","?","508,749,397",
"502","美国","90183900","其他针、导管、插管及类似品","565619650","个","3118259","千克","490,693,266",
"502","美国","90278099","品目9027所列的其他仪器及装置","203322","台","0","?","486,989,534",
"502","美国","90275000","使用光学射线的其他仪器及装置","227659","台","0","?","483,611,542",
"502","美国","30049090","未列名混合或非混合产品构成的药品","632596","千克","0","?","464,820,039",
"502","美国","90181291","彩色超声波诊断仪","26561","台","422130","千克","435,711,524",
"502","美国","85423200","存储器","505445652","个","51960","千克","433,305,303",
"502","美国","29025000","苯乙烯","420791302","千克","0","?","429,434,717",
"502","美国","85419000","品目8541所列货品的零件","14650","千克","0","?","428,552,819",
"502","美国","87032353","汽油小客车，2000ml＜排量≤2500ml","14323","辆","0","?","425,574,372",
"502","美国","12149000","其他草饲料","1288282948","千克","0","?","417,275,977",
"502","美国","90319000","品目9031所列仪器、器具及机器的零件及附件","867151","千克","0","?","410,800,717",
"502","美国","88033000","飞机及直升机的其他零件","638395","千克","0","?","404,625,603",
"502","美国","70031900","其他铸制或轧制的非夹丝的玻璃板、片","16886211","千克","8052694","平方米","401,691,401",
"502","美国","84869099","品目8486所列设备用未列名零件及附件","648421","千克","0","?","397,792,580",
"502","美国","22072000","任何浓度的改性乙醇及其他酒精","853260316","升","672976121","千克","387,047,921",
"502","美国","90328990","其他自动调节或控制仪器及装置","1501658","台","0","?","385,436,495",
"502","美国","85437099","未列名具有独立功能的电气设备及装置","3132329","台","0","?","371,849,215",
"502","美国","85369011","工作电压不超过36伏的接插件","4936664","千克","0","?","359,359,717",
"502","美国","47020000","化学木浆、溶解级","299900971","千克","0","?","358,897,318",
"502","美国","87032412","汽油越野车（4轮驱动）3000ml＜排量≤4000ml","7068","辆","0","?","356,766,943",
"502","美国","39074000","初级形状的聚碳酸酯","107007370","千克","0","?","353,683,397",
"502","美国","33049900","其他美容品或化妆品及护肤品","7210091","千克","89482040","件","353,569,199",
"502","美国","44032090","未列名针叶木原木","2016691919","千克","2393768","立方米","352,468,380",
"502","美国","90314990","其他测量或检验用光学仪器及器具","384827","台","0","?","348,474,554",
"502","美国","39269090","未列名塑料制品","12394771","千克","0","?","348,086,743",
"502","美国","21069090","未列名食品","14687929","千克","0","?","338,069,893",
"502","美国","84818040","其他阀门","10307238","套","4190854","千克","334,070,327",
"502","美国","84862021","制造半导体器件或IC的化学气相沉积装置","258","台","0","?","329,131,813",
"502","美国","90213900","其他人造的人体部分","143855","千克","0","?","308,204,283",
"502","美国","84862050","制造半导体器件或集成电路用的离子注入机","114","台","0","?","301,116,301",
"502","美国","90221400","其他，医疗、外科或兽医用X射线应用设备","860","台","0","?","294,172,036",
"502","美国","26070000","铅矿砂及其精矿","262509517","千克","0","?","292,647,979",
"502","美国","87032413","汽油小客车，3000ml＜排量≤4000ml","8684","辆","0","?","292,420,374",
"502","美国","39199090","未列名塑料胶粘板、片、膜、箔等","10472418","千克","0","?","292,400,624",
"502","美国","37024292","未曝光红色或红外激光胶片，宽＞610mm，长＞200m","10178964","千克","42087009","平方米","286,383,847",
"502","美国","47079000","回收（废碎）的其他纸及纸板，包括未分选的","2006823819","千克","0","?","285,941,093",
