"贸易伙伴编码","贸易伙伴名称","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"502","美国","85171210","手持（包括车载）式无线电话机","131353282","台","0","?","31,204,391,732",
"502","美国","84713090","其他重量不超过10千克的便携式自动数据处理设备","48065452","台","0","?","25,235,708,932",
"502","美国","84733090","品目8471所列其他机器的零件、附件","98829269","千克","0","?","9,313,104,557",
"502","美国","84713010","平板电脑","35426049","台","0","?","7,078,100,816",
"502","美国","85176299","其他接收、转换并且发送或再生声音、图像或其他数据用的设备","87254228","台","0","?","4,749,285,725",
"502","美国","64041990","橡胶或塑料制外底，纺织材料制鞋面的其他鞋靴","268339354","千克","531598372","双","3,662,721,774",
"502","美国","94054090","未列名电灯及照明装置","324123604","千克","0","?","3,538,033,670",
"502","美国","84717010","硬盘驱动器","27700632","台","0","?","3,510,129,193",
"502","美国","84715040","微型机的处理部件","7949842","台","0","?","3,218,168,640",
"502","美国","94036099","未列名木家具","56963497","件","933749519","千克","2,683,259,503",
"502","美国","95045019","与电视接收机配套使用的视频游戏控制器及设备","14547343","台","36198799","千克","2,668,683,792",
"502","美国","39269090","未列名塑料制品","549865539","千克","0","?","2,643,781,001",
"502","美国","85287222","液晶显示器彩色数字电视接收机","12376054","台","0","?","2,586,417,152",
"502","美国","94032000","其他金属家具","105168113","件","1092496544","千克","2,487,176,806",
"502","美国","64039900","其他橡、塑或再生皮革外底，皮革鞋面的鞋靴","126925264","千克","175838055","双","2,399,240,079",
"502","美国","94016190","其他带软垫的木框架坐具","26854910","个","617183880","千克","2,359,364,567",
"502","美国","62046200","棉制女裤","370757659","条","145039682","千克","2,335,923,844",
"502","美国","85437099","未列名具有独立功能的电气设备及装置","310675765","台","0","?","2,285,471,367",
"502","美国","61103000","化纤制针织钩编套头衫、开襟衫、外穿背心等","407441005","件","133346672","千克","2,195,909,932",
"502","美国","87087091","铝合金制的未列名机动车辆用车轮及其零件、附件","450656294","千克","0","?","2,192,131,778",
"502","美国","85285910","其他彩色监视器","10426040","台","0","?","2,175,600,885",
"502","美国","71131911","镶嵌钻石的黄金制首饰及其零件","15701605","克","0","?","2,100,410,963",
"502","美国","95051000","圣诞节用品","234395268","千克","0","?","1,986,774,208",
"502","美国","42021290","以塑料或纺织材料作面的提箱、小手袋、公文箱、公文包、书包及类似容器","291208238","千克","358498128","个","1,964,682,132",
"502","美国","64029929","未列名塑料制鞋面的鞋靴","169933807","千克","406984636","双","1,958,494,489",
"502","美国","86090029","其他40英尺集装箱","547350","个","0","?","1,936,637,358",
"502","美国","85285212","其他可直接连接品目84.71的自动数据处理设备的彩色液晶监视器","15490319","台","86303054","千克","1,933,543,372",
"502","美国","63079000","6301至6307的未列名制成品，包括服装裁剪样","332219207","千克","0","?","1,864,535,396",
"502","美国","39181090","氯乙烯聚合物制铺地制品","1378857267","千克","0","?","1,833,847,479",
"502","美国","61102000","棉制针织钩编的套头衫、开襟衫、外穿背心等","302872495","件","106714257","千克","1,760,665,492",
"502","美国","39241000","塑料制餐具及厨房用具","536673134","千克","0","?","1,752,961,484",
"502","美国","94051000","枝形吊灯及天花板或墙壁上的电气照明装置","163396791","个","219782570","千克","1,673,788,936",
"502","美国","95030089","其他玩具","4661945106","个","274131501","千克","1,673,184,655",
"502","美国","85176234","调制解调器","24700646","台","0","?","1,589,937,013",
"502","美国","85081100","电动真空吸尘器功率≤1500W集尘器容积≤20L","42234468","台","207582070","千克","1,570,299,766",
"502","美国","84433110","有打复印及传真两种及以上功能静电感光机器","1854616","台","0","?","1,534,231,230",
"502","美国","85395000","发光二极管（LED）灯泡（管）","853553138","只","81519384","千克","1,521,160,959",
"502","美国","95045099","其他视频游戏控制器及设备","9021564","台","7854513","千克","1,520,413,698",
"502","美国","85182200","多喇叭音箱","41698236","个","0","?","1,499,779,743",
"502","美国","42029200","以塑料片或纺织材料作面的其他类似容器","192360991","千克","1037218565","个","1,470,954,835",
"502","美国","94049040","化纤棉填充的其他寝具及类似用品","286641870","千克","0","?","1,455,417,225",
"502","美国","84714940","系统形式的微型机","1527680","台","0","?","1,448,371,490",
"502","美国","94016110","皮革或再生皮革面的带软垫的木框架坐具","6699423","个","294590529","千克","1,447,278,371",
"502","美国","95030081","其他玩具，组装成套或全套的","715033503","套","209354598","千克","1,443,803,202",
"502","美国","85371090","其他电气控制或电力分配盘板台等，电压≤1000V","93296765","个","26787156","千克","1,376,534,213",
"502","美国","87082990","车身（包括驾驶室）的未列名零件、附件","161404321","千克","0","?","1,372,961,349",
"502","美国","85176294","无线耳机、无线耳塞","60353234","个","0","?","1,357,743,616",
"502","美国","84672990","其他手提式电动工具","30200804","台","0","?","1,347,275,214",
"502","美国","98040000","低值简易通关商品","161310573863","千克","0","?","1,312,421,229",
"502","美国","84439990","品目8443所列设备用其他零件及附件","75283073","千克","0","?","1,253,171,472",
"502","美国","85287221","液晶显示器彩色模拟电视接收机","6650997","台","0","?","1,224,130,748",
"502","美国","94017900","其他金属框架坐具","96870776","个","424589096","千克","1,220,142,827",
"502","美国","73269090","未列名非工业用钢铁制品","465262219","千克","0","?","1,216,907,278",
"502","美国","40112000","客车或货运机动车辆用新的充气橡胶轮胎","516413296","千克","21269249","条","1,209,819,271",
"502","美国","94039000","家具的零件","481688338","千克","0","?","1,189,301,248",
"502","美国","85258013","非特种用途的其他类型电视摄像机","30149549","台","0","?","1,173,103,705",
"502","美国","94017190","其他带软垫的金属框架坐具","39235196","个","311999691","千克","1,161,608,809",
"502","美国","85044099","未列名静止式变流器","243585389","个","0","?","1,161,346,898",
"502","美国","94034000","厨房用木家具","23486038","件","417172799","千克","1,155,323,954",
"502","美国","85176239","未列名有线数字通讯设备","23577716","台","0","?","1,153,983,886",
"502","美国","87083099","未列名机动车辆用其他制动器及其零件","698208206","千克","451885709","个","1,115,107,951",
"502","美国","95030082","其他带动力装置的玩具及模型","163989861","个","88262541","千克","1,093,832,207",
"502","美国","84818040","其他阀门","217674733","套","143357433","千克","1,087,084,039",
"502","美国","42022200","以塑料片或纺织材料作面的手提包","108051007","千克","410841226","个","1,069,707,690",
"502","美国","62034290","棉制其他男裤","156463188","条","78319910","千克","1,068,304,611",
"502","美国","85076000","锂离子蓄电池","116439390","个","0","?","1,067,778,909",
"502","美国","84151010","独立窗式、壁式、置于天花板或地板上的空气调节器","9108501","台","244615781","千克","1,060,186,201",
"502","美国","85177090","品目8517所列设备用其他零件","34078860","千克","0","?","1,053,517,531",
"502","美国","73211100","用气体等燃料的钢铁制家用炊事器具及加热板","343055154","千克","12618566","个","1,042,899,598",
"502","美国","39249000","塑料制其他家庭用具及卫生或盥洗用具","259826954","千克","0","?","1,040,522,114",
"502","美国","27101911","航空煤油，不含有生物柴油","1895131003","千克","2361333235","升","1,029,362,818",
"502","美国","85165000","微波炉","17561352","个","0","?","1,022,567,301",
"502","美国","84714140","微型自动数据处理机","2827709","台","0","?","1,010,729,842",
"502","美国","87089999","品目8701至8704所列其他车辆用未列名零、附件","180343002","千克","0","?","985,677,100",
"502","美国","94035099","其他卧室用木家具","9571143","件","227440050","千克","976,859,500",
"502","美国","84818090","龙头、旋塞及类似装置","85378768","套","66113297","千克","966,350,267",
"502","美国","61099090","未列名纺材制针织或钩编Ｔ恤衫、汗衫、背心","329939327","件","53375675","千克","957,997,681",
"502","美国","84718000","自动数据处理设备的其他部件","15068889","台","0","?","957,527,446",
"502","美国","61159600","合成纤维制其他袜","2848717501","双","97402211","千克","946,652,329",
"502","美国","90138030","液晶显示板","34675395","个","11865711","千克","943,866,989",
"502","美国","85177060","光通信设备的激光收发模块","411989","千克","0","?","943,825,978",
"502","美国","73089000","其他钢铁结构体；钢结构体用部件及加工钢材","599323317","千克","0","?","907,394,539",
"502","美国","85098090","其他家用电动器具","120349356","台","97257306","千克","906,095,658",
"502","美国","85176232","以太网络交换机","6079016","台","0","?","904,144,093",
"502","美国","85166090","其他电炉；电锅、电热板、加热环、烧烤炉等","41079651","个","0","?","897,212,928",
"502","美国","39264000","塑料制小雕塑品及其他装饰品","172165000","千克","0","?","872,094,919",
"502","美国","61091000","棉制针织或钩编的Ｔ恤衫、汗衫、背心","308920005","件","47865907","千克","862,047,612",
"502","美国","95030021","动物玩具","676388263","个","88550537","千克","859,393,161",
"502","美国","76061259","其他铝合金矩形板、片，0.35mm＜厚≤4mm","338360891","千克","0","?","855,235,537",
"502","美国","85182100","单喇叭音箱","50696201","个","0","?","829,826,623",
"502","美国","84819010","阀门零件","123556276","千克","0","?","823,205,538",
"502","美国","65050099","针织的帽类及用成匹的花边、毡呢或其他纺织物制成的帽类","2606658397","个","50759473","千克","823,169,835",
"502","美国","95069900","其他运动或户外游戏用设备；游泳池或戏水池","207178174","个","281412736","千克","819,522,631",
"502","美国","85444219","其他有接头电导体，额定电压≤80V","40235496","千克","0","?","809,087,365",
"502","美国","63014000","合成纤维制毯子及旅行毯","208139397","条","172128889","千克","797,640,257",
"502","美国","95069119","其他健身及康复器械","388760441","千克","0","?","796,093,849",
"502","美国","84314999","品目8426、8429及8430所列机械的未列名零件","326677040","千克","0","?","794,594,834",
"502","美国","39232100","供运输或包装货物用的乙烯聚合物制袋及包","347420471","千克","0","?","793,172,431",
"502","美国","95059000","其他节日或娱乐用品，包括魔术道具等","82271572","千克","0","?","786,515,001",
"502","美国","94052000","电气的台灯、床头灯或落地灯","56460285","台","119961085","千克","764,382,950",
"502","美国","84834090","齿轮及其他变速、传动装置；滚珠螺杆传动轴","32039460","个","0","?","758,263,401",
"502","美国","62121010","化纤制胸罩","350748494","件","29531735","千克","746,552,505",
"502","美国","39262011","聚氯乙烯制手套（分指手套、连指手套等）","248963991","千克","25582248026","双","745,148,818",
"502","美国","85444211","有接头电缆，额定电压≤80V","39481941","千克","0","?","740,297,957",
"502","美国","85287229","其他液晶显示器彩色电视接收机","3919929","台","0","?","733,796,845",
"502","美国","69111019","其他瓷制餐具","291173980","千克","0","?","710,230,891",
"502","美国","87032341","仅装有点燃往复式活塞内燃发动机的小轿车，1500cc＜排量≤2000cc","20894","辆","0","?","696,037,576",
"502","美国","84099199","其他点燃式活塞内燃发动机的零件","105819351","千克","0","?","695,958,196",
"502","美国","44219990","未列名木制品","373287285","千克","0","?","690,016,297",
"502","美国","69101000","瓷制固定卫生设备","355227568","千克","21084004","件","682,111,555",
"502","美国","84119100","涡轮喷气发动机或涡轮螺桨发动机的零件","1558272","千克","0","?","674,662,283",
"502","美国","62044300","合成纤维制女式连衣裙","70255975","件","24411381","千克","671,728,072",
"502","美国","85389000","品目8535、8536或8537所列装置的其他零件","56416068","千克","0","?","667,887,467",
"502","美国","62114390","化纤制其他女式服装","149312844","件","29052657","千克","667,584,220",
"502","美国","63039200","合纤非针织或钩编的窗帘、帐幔、帘帷及床帷","115389313","千克","0","?","656,879,299",
"502","美国","76151090","其他铝制餐桌、厨房或其他家用器具及其零件","129890832","千克","0","?","655,525,321",
"502","美国","94013000","可调高度的转动坐具","16312174","个","218070652","千克","654,988,172",
"502","美国","84145110","输出功率≤125瓦的吊扇","21279359","台","164657817","千克","652,111,669",
"502","美国","61112000","棉制针织或钩编的婴儿服装及衣着附件","37714285","千克","0","?","649,888,122",
"502","美国","84715090","其他处理部件","466202","台","0","?","642,421,597",
"502","美国","73239900","其他未搪瓷钢铁餐桌、厨房等家用器具及零件","133460615","千克","0","?","638,846,862",
"502","美国","61044300","合成纤维制针织或钩编的女式连衣裙","114753839","件","36419446","千克","633,866,042",
"502","美国","67042000","人发制假发，胡须，眉毛，睫毛及其他人发制品","3492757","千克","0","?","633,600,548",
"502","美国","73239300","不锈钢制餐桌、厨房或其他家用器具及其零件","89779464","千克","0","?","628,901,938",
"502","美国","63023290","化纤制未列名非针织或钩编床上用织物制品","482744901","条","118323493","千克","627,572,447",
"502","美国","61046300","合成纤维制针织或钩编的女裤","259652853","条","51891348","千克","626,737,059",
"502","美国","85414020","太阳能电池","7745441","个","121215009","千克","621,410,531",
"502","美国","84159090","84151022、84152000、84158120、84158220及84158300设备的零件","87120152","千克","0","?","616,699,660",
"502","美国","95030060","智力玩具","323379331","套","131077261","千克","613,851,841",
"502","美国","85183000","耳机、耳塞（无线耳机、耳塞除外），不论是否装有传声器，由传声器及一个或多个扬声器组成的组合机","302285932","个","0","?","609,591,135",
"502","美国","76169990","其他非工业用铝制品","105834155","千克","0","?","596,820,701",
"502","美国","85044014","其他功率＜1kW直流稳压电源，精度＜1/10000","66589032","个","0","?","587,450,981",
"502","美国","85013100","直流电动机及直流发电机，输出功率≤750W","51224972","台","0","?","587,274,305",
"502","美国","85444229","其他有接头电导体，80V＜额定电压≤1000V","89893444","千克","0","?","586,725,623",
"502","美国","94049090","未列名寝具及类似用品","98778589","千克","0","?","579,712,425",
"502","美国","90191010","按摩器具","67582365","台","76795647","千克","576,857,722",
"502","美国","85014000","其他单相交流电动机","49850480","台","0","?","575,564,594",
"502","美国","64039119","其他过踝低于小腿的橡、塑或革外底的短统靴","33419292","千克","29192239","双","575,026,248",
"502","美国","96170019","其他带壳的保温瓶","153913588","个","59314097","千克","575,012,858",
"502","美国","85287110","彩色卫星电视接收机","6686444","台","0","?","574,540,814",
"502","美国","94042100","海绵橡胶或泡沫塑料制褥垫，不论是否包面","11411749","个","131337018","千克","571,473,632",
"502","美国","64029921","以机织物或其他纺织材料作衬底的塑料制鞋面的其他鞋靴","44769139","千克","92141120","双","571,331,564",
"502","美国","95069190","未列名一般体育活动、体操或竞技用品及设备","189126247","千克","0","?","565,055,971",
"502","美国","94019090","其他坐具零件","200946114","千克","0","?","564,537,106",
"502","美国","85366900","插头及插座，线路电压≤1000V","398499728","个","45138806","千克","562,752,320",
"502","美国","85167990","未列名电热器具","90072796","个","0","?","560,540,767",
"502","美国","84672100","手提式各种电钻","15065101","台","0","?","557,598,558",
"502","美国","90328990","其他自动调节或控制仪器及装置","23027805","台","0","?","557,416,634",
"502","美国","84139100","液体泵零件","82786312","千克","0","?","543,269,452",
"502","美国","85219090","未列名视频信号录制或重放设备","6432103","台","0","?","542,440,375",
"502","美国","62052000","棉制男衬衫","76446023","件","22684161","千克","537,204,832",
"502","美国","85177030","手持式无线电话机的零件（天线除外）","2061804","千克","0","?","515,852,620",
"502","美国","85439090","品目8543所列其他设备及装置的零件","12333156","千克","0","?","512,717,242",
"502","美国","85299090","品目8525至8528所列其他装置或设备用其他零件","26146905","千克","158283388","个","512,442,174",
"502","美国","87089490","其他机动车辆用转向盘、柱、器及零件","73881553","千克","0","?","512,370,354",
"502","美国","42022100","以皮革或再生皮革作面的手提包","15911498","千克","23336529","个","508,251,912",
"502","美国","85122010","机动车辆用电气照明装置","90462984","个","0","?","502,416,153",
"502","美国","85286910","其他彩色投影机","2032402","台","0","?","498,267,175",
"502","美国","83062990","未列名贱金属雕塑像及其他装饰品","68822417","千克","0","?","496,567,043",
"502","美国","68101910","人造石制瓦、扁平石及类似品","305701017","千克","0","?","495,044,058",
"502","美国","88033000","飞机及直升机的其他零件","1934384","千克","0","?","491,569,073",
"502","美国","85094090","食品研磨机及搅拌器","34652225","台","69587185","千克","491,445,599",
"502","美国","94059900","品目9405所列货品的其他材料制零件","50861295","千克","0","?","490,393,957",
"502","美国","85044013","品目8471所列机器用的稳压电源","33390936","个","0","?","487,173,214",
"502","美国","84672290","其他手提式电锯","12439208","台","0","?","486,092,860",
"502","美国","85423290","其他用作存储器的集成电路","370964077","个","66628","千克","485,796,513",
"502","美国","85423190","其他用作处理器及控制器的集成电路","1127657156","个","437086","千克","484,937,546",
"502","美国","87032353","仅装有点燃往复式活塞内燃发动机的小客车（9座及以下），2000cc＜排量≤2500cc","24001","辆","0","?","482,602,792",
"502","美国","87088010","品目8703所列车辆用悬挂系统及零件（含减震器）","104440283","千克","0","?","479,399,988",
"502","美国","68109990","未列名水泥、混凝土或人造石制品","172693857","千克","0","?","477,826,439",
