"贸易伙伴编码","贸易伙伴名称","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元","备注",
"502","美国","12019019","转基因黄大豆","23474121457","千克","0","?","15,120,088,409","-",
"502","美国","27090000","石油原油及从沥青矿物提取的原油","14287356271","千克","0","?","9,104,053,917","-",
"502","美国","27111200","液化丙烷","12641668955","千克","0","?","8,004,907,016","-",
"502","美国","85423190","其他用作处理器及控制器的集成电路","4292384026","个","177956","千克","5,382,238,896","-",
"502","美国","87032362","仅装有点燃式活塞内燃发动机的越野车（4轮驱动），2500cc＜排量≤3000cc","35806","辆","89419878","千克","3,317,281,014","-",
"502","美国","84119100","涡轮喷气发动机或涡轮螺桨发动机的零件","1332332","千克","0","?","3,210,793,559","-",
"502","美国","84111210","涡轮风扇喷气发动机，推力＞25kN","302","台","1344090","千克","2,836,251,554","-",
"502","美国","74040000","铜废料及碎料","361818385","千克","0","?","2,710,849,740","-",
"502","美国","10059000","玉米，种用除外","7144211410","千克","0","?","2,611,461,708","-",
"502","美国","29011000","饱和无环烃","4638514192","千克","0","?","2,281,722,841","-",
"502","美国","27111100","液化天然气","3131594772","千克","0","?","2,091,902,420","-",
"502","美国","88024020","空载重量＞45000kg的飞机等航空器","20","架","2271602","千克","1,996,086,268","-",
"502","美国","30049090","未列名混合或非混合产品构成的药品，已配定剂量或制成零售包装","3162837","千克","0","?","1,971,837,018","-",
"502","美国","85423990","其他集成电路","29587619551","个","174810","千克","1,812,243,077","-",
"502","美国","38221900","其他附于衬背上的诊断或实验用试剂及不论是否附于衬背上的配制试剂","5765494","千克","0","?","1,697,582,744","-",
"502","美国","52010000","未梳的棉花","751732305","千克","0","?","1,660,299,822","-",
"502","美国","33049900","其他美容品或化妆品及护肤品","10292508","千克","314200286","件","1,490,708,650","-",
"502","美国","27011210","炼焦煤","5875564271","千克","0","?","1,403,652,127","-",
"502","美国","84869099","品目8486所列设备用未列名零件及附件","1652441","千克","0","?","1,399,582,372","-",
"502","美国","87032342","仅装有点燃式活塞内燃发动机的越野车（4轮驱动），1500cc＜排量≤2000cc","26662","辆","55893713","千克","1,343,612,958","-",
"502","美国","90314100","制造半导体器件（包括集成电路）时检验半导体晶圆、器件（包括集成电路）或检测光掩模及光栅用的光学仪器及器具","1965","台","910496","千克","1,275,903,916","-",
"502","美国","30021500","免疫制品，已配定剂量或制成零售包装","594598","千克","0","?","1,249,865,492","-",
"502","美国","39014020","初级形状的线型低密度聚乙烯，比重＜0.94","1237334809","千克","0","?","1,228,692,361","-",
"502","美国","47032100","半漂白或漂白的针叶木烧碱木浆或硫酸盐木浆","1436801972","千克","0","?","1,158,902,698","-",
"502","美国","26030000","铜矿砂及其精矿","596925360","千克","0","?","1,137,235,093","-",
"502","美国","21069090","未列名食品","18935963","千克","0","?","1,121,920,926","-",
"502","美国","87032352","仅装有点燃式活塞内燃发动机的越野车（4轮驱动），2000cc＜排量≤2500cc","14919","辆","35723969","千克","1,058,834,722","-",
"502","美国","90189099","其他医疗、外科或兽医用仪器及器具","448288157","台","1707592","千克","1,012,667,350","-",
"502","美国","02023000","冻去骨牛肉","114489556","千克","0","?","998,139,458","-",
