"Staper","Fresgn","Datasgn","Eftm0101","Eftm0102","Eftm0103","Eftm0106","Eftm0107","Eftm0108","Eftm0109"
"1994-08","M","A","20251000","10038000","10213000","","","",""
"1994-09","M","A","19706000","9216000","10490000","","","",""
"1994-10","M","A","19827000","9396000","10431000","","","",""
"1994-11","M","A","23000000","10400000","12600000","","","",""
"1994-12","M","A","36446000","17940000","18506000","","","",""
"1995-01","M","B","15680000","6490000","8190000","","","",""
"1995-01","M","A","15680000","6490000","8190000","","","",""
"1995-02","M","A","16040000","7140000","9900000","","","",""
"1995-02","M","B","31720000","13630000","18090000","","","",""
"1995-03","M","B","54846000","23876000","30969000","","","",""
"1995-03","M","A","23126000","10246000","12879000","","","",""
"1995-04","M","A","22300000","10300000","12000000","","","",""
"1995-04","M","B","77146000","34176000","42969000","","","",""
"1995-05","M","A","24330000","11497000","12833000","","","",""
"1995-05","M","B","101476000","45673000","55802000","","","",""
"1995-06","M","B","126466000","56630000","69840000","","","",""
"1995-06","M","A","24990000","10957000","14038000","","","",""
"1995-07","M","A","23402000","11130000","12272000","","","",""
"1995-07","M","B","149868000","67760000","82112000","","","",""
"1995-08","M","A","24119000","11588000","12532000","","","",""
"1995-08","M","B","173987000","79348000","94644000","","","",""
"1995-09","M","A","23731000","11299000","12431000","","","",""
"1995-09","M","B","197718000","90647000","107075000","","","",""
"1995-10","M","A","23319000","10976000","12343000","","","",""
"1995-10","M","B","221037000","101623000","119418000","","","",""
"1995-11","M","A","24225000","12047000","12178000","","","",""
"1995-11","M","B","245262000","113670000","131596000","","","",""
"1995-12","M","A","35719000","18474000","17245000","","","",""
"1995-12","M","B","280981000","132144000","148841000","","","",""
"1996-01","M","A","19297126","10131677","9165449","","","",""
"1996-01","M","B","19297126","10131677","9165449","","","",""
"1996-02","M","B","36098111","18268888","17829223","","","",""
"1996-02","M","A","16791091","8137210","8653880","","","",""
"1996-03","M","A","21542159","11135049","10407110","","","",""
"1996-03","M","B","57653227","29403932","28249295","","","",""
"1996-04","M","A","22307550","10925868","11381682","","","",""
"1996-04","M","B","79960777","40329800","39630977","","","",""
"1996-05","M","B","104070896","52277489","51793407","","","",""
"1996-05","M","A","24165096","12009650","12155446","","","",""
"1996-06","M","A","23174458","10908863","12265595","","","",""
"1996-06","M","B","127240566","63182448","64058118","","","",""
"1996-07","M","A","23730445","11304687","12425757","","","",""
"1996-07","M","B","150954153","74476062","76478092","","","",""
"1996-08","M","B","176227492","85615340","90612152","","","",""
"1996-08","M","A","25273350","11139011","14134338","","","",""
"1996-09","M","A","23713300","10294161","13419139","","","",""
"1996-09","M","B","199931930","95904236","104027694","","","",""
"1996-10","M","B","226434053","107212289","119221764","","","",""
"1996-10","M","A","26527628","11308585","15219043","","","",""
"1996-11","M","A","25242647","11622138","13620509","","","",""
"1996-11","M","B","251590217","118807413","132782804","","","",""
"1996-12","M","A","38354000","20028000","18326000","","","",""
"1996-12","M","B","290118850","138944899","151173948","","","",""
"1997-01","M","A","21669142","9976762","11692381","","","",""
"1997-01","M","B","21669142","9976762","11692381","","","",""
"1997-02","M","B","39200755","17704904","21495851","","","",""
"1997-02","M","A","17575612","7728966","9846646","","","",""
"1997-03","M","B","64293205","28786724","35506481","","","",""
"1997-03","M","A","25144515","11097881","14046635","","","",""
"1997-04","M","B","90293393","40002034","50291360","","","",""
"1997-04","M","A","26014707","11220057","14794650","","","",""
"1997-05","M","A","26750723","11558353","15192370","","","",""
"1997-05","M","B","117036888","51560876","65476011","","","",""
"1997-06","M","A","26593176","11219911","15373265","","","",""
"1997-06","M","B","143870086","63047125","80822961","","","",""
"1997-07","M","B","172193760","75833760","96359999","","","",""
"1997-07","M","A","28336810","12791127","15545683","","","",""
"1997-08","M","A","27097799","11070423","16027376","","","",""
"1997-08","M","B","199257424","86884763","112372661","","","",""
"1997-09","M","A","28043081","11480443","16562638","","","",""
"1997-09","M","B","227291275","98360126","128931150","","","",""
"1997-10","M","B","257987051","111200498","146786553","","","",""
"1997-10","M","A","30658245","12841635","17816610","","","",""
"1997-11","M","A","28848905","12096962","16751943","","","",""
"1997-11","M","B","286812339","123288867","163523472","","","",""
"1997-12","M","A","38268859","19078477","19190382","","","",""
"1997-12","M","B","325057452","142360809","182696642","","","",""
"1998-01","M","A","21370305","8694589","12675716","","","",""
"1998-01","M","B","21370305","8694589","12675716","","","",""
"1998-02","M","B","42521280","17687963","24833317","","","",""
"1998-02","M","A","21150385","8992710","12157675","","","",""
"1998-03","M","A","27179194","11802083","15377111","","","",""
"1998-03","M","B","69838930","29602076","40236854","","","",""
"1998-04","M","B","97476221","41287209","56189013","","","",""
"1998-04","M","A","27637822","11686014","15951807","","","",""
"1998-05","M","B","123687168","52575512","71111655","","","",""
"1998-05","M","A","26217508","11291004","14926504","","","",""
