"Sgnyea","Prvcnm_id","Prvcnm_en","Pop01"
"2000","142","China","126743.0000"
"2000","130000","Hebei (province)","6674.0000"
"2000","230000","Heilongjiang (province)","3807.0000"
"2000","220000","Jilin (province)","2682.0000"
"2000","140000","Shanxi (province)","3248.0000"
"2000","150000","Inner Mongolia Autonomous Region","2372.0000"
"2000","120000","Tianjin (city)","1001.0000"
"2000","310000","Shanghai (city)","1641.0000"
"2000","330000","Zhejiang (province)","4596.0000"
"2000","350000","Fujian (province)","3410.0000"
"2000","340000","Anhui (province)","6286.0000"
"2000","440000","Guangdong (province)","7707.0000"
"2000","450000","Guangxi Zhuang Autonomous Region","4750.0000"
"2000","510000","Sichuan (province)","8602.0000"
"2000","500000","Chongqing (city)","3092.0000"
"2000","460000","Hainan (province)","789.0000"
"2000","530000","Yunnan (province)","4241.0000"
"2000","540000","Tibet Autonomous Region","258.0000"
"2000","640000","Ningxia Hui Autonomous Region","554.0000"
"2000","610000","Shaanxi (province)","3644.0000"
"2000","650000","Xinjiang Uygur Autonomous Region","1849.0000"
"2000","520000","Guizhou (province)","3756.0000"
"2000","620000","Gansu (province)","2557.0000"
"2000","370000","Shandong (province)","8998.0000"
"2000","320000","Jiangsu (province)","7327.0000"
"2000","210000","Liaoning (province)","4184.0000"
"2000","110000","Beijing (city)","1357.0000"
"2000","360000","Jiangxi (province)","4149.0000"
"2000","410000","Henan (province)","9488.0000"
"2000","420000","Hubei (province)","5960.0000"
"2000","630000","Qinghai (province)","517.0000"
"2000","430000","Hunan (province)","6562.0000"
"2001","142","China","127627.0000"
"2001","130000","Hebei (province)","6699.0000"
"2001","230000","Heilongjiang (province)","3811.0000"
"2001","220000","Jilin (province)","2691.0000"
"2001","140000","Shanxi (province)","3272.0000"
"2001","150000","Inner Mongolia Autonomous Region","2377.0000"
"2001","120000","Tianjin (city)","1004.0000"
"2001","310000","Shanghai (city)","1614.0000"
"2001","330000","Zhejiang (province)","4613.0000"
"2001","350000","Fujian (province)","3440.0000"
"2001","340000","Anhui (province)","6328.0000"
"2001","440000","Guangdong (province)","7783.0000"
"2001","450000","Guangxi Zhuang Autonomous Region","4788.0000"
"2001","510000","Sichuan (province)","8640.0000"
"2001","500000","Chongqing (city)","3097.0000"
"2001","460000","Hainan (province)","796.0000"
"2001","530000","Yunnan (province)","4287.0000"
"2001","540000","Tibet Autonomous Region","263.0000"
"2001","640000","Ningxia Hui Autonomous Region","563.0000"
"2001","610000","Shaanxi (province)","3659.0000"
"2001","650000","Xinjiang Uygur Autonomous Region","1876.0000"
"2001","520000","Guizhou (province)","3799.0000"
"2001","620000","Gansu (province)","2575.0000"
"2001","370000","Shandong (province)","9041.0000"
"2001","320000","Jiangsu (province)","7355.0000"
"2001","210000","Liaoning (province)","4194.0000"
"2001","110000","Beijing (city)","1383.0000"
"2001","360000","Jiangxi (province)","4186.0000"
"2001","410000","Henan (province)","9555.0000"
"2001","420000","Hubei (province)","5975.0000"
"2001","630000","Qinghai (province)","523.0000"
"2001","430000","Hunan (province)","6596.0000"
"2002","142","China","128453.0000"
"2002","130000","Hebei (province)","6735.0000"
"2002","230000","Heilongjiang (province)","3813.0000"
"2002","220000","Jilin (province)","2699.0000"
"2002","140000","Shanxi (province)","3294.0000"
"2002","150000","Inner Mongolia Autonomous Region","2379.0000"
"2002","120000","Tianjin (city)","1007.0000"
"2002","310000","Shanghai (city)","1625.0000"
"2002","330000","Zhejiang (province)","4647.0000"
"2002","350000","Fujian (province)","3466.0000"
"2002","340000","Anhui (province)","6338.0000"
"2002","440000","Guangdong (province)","7859.0000"
"2002","450000","Guangxi Zhuang Autonomous Region","4822.0000"
"2002","510000","Sichuan (province)","8673.0000"
"2002","500000","Chongqing (city)","3107.0000"
"2002","460000","Hainan (province)","803.0000"
"2002","530000","Yunnan (province)","4333.0000"
"2002","540000","Tibet Autonomous Region","267.0000"
"2002","640000","Ningxia Hui Autonomous Region","572.0000"
"2002","610000","Shaanxi (province)","3674.0000"
"2002","650000","Xinjiang Uygur Autonomous Region","1905.0000"
"2002","520000","Guizhou (province)","3837.0000"
"2002","620000","Gansu (province)","2593.0000"
"2002","370000","Shandong (province)","9082.0000"
"2002","320000","Jiangsu (province)","7381.0000"
"2002","210000","Liaoning (province)","4203.0000"
"2002","110000","Beijing (city)","1423.0000"
"2002","360000","Jiangxi (province)","4222.0000"
"2002","410000","Henan (province)","9613.0000"
"2002","420000","Hubei (province)","5988.0000"
"2002","630000","Qinghai (province)","529.0000"
"2002","430000","Hunan (province)","6629.0000"
"2003","142","China","129227.0000"
"2003","130000","Hebei (province)","6769.4400"
"2003","230000","Heilongjiang (province)","3815.0000"
"2003","220000","Jilin (province)","2703.7000"
"2003","140000","Shanxi (province)","3314.2900"
