"Sgnyea","Eft0209","Eft0210"
"2000","425.46","826.00"
"2001","438.13","949.01"
"2002","529.55","1269.76"
"2003","690.18","1877.73"
"2004","1006.46","2682.60"
"2005","1291.21","3522.34"
"2006","1748.16","4563.43"
"2007","2198.77","5770.45"
"2008","2623.91","6733.29"
"2009","1848.16","5902.74"
"2010","2491.08","7802.69"
"2011","3195.60","9017.74"
"2012","3331.41","9643.61"
"2013","3606.06","10385.34"
"2014","4002.24","10705.04"
"2015","3910.18","10591.18"
"2016","3512.45","9842.12"
"2017","3685.64","10823.29"
"2018","4046.59","12077.88"
"2019","4067.33","11954.44"
"2020","4340.70","12578.91"
"2021","5432.68","16177.40"
"2022","5915.66","16916.02"
"2023","5434.68","16466.67"
