"Sgnyea","Eft0309","Eft0310"
"2000","418.07","919.31"
"2001","419.38","1070.15"
"2002","484.89","1370.10"
"2003","639.02","1928.26"
"2004","739.86","2528.30"
"2005","811.57","2904.78"
"2006","869.24","3570.21"
"2007","1028.77","4124.59"
"2008","1071.65","4417.65"
"2009","1077.39","4077.97"
"2010","1312.78","5494.21"
"2011","1503.04","6305.70"
"2012","1459.53","6529.41"
"2013","1478.72","7101.41"
"2014","1723.69","7241.97"
"2015","1330.11","6824.18"
"2016","1219.20","6578.25"
"2017","1351.47","7348.65"
"2018","1513.51","8396.56"
"2019","1400.42","7866.38"
"2020","1687.57","8285.37"
"2021","2108.28","10057.97"
"2022","1977.64","9380.75"
"2023","1682.50","8301.95"
